address,district,street,house_number,coords,area,full_price,weighted_price
Свердловская область;Екатеринбург;район Чкаловский;Широкий пер.;д.2А,район Чкаловский,Широкий пер.,д.2А,"56.783041,60.651293",54.6,3383340,62000
Свердловская область;Екатеринбург;район Железнодорожный;Билимбаевская ул.;д.37,район Железнодорожный,Билимбаевская ул.,д.37,"56.886518,60.505460",51.5,3350000,65048
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Репина;д.93,район Верх-Исетский,ул. Репина,д.93,"56.822838,60.546477",48.7,3430000,70431
Свердловская область;Екатеринбург;район Орджоникидзевский;Эльмаш мкр;пер. Замятина;д.44,Эльмаш мкр,пер. Замятина,д.44,"56.902585,60.651544",50.8,3470000,68307
Свердловская область;Екатеринбург;район Верх-Исетский;Широкая Речка мкр;ул. Соболева;д.21к2,Широкая Речка мкр,ул. Соболева,д.21к2,"56.809117,60.514910",50.0,3450000,69000
Свердловская область;Екатеринбург;район Чкаловский;Широкий пер.;д.2А,район Чкаловский,Широкий пер.,д.2А,"56.783041,60.651293",54.6,3547000,64999
Свердловская область;Екатеринбург;район Ленинский;ул. Чкалова;д.258,район Ленинский,ул. Чкалова,д.258,"56.778662,60.529706",62.0,3538000,57064
Свердловская область;Екатеринбург;район Ленинский;ул. Степана Разина;д.54,район Ленинский,ул. Степана Разина,д.54,"56.814872,60.610608",44.0,3500000,79545
Свердловская область;Екатеринбург;район Ленинский;ул. Степана Разина;д.54,район Ленинский,ул. Степана Разина,д.54,"56.814872,60.610608",44.0,3500000,79545
Свердловская область;Екатеринбург;район Верх-Исетский;Юго-Западный мкр;ул. Белореченская;д.29,Юго-Западный мкр,ул. Белореченская,д.29,"56.812892,60.559422",42.8,3590000,83878
Свердловская область;Екатеринбург;район Чкаловский;ул. Чемпионов,Екатеринбург,район Чкаловский,ул. Чемпионов,"56.749057,60.567153",58.6,3580000,61102
Свердловская область;Екатеринбург;район Верх-Исетский;Широкая Речка мкр;ул. Соболева;д.10А,Широкая Речка мкр,ул. Соболева,д.10А,"56.808635,60.501229",65.0,3582082,55108
Свердловская область;Екатеринбург;район Ленинский;ул. Амундсена;д.57,район Ленинский,ул. Амундсена,д.57,"56.799458,60.583856",47.0,3600000,76595
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Рябинина,Екатеринбург,район Верх-Исетский,ул. Рябинина,"56.798395,60.513065",60.0,3640000,60666
Свердловская область;Екатеринбург;район Чкаловский;Широкий пер.;д.2А,район Чкаловский,Широкий пер.,д.2А,"56.783041,60.651293",55.0,3601000,65472
Свердловская область;Екатеринбург;район Орджоникидзевский;просп. Орджоникидзе;д.22,район Орджоникидзевский,просп. Орджоникидзе,д.22,"56.897591,60.589533",68.0,3650000,53676
Свердловская область;Екатеринбург;район Октябрьский;Луганская ул.,Екатеринбург,район Октябрьский,Луганская ул.,"56.807962,60.638341",52.8,3650000,69115
Свердловская область;Екатеринбург;район Ленинский;ул. Сурикова;д.28,район Ленинский,ул. Сурикова,д.28,"56.811867,60.599729",44.0,3720000,84545
Свердловская область;Екатеринбург;район Ленинский;ул. Амундсена;д.71,район Ленинский,ул. Амундсена,д.71,"56.794115,60.577190",48.2,3800000,78838
Свердловская область;Екатеринбург;район Верх-Исетский;Академический мкр;просп. Академика Сахарова,район Верх-Исетский,Академический мкр,просп. Академика Сахарова,"56.791720,60.503675",59.9,3890000,64963
Свердловская область;Екатеринбург;район Железнодорожный;ул. Бебеля;д.144,район Железнодорожный,ул. Бебеля,д.144,"56.863473,60.552828",56.0,3870000,69107
Свердловская область;Екатеринбург;район Чкаловский;Рощинская ул.;д.72а,район Чкаловский,Рощинская ул.,д.72а,"56.779309,60.678314",54.2,3900000,71955
Свердловская область;Екатеринбург;район Железнодорожный;просп. Седова;д.53,район Железнодорожный,просп. Седова,д.53,"56.870450,60.526202",63.4,3970000,62618
Свердловская область;Екатеринбург;район Чкаловский;Дорожная ул.;д.13,район Чкаловский,Дорожная ул.,д.13,"56.774895,60.593755",67.5,3950000,58518
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Шейнкмана;д.4,район Верх-Исетский,ул. Шейнкмана,д.4,"56.840395,60.582832",41.0,4000000,97560
