address,district,street,house_number,coords,area,full_price,weighted_price
Свердловская область;Екатеринбург;район Чкаловский;Авиационная ул.;д.50,район Чкаловский,Авиационная ул.,д.50,"56.803534,60.617246",78.0,5200000,66666
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Боровая;д.21А,Пионерский мкр,ул. Боровая,д.21А,"56.862878,60.645193",79.0,5200000,65822
Свердловская область;Екатеринбург;район Кировский;Советская ул.;д.58,район Кировский,Советская ул.,д.58,"56.857190,60.643666",77.6,5300000,68298
Свердловская область;Екатеринбург;район Чкаловский;ул. Гастелло;д.1,район Чкаловский,ул. Гастелло,д.1,"56.785808,60.645992",78.0,5300000,67948
Свердловская область;Екатеринбург;район Орджоникидзевский;ул. Восстания;д.91,район Орджоникидзевский,ул. Восстания,д.91,"56.904743,60.596980",78.2,5300000,67774
Свердловская область;Екатеринбург;район Октябрьский;Компрессорный мкр;ул. Прибалтийская;д.11,Компрессорный мкр,ул. Прибалтийская,д.11,"56.788939,60.782644",102.2,5300000,51859
Свердловская область;Екатеринбург;район Орджоникидзевский;Эльмаш мкр;ул. Стачек;д.70,Эльмаш мкр,ул. Стачек,д.70,"56.898874,60.616932",71.9,5320000,73991
Свердловская область;Екатеринбург;район Ленинский;ул. Шейнкмана;д.122,район Ленинский,ул. Шейнкмана,д.122,"56.819582,60.590090",115.0,5384000,46817
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Вилонова;д.10,Пионерский мкр,ул. Вилонова,д.10,"56.865186,60.639075",89.7,5390000,60089
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Сулимова;д.6,Пионерский мкр,ул. Сулимова,д.6,"56.861269,60.649729",94.0,5390000,57340
Свердловская область;Екатеринбург;район Ленинский;ул. Фурманова;д.113,район Ленинский,ул. Фурманова,д.113,"56.813656,60.591725",78.0,5400000,69230
Свердловская область;Екатеринбург;район Орджоникидзевский;ул. Ильича;д.31,район Орджоникидзевский,ул. Ильича,д.31,"56.891421,60.599397",92.0,5450000,59239
Свердловская область;Екатеринбург;район Чкаловский;Вторчермет мкр;ул. Агрономическая;д.7,Вторчермет мкр,ул. Агрономическая,д.7,"56.783756,60.605416",92.4,5490000,59415
Свердловская область;Екатеринбург;район Орджоникидзевский;ул. Восстания;д.91,район Орджоникидзевский,ул. Восстания,д.91,"56.904743,60.596980",87.0,5550000,63793
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Радищева;д.63,район Верх-Исетский,ул. Радищева,д.63,"56.826449,60.577595",88.8,5550000,62500
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Викулова;д.59к2,район Верх-Исетский,ул. Викулова,д.59к2,"56.822626,60.543728",90.6,5600000,61810
Свердловская область;Екатеринбург;район Кировский;Первомайская ул.;д.76,район Кировский,Первомайская ул.,д.76,"56.844968,60.640558",80.0,5600000,70000
Свердловская область;Екатеринбург;район Октябрьский;ул. Декабристов;д.7,район Октябрьский,ул. Декабристов,д.7,"56.825400,60.634476",77.0,5600000,72727
Свердловская область;Екатеринбург;район Октябрьский;ул. Декабристов;д.16к18б,район Октябрьский,ул. Декабристов,д.16к18б,"56.825139,60.620849",94.6,5600000,59196
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Металлургов;д.44,район Верх-Исетский,ул. Металлургов,д.44,"56.828626,60.532005",97.0,5600000,57731
Свердловская область;Екатеринбург;район Орджоникидзевский;бул. Культуры;д.25,район Орджоникидзевский,бул. Культуры,д.25,"56.890693,60.574900",87.0,5600000,64367
Свердловская область;Екатеринбург;район Верх-Исетский;Московская ул.;д.58,район Верх-Исетский,Московская ул.,д.58,"56.823617,60.585446",74.0,5699000,77013
Свердловская область;Екатеринбург;район Чкаловский;ул. Крестинского;д.35,район Чкаловский,ул. Крестинского,д.35,"56.789974,60.617435",70.0,5650000,80714
Свердловская область;Екатеринбург;район Орджоникидзевский;ул. Ильича;д.31,район Орджоникидзевский,ул. Ильича,д.31,"56.891421,60.599397",92.0,5700000,61956
Свердловская область;Екатеринбург;район Чкаловский;ул. Крестинского;д.49к2,район Чкаловский,ул. Крестинского,д.49к2,"56.790526,60.630532",85.0,5700000,67058
