address,district,street,house_number,coords,area,full_price,weighted_price
Свердловская область;Екатеринбург;район Кировский;Комсомольская ул.;д.67,район Кировский,Комсомольская ул.,д.67,"56.837022,60.661857",41.9,3481000,83078
Свердловская область;Екатеринбург;район Орджоникидзевский;Симбирский пер.,Екатеринбург,район Орджоникидзевский,Симбирский пер.,"56.896561,60.582612",44.4,3478140,78283
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Юмашева;д.6,район Верх-Исетский,ул. Юмашева,д.6,"56.842408,60.573705",40.0,3450000,86250
Свердловская область;Екатеринбург;район Ленинский;Академический мкр;просп. Академика Сахарова;д.37,Академический мкр,просп. Академика Сахарова,д.37,"56.778135,60.527720",37.9,3458400,91250
Свердловская область;Екатеринбург;район Чкаловский;ул. 8 Марта,Екатеринбург,район Чкаловский,ул. 8 Марта,"56.792054,60.610382",43.4,3474400,80000
Свердловская область;Екатеринбург;район Чкаловский;ул. Крестинского,Екатеринбург,район Чкаловский,ул. Крестинского,"56.789841,60.617988",46.5,3485250,75000
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Сулимова,район Кировский,Пионерский мкр,ул. Сулимова,"56.860303,60.650125",47.6,3489080,73300
Свердловская область;Екатеринбург;район Чкаловский;Миасская ул.,Екатеринбург,район Чкаловский,Миасская ул.,"56.785682,60.651716",45.5,3458000,76000
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Омская,район Кировский,Пионерский мкр,ул. Омская,"56.861300,60.626187",38.5,3490000,90649
Свердловская область;Екатеринбург;район Кировский;ул. Владимира Высоцкого;д.1,район Кировский,ул. Владимира Высоцкого,д.1,"56.843608,60.674976",43.8,3543800,80890
Свердловская область;Екатеринбург;район Кировский;ул. Владимира Высоцкого;д.1,район Кировский,ул. Владимира Высоцкого,д.1,"56.843608,60.674976",45.5,3525000,77489
Свердловская область;Екатеринбург;район Чкаловский;ул. 8 Марта,Екатеринбург,район Чкаловский,ул. 8 Марта,"56.792054,60.610382",41.7,3545350,85000
Свердловская область;Екатеринбург;район Кировский;ул. Владимира Высоцкого;д.1,район Кировский,ул. Владимира Высоцкого,д.1,"56.843608,60.674976",48.1,3539100,73547
Свердловская область;Екатеринбург;район Кировский;ул. Владимира Высоцкого;д.1,район Кировский,ул. Владимира Высоцкого,д.1,"56.843608,60.674976",43.3,3506200,81012
Свердловская область;Екатеринбург;район Чкаловский;ул. Гастелло;д.25,район Чкаловский,ул. Гастелло,д.25,"56.782927,60.647289",51.7,3520000,68085
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Евгения Савкова,Екатеринбург,район Верх-Исетский,ул. Евгения Савкова,"56.794223,60.498068",65.5,3503715,53500
Свердловская область;Екатеринбург;район Чкаловский;ул. 8 Марта,Екатеринбург,район Чкаловский,ул. 8 Марта,"56.792054,60.610382",46.8,3511500,75000
Свердловская область;Екатеринбург;район Чкаловский;ул. Крестинского;д.2,район Чкаловский,ул. Крестинского,д.2,"56.792404,60.608290",38.4,3530040,92000
Свердловская область;Екатеринбург;район Чкаловский;ул. Гастелло;д.25,район Чкаловский,ул. Гастелло,д.25,"56.782927,60.647289",51.3,3510000,68421
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Данилы Зверева,район Кировский,Пионерский мкр,ул. Данилы Зверева,"56.863410,60.652391",40.3,3545000,87965
Свердловская область;Екатеринбург;район Чкаловский;ул. Крестинского;д.2,район Чкаловский,ул. Крестинского,д.2,"56.792404,60.608290",38.7,3518060,91000
Свердловская область;Екатеринбург;район Ленинский;ул. Степана Разина;д.2,район Ленинский,ул. Степана Разина,д.2,"56.824815,60.606564",33.0,3532254,107038
Свердловская область;Екатеринбург;район Кировский;Советская ул.;д.45,район Кировский,Советская ул.,д.45,"56.856919,60.641420",35.0,3535000,101028
Свердловская область;Екатеринбург;район Кировский;Комсомольская ул.;д.67,район Кировский,Комсомольская ул.,д.67,"56.837022,60.661857",43.1,3595000,83333
Свердловская область;Екатеринбург;район Чкаловский;Широкий пер.;д.2А,район Чкаловский,Широкий пер.,д.2А,"56.783041,60.651293",55.0,3575000,65000
