address,district,street,house_number,coords,area,full_price,weighted_price
Свердловская область;Екатеринбург;район Железнодорожный;просп. Космонавтов;д.11к1,район Железнодорожный,просп. Космонавтов,д.11к1,"56.866854,60.608111",53.6,3719840,69400
Свердловская область;Екатеринбург;район Чкаловский;ул. Патриотов;д.6к4,район Чкаловский,ул. Патриотов,д.6к4,"56.781006,60.673269",66.4,3745637,56410
Свердловская область;Екатеринбург;район Орджоникидзевский;пер. Дружбы;д.6,район Орджоникидзевский,пер. Дружбы,д.6,"56.891750,60.587791",57.3,3700000,64572
Свердловская область;Екатеринбург;район Железнодорожный;Техническая ул.,Екатеринбург,район Железнодорожный,Техническая ул.,"56.880923,60.503423",60.7,3798448,62577
Свердловская область;Екатеринбург;район Железнодорожный;просп. Космонавтов;д.11к1,район Железнодорожный,просп. Космонавтов,д.11к1,"56.866854,60.608111",51.5,3780100,73400
Свердловская область;Екатеринбург;район Верх-Исетский;Суходольская ул.,Екатеринбург,район Верх-Исетский,Суходольская ул.,"56.791054,60.486782",61.3,3760000,61337
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Евгения Савкова,Екатеринбург,район Верх-Исетский,ул. Евгения Савкова,"56.794223,60.498068",71.1,3765650,53000
Свердловская область;Екатеринбург;район Железнодорожный;просп. Космонавтов;д.11к1,район Железнодорожный,просп. Космонавтов,д.11к1,"56.866854,60.608111",59.8,3791320,63400
Свердловская область;Екатеринбург;район Кировский;ул. Блюхера;д.97,район Кировский,ул. Блюхера,д.97,"56.865080,60.666497",60.2,3780169,62793
Свердловская область;Екатеринбург;район Верх-Исетский;Суходольская ул.,Екатеринбург,район Верх-Исетский,Суходольская ул.,"56.791054,60.486782",62.1,3820000,61513
Свердловская область;Екатеринбург;район Железнодорожный;просп. Космонавтов;д.11к1,район Железнодорожный,просп. Космонавтов,д.11к1,"56.866854,60.608111",63.1,3836480,60800
Свердловская область;Екатеринбург;район Чкаловский;ул. Чемпионов,Екатеринбург,район Чкаловский,ул. Чемпионов,"56.749057,60.567153",58.6,3808350,64999
Свердловская область;Екатеринбург;район Чкаловский;ул. Щербакова;д.7,район Чкаловский,ул. Щербакова,д.7,"56.777416,60.663718",59.1,3822000,64713
Свердловская область;Екатеринбург;район Чкаловский;ул. Щербакова,Екатеринбург,район Чкаловский,ул. Щербакова,"56.777356,60.663748",58.8,3824600,64999
Свердловская область;Екатеринбург;район Ленинский;Академический мкр;ул. Павла Шаманова,район Ленинский,Академический мкр,ул. Павла Шаманова,"56.785161,60.521739",62.4,3800000,60897
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Очеретина;д.6,район Верх-Исетский,ул. Очеретина,д.6,"56.800094,60.519132",52.0,3800000,73076
Свердловская область;Екатеринбург;район Кировский;Первомайская ул.;д.80,район Кировский,Первомайская ул.,д.80,"56.845111,60.641941",49.6,3800000,76612
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Вильгельма де Геннина;д.40,район Верх-Исетский,ул. Вильгельма де Геннина,д.40,"56.791275,60.517030",61.8,3800000,61488
Свердловская область;Екатеринбург;район Орджоникидзевский;Симбирский пер.,Екатеринбург,район Орджоникидзевский,Симбирский пер.,"56.897178,60.583181",49.9,3881600,77740
Свердловская область;Екатеринбург;район Верх-Исетский;Академический мкр;просп. Академика Сахарова,район Верх-Исетский,Академический мкр,просп. Академика Сахарова,"56.787446,60.504808",61.2,3856230,63000
Свердловская область;Екатеринбург;район Железнодорожный;просп. Космонавтов;д.11к2,район Железнодорожный,просп. Космонавтов,д.11к2,"56.866859,60.609503",58.1,3852030,66300
Свердловская область;Екатеринбург;район Верх-Исетский;Суходольская ул.,Екатеринбург,район Верх-Исетский,Суходольская ул.,"56.791054,60.486782",62.9,3850000,61208
Свердловская область;Екатеринбург;район Чкаловский;ул. Чемпионов,Екатеринбург,район Чкаловский,ул. Чемпионов,"56.748928,60.566289",64.1,3877445,60500
Свердловская область;Екатеринбург;район Железнодорожный;просп. Космонавтов;д.11к1,район Железнодорожный,просп. Космонавтов,д.11к1,"56.866854,60.608111",58.1,3857840,66400
Свердловская область;Екатеринбург;район Железнодорожный;просп. Космонавтов;д.11к2,район Железнодорожный,просп. Космонавтов,д.11к2,"56.866859,60.609503",53.5,3894800,72800
