address,district,street,house_number,coords,area,full_price,weighted_price
Свердловская область;Екатеринбург;район Чкаловский;ул. 8 Марта,Екатеринбург,район Чкаловский,ул. 8 Марта,"56.792363,60.609288",59.8,4780800,80000
Свердловская область;Екатеринбург;район Верх-Исетский;Суходольская ул.,Екатеринбург,район Верх-Исетский,Суходольская ул.,"56.791054,60.486782",78.2,4790000,61253
Свердловская область;Екатеринбург;район Кировский;ул. Владимира Высоцкого;д.1,район Кировский,ул. Владимира Высоцкого,д.1,"56.843608,60.674976",69.2,4836300,69878
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Крауля,Екатеринбург,район Верх-Исетский,ул. Крауля,"56.834138,60.523987",75.1,4841370,64500
Свердловская область;Екатеринбург;район Октябрьский;Лечебный мкр;пер. Волчанский;д.2А,Лечебный мкр,пер. Волчанский,д.2А,"56.809763,60.710500",63.0,4800000,76190
Свердловская область;Екатеринбург;район Кировский;Комсомольская ул.;д.67,район Кировский,Комсомольская ул.,д.67,"56.837022,60.661857",64.2,4850000,75498
Свердловская область;Екатеринбург;район Ленинский;Академический мкр;просп. Академика Сахарова;д.39,Академический мкр,просп. Академика Сахарова,д.39,"56.779318,60.525573",56.9,4888700,85917
Свердловская область;Екатеринбург;район Верх-Исетский;Академический мкр;просп. Академика Сахарова,район Верх-Исетский,Академический мкр,просп. Академика Сахарова,"56.790936,60.504540",59.8,4874300,81510
Свердловская область;Екатеринбург;район Чкаловский;ул. Гастелло;д.25,район Чкаловский,ул. Гастелло,д.25,"56.782927,60.647289",82.6,4940000,59806
Свердловская область;Екатеринбург;район Ленинский;ул. Цвиллинга,Екатеринбург,район Ленинский,ул. Цвиллинга,"56.814620,60.624010",68.1,4901040,72000
Свердловская область;Екатеринбург;район Кировский;ул. Блюхера;д.97,район Кировский,ул. Блюхера,д.97,"56.865080,60.666497",73.6,4908829,66696
Свердловская область;Екатеринбург;район Кировский;Комсомольская ул.;д.67,район Кировский,Комсомольская ул.,д.67,"56.837022,60.661857",62.9,4947000,78598
Свердловская область;Екатеринбург;район Кировский;Комсомольская ул.;д.67,район Кировский,Комсомольская ул.,д.67,"56.837022,60.661857",65.0,4982000,76622
Свердловская область;Екатеринбург;район Ленинский;ул. Чкалова,Екатеринбург,район Ленинский,ул. Чкалова,"56.810832,60.577397",70.5,4960000,70354
Свердловская область;Екатеринбург;район Чкаловский;Широкий пер.,Екатеринбург,район Чкаловский,Широкий пер.,"56.782778,60.651349",78.6,4953060,62999
Свердловская область;Екатеринбург;район Кировский;ул. Раевского;д.20,район Кировский,ул. Раевского,д.20,"56.859416,60.661520",75.6,4989600,66000
Свердловская область;Екатеринбург;район Кировский;ул. Раевского;д.6,район Кировский,ул. Раевского,д.6,"56.863626,60.657257",69.3,5000000,72150
Свердловская область;Екатеринбург;район Верх-Исетский;Заводская ул.;д.32/4,район Верх-Исетский,Заводская ул.,д.32/4,"56.833713,60.549711",48.0,5000000,104166
Свердловская область;Екатеринбург;район Чкаловский;ул. Крестинского;д.2,район Чкаловский,ул. Крестинского,д.2,"56.792404,60.608290",60.0,5098300,85000
Свердловская область;Екатеринбург;район Кировский;ул. Владимира Высоцкого;д.1,район Кировский,ул. Владимира Высоцкого,д.1,"56.843608,60.674976",70.0,5066600,72380
Свердловская область;Екатеринбург;район Чкаловский;Миасская ул.,Екатеринбург,район Чкаловский,Миасская ул.,"56.785682,60.651716",68.9,5050370,73300
Свердловская область;Екатеринбург;район Чкаловский;Миасская ул.,Екатеринбург,район Чкаловский,Миасская ул.,"56.785682,60.651716",70.2,5145660,73300
Свердловская область;Екатеринбург;район Ленинский;ул. Чкалова,Екатеринбург,район Ленинский,ул. Чкалова,"56.810832,60.577397",70.4,5110000,72585
Свердловская область;Екатеринбург;район Кировский;Комсомольская ул.;д.67,район Кировский,Комсомольская ул.,д.67,"56.837022,60.661857",67.5,5134000,76025
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Евгения Савкова,Екатеринбург,район Верх-Исетский,ул. Евгения Савкова,"56.790369,60.487700",81.0,5120000,63209
