address,district,street,house_number,coords,area,full_price,weighted_price
Свердловская область;Екатеринбург;район Орджоникидзевский;просп. Космонавтов;д.101,район Орджоникидзевский,просп. Космонавтов,д.101,"56.924466,60.612575",18.0,1450000,80555
Свердловская область;Екатеринбург;район Орджоникидзевский;просп. Космонавтов;д.78,район Орджоникидзевский,просп. Космонавтов,д.78,"56.904290,60.615324",16.0,1460000,91250
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Евгения Савкова,Екатеринбург,район Верх-Исетский,ул. Евгения Савкова,"56.787969,60.471385",31.6,1488300,47098
Свердловская область;Екатеринбург;район Чкаловский;Химмаш мкр;ул. Альпинистов;д.20к2,Химмаш мкр,ул. Альпинистов,д.20к2,"56.756414,60.703565",22.7,1500000,66079
Свердловская область;Екатеринбург;район Орджоникидзевский;Эльмаш мкр;ул. Таганская;д.6,Эльмаш мкр,ул. Таганская,д.6,"56.896607,60.642148",23.3,1500000,64377
Свердловская область;Екатеринбург;район Орджоникидзевский;Эльмаш мкр;пер. Замятина;д.38к2,Эльмаш мкр,пер. Замятина,д.38к2,"56.900815,60.651068",23.0,1500000,65217
Свердловская область;Екатеринбург;район Чкаловский;ул. Прониной;д.24,район Чкаловский,ул. Прониной,д.24,"56.778135,60.656862",30.6,1500000,49019
Свердловская область;Екатеринбург;район Орджоникидзевский;Эльмаш мкр;ул. Таганская;д.6А,Эльмаш мкр,ул. Таганская,д.6А,"56.896902,60.642821",18.1,1500000,82872
Свердловская область;Екатеринбург;район Орджоникидзевский;просп. Космонавтов;д.52А,район Орджоникидзевский,просп. Космонавтов,д.52А,"56.891278,60.615360",20.0,1515000,75750
Свердловская область;Екатеринбург;район Железнодорожный;Завокзальная ул.;д.3,район Железнодорожный,Завокзальная ул.,д.3,"56.864384,60.594914",36.8,1500000,40760
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Евгения Савкова,Екатеринбург,район Верх-Исетский,ул. Евгения Савкова,"56.787969,60.471385",25.0,1527000,61080
Свердловская область;Екатеринбург;район Чкаловский;Химмаш мкр;ул. Грибоедова;д.24,Химмаш мкр,ул. Грибоедова,д.24,"56.754697,60.704590",33.0,1500000,45454
Свердловская область;Екатеринбург;пос. Совхозный;район Ленинский;Предельная ул.;д.17,район Ленинский,Предельная ул.,д.17,"56.763149,60.568396",27.0,1550000,57407
Свердловская область;Екатеринбург;район Орджоникидзевский;Эльмаш мкр;ул. Таганская;д.6,Эльмаш мкр,ул. Таганская,д.6,"56.896607,60.642148",18.1,1550000,85635
Свердловская область;Екатеринбург;район Октябрьский;Кольцово мкр;проезд Горнистов;д.13А,Кольцово мкр,проезд Горнистов,д.13А,"56.767570,60.825889",33.0,1550000,46969
Свердловская область;Екатеринбург;район Орджоникидзевский;Эльмаш мкр;ул. Баумана;д.1,Эльмаш мкр,ул. Баумана,д.1,"56.887699,60.614929",30.8,1550000,50324
Свердловская область;Екатеринбург;район Ленинский;Автовокзал мкр,Екатеринбург,район Ленинский,Автовокзал мкр,"56.815357,60.610947",19.0,1579000,83105
Свердловская область;Екатеринбург;район Орджоникидзевский;Эльмаш мкр;ул. Фрезеровщиков;д.34,Эльмаш мкр,ул. Фрезеровщиков,д.34,"56.902629,60.627227",17.5,1570000,89714
Свердловская область;Екатеринбург;район Октябрьский;Компрессорный мкр;ул. Хвойная;д.76к2,Компрессорный мкр,ул. Хвойная,д.76к2,"56.792759,60.771676",24.8,1550000,62500
Свердловская область;Екатеринбург;район Верх-Исетский;Юго-Западный мкр;ул. Академика Бардина;д.6к2,Юго-Западный мкр,ул. Академика Бардина,д.6к2,"56.808280,60.552990",18.8,1580000,84042
Свердловская область;Екатеринбург;район Чкаловский;Селькоровская ул.;д.76к1,район Чкаловский,Селькоровская ул.,д.76к1,"56.756252,60.609341",24.0,1599000,66625
Свердловская область;Екатеринбург;район Орджоникидзевский;ул. Машиностроителей;д.37,район Орджоникидзевский,ул. Машиностроителей,д.37,"56.884350,60.580649",17.0,1600000,94117
Свердловская область;Екатеринбург;район Орджоникидзевский;ул. Машиностроителей;д.37,район Орджоникидзевский,ул. Машиностроителей,д.37,"56.884350,60.580649",17.0,1600000,94117
Свердловская область;Екатеринбург;пос. Исток;район Октябрьский;ул. Главная;д.20,район Октябрьский,ул. Главная,д.20,"56.780729,60.880013",30.0,1600000,53333
Свердловская область;Екатеринбург;район Октябрьский;Латвийская ул.;д.38,район Октябрьский,Латвийская ул.,д.38,"56.793794,60.771613",28.0,1630000,58214
