address,district,street,house_number,coords,area,full_price,weighted_price
Свердловская область;Екатеринбург;район Ленинский;Европейский мкр;ул. Кольцевая;д.37,Европейский мкр,ул. Кольцевая,д.37,"56.779782,60.531251",36.2,2790000,77071
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Рябинина;д.25,район Верх-Исетский,ул. Рябинина,д.25,"56.795377,60.511533",39.0,2780000,71282
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Сулимова,район Кировский,Пионерский мкр,ул. Сулимова,"56.860303,60.650125",41.0,2841300,69300
Свердловская область;Екатеринбург;район Орджоникидзевский;Симбирский пер.,Екатеринбург,район Орджоникидзевский,Симбирский пер.,"56.897178,60.583181",33.2,2838210,85462
Свердловская область;Екатеринбург;район Октябрьский;ул. Куйбышева,Екатеринбург,район Октябрьский,ул. Куйбышева,"56.829042,60.649148",40.5,2850000,70370
Свердловская область;Екатеринбург;район Верх-Исетский;Заводская ул.;д.75,район Верх-Исетский,Заводская ул.,д.75,"56.823991,60.552244",37.0,2883000,77918
Свердловская область;Екатеринбург;район Верх-Исетский;Заводская ул.,Екатеринбург,район Верх-Исетский,Заводская ул.,"56.822203,60.550899",37.6,2914000,77500
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Вильгельма де Геннина;д.40,район Верх-Исетский,ул. Вильгельма де Геннина,д.40,"56.791275,60.517030",38.6,2900000,75129
Свердловская область;Екатеринбург;район Ленинский;ул. Краснолесья;д.76,район Ленинский,ул. Краснолесья,д.76,"56.788179,60.531493",38.3,2999000,78302
Свердловская область;Екатеринбург;район Чкаловский;Вторчермет мкр;ул. Агрономическая;д.30А,Вторчермет мкр,ул. Агрономическая,д.30А,"56.774737,60.604715",43.0,3000000,69767
Свердловская область;Екатеринбург;район Ленинский;ул. Большакова;д.95,район Ленинский,ул. Большакова,д.95,"56.816976,60.605847",35.8,3100000,86592
Свердловская область;Екатеринбург;район Железнодорожный;ул. Героев России;д.35,район Железнодорожный,ул. Героев России,д.35,"56.854808,60.579113",39.3,3194000,81272
Свердловская область;Екатеринбург;район Кировский;ул. Владимира Высоцкого;д.1,район Кировский,ул. Владимира Высоцкого,д.1,"56.843608,60.674976",40.9,3243000,79213
Свердловская область;Екатеринбург;район Железнодорожный;ул. Героев России;д.35,район Железнодорожный,ул. Героев России,д.35,"56.854808,60.579113",39.7,3226000,81259
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Данилы Зверева,район Кировский,Пионерский мкр,ул. Данилы Зверева,"56.863410,60.652391",41.1,3226000,78491
Свердловская область;Екатеринбург;район Железнодорожный;ул. Героев России;д.35,район Железнодорожный,ул. Героев России,д.35,"56.854808,60.579113",39.6,3218000,81262
Свердловская область;Екатеринбург;район Верх-Исетский;Широкая Речка мкр;ул. Соболева;д.19,Широкая Речка мкр,ул. Соболева,д.19,"56.810507,60.514713",37.8,3350000,88624
Свердловская область;Екатеринбург;район Чкаловский;Вторчермет мкр;пер. Сызранский;д.17,Вторчермет мкр,пер. Сызранский,д.17,"56.771018,60.607149",45.3,3400000,75055
Свердловская область;Екатеринбург;район Железнодорожный;ул. Героев России;д.35,район Железнодорожный,ул. Героев России,д.35,"56.854808,60.579113",44.0,3450000,78409
Свердловская область;Екатеринбург;район Октябрьский;ул. Белинского;д.30,район Октябрьский,ул. Белинского,д.30,"56.833102,60.614444",35.0,3500000,100000
Свердловская область;Екатеринбург;район Чкаловский;ул. 8 Марта,Екатеринбург,район Чкаловский,ул. 8 Марта,"56.797515,60.609476",39.0,3590000,92051
Свердловская область;Екатеринбург;район Октябрьский;Переходный пер.;д.9,район Октябрьский,Переходный пер.,д.9,"56.804155,60.630475",43.9,3600000,82060
Свердловская область;Екатеринбург;район Чкаловский;Вторчермет мкр;пер. Сызранский;д.17,Вторчермет мкр,пер. Сызранский,д.17,"56.771018,60.607149",48.2,3650000,75726
Свердловская область;Екатеринбург;район Орджоникидзевский;Кировградская ул.,Екатеринбург,район Орджоникидзевский,Кировградская ул.,"56.888574,60.604362",48.6,3700000,76131
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Ирбитская,район Кировский,Пионерский мкр,ул. Ирбитская,"56.861891,60.656715",50.1,3780000,75524
