address,district,street,house_number,coords,area,full_price,weighted_price
Свердловская область;Екатеринбург;район Чкаловский;ул. Прониной;д.121,район Чкаловский,ул. Прониной,д.121,"56.772788,60.663932",115.6,5000000,43252
Свердловская область;Екатеринбург;район Ленинский;ул. Радищева;д.31,район Ленинский,ул. Радищева,д.31,"56.829231,60.591501",142.0,14900000,104929
Свердловская область;Екатеринбург;район Чкаловский;Химмаш мкр;ул. Инженерная;д.15,Химмаш мкр,ул. Инженерная,д.15,"56.749387,60.709225",77.7,2900000,37323
Свердловская область;Екатеринбург;район Орджоникидзевский;ул. Уральских Рабочих;д.8,район Орджоникидзевский,ул. Уральских Рабочих,д.8,"56.892694,60.609754",71.4,3849000,53907
Свердловская область;Екатеринбург;район Чкаловский;Химмаш мкр;ул. Грибоедова;д.21,Химмаш мкр,ул. Грибоедова,д.21,"56.754584,60.701302",84.1,4000000,47562
Свердловская область;Екатеринбург;район Орджоникидзевский;просп. Орджоникидзе;д.11,район Орджоникидзевский,просп. Орджоникидзе,д.11,"56.890826,60.590396",83.0,4600000,55421
Свердловская область;Екатеринбург;район Чкаловский;ул. Белинского;д.216,район Чкаловский,ул. Белинского,д.216,"56.802194,60.628179",80.0,5050000,63125
Свердловская область;Екатеринбург;район Чкаловский;ул. Чемпионов,Екатеринбург,район Чкаловский,ул. Чемпионов,"56.749057,60.567153",80.2,5214950,65000
Свердловская область;Екатеринбург;район Чкаловский;ул. Чемпионов,Екатеринбург,район Чкаловский,ул. Чемпионов,"56.749057,60.567153",80.5,5395510,67000
Свердловская область;Екатеринбург;район Верх-Исетский;просп. Ленина;д.5к3,район Верх-Исетский,просп. Ленина,д.5к3,"56.837667,60.584503",96.0,5500000,57291
Свердловская область;Екатеринбург;район Кировский;Первомайская ул.;д.76,район Кировский,Первомайская ул.,д.76,"56.844968,60.640558",81.0,5600000,69135
Свердловская область;Екатеринбург;район Чкаловский;ул. 8 Марта;д.189к3,район Чкаловский,ул. 8 Марта,д.189к3,"56.792991,60.609206",77.4,6050000,78165
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Викулова;д.63к1,район Верх-Исетский,ул. Викулова,д.63к1,"56.821257,60.539309",113.0,6600000,58407
Свердловская область;Екатеринбург;район Ленинский;ул. Чкалова;д.241,район Ленинский,ул. Чкалова,д.241,"56.783204,60.540979",103.8,6800000,65510
Свердловская область;Екатеринбург;район Ленинский;ул. Чкалова;д.250,район Ленинский,ул. Чкалова,д.250,"56.781513,60.535230",122.0,6900000,56557
Свердловская область;Екатеринбург;район Чкаловский;ул. Крестинского,Екатеринбург,район Чкаловский,ул. Крестинского,"56.789841,60.617988",110.2,7271880,66000
Свердловская область;Екатеринбург;район Чкаловский;ул. Крестинского,Екатеринбург,район Чкаловский,ул. Крестинского,"56.789841,60.617988",110.6,7297620,66000
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Сулимова,район Кировский,Пионерский мкр,ул. Сулимова,"56.860303,60.650125",109.1,7997030,73300
Свердловская область;Екатеринбург;район Кировский;Комсомольская ул.;д.67,район Кировский,Комсомольская ул.,д.67,"56.837022,60.661857",119.5,8522000,71313
Свердловская область;Екатеринбург;район Кировский;ул. Раевского,Екатеринбург,район Кировский,ул. Раевского,"56.859110,60.661874",141.9,8797800,62000
Свердловская область;Екатеринбург;район Кировский;ул. Шевченко;д.12,район Кировский,ул. Шевченко,д.12,"56.848635,60.618082",119.0,8800000,73949
Свердловская область;Екатеринбург;район Ленинский;Юго-Западный мкр;ул. Волгоградская,район Ленинский,Юго-Западный мкр,ул. Волгоградская,"56.800320,60.591347",125.9,9565360,76000
Свердловская область;Екатеринбург;район Ленинский;Юго-Западный мкр;ул. Волгоградская,район Ленинский,Юго-Западный мкр,ул. Волгоградская,"56.800320,60.591347",124.7,9729720,78000
Свердловская область;Екатеринбург;район Ленинский;ул. 8 Марта;д.90,район Ленинский,ул. 8 Марта,д.90,"56.816375,60.606035",151.6,10900000,71899
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Хомякова;д.17,район Верх-Исетский,ул. Хомякова,д.17,"56.841369,60.574675",92.3,11499000,124582
