address,district,street,house_number,coords,area,full_price,weighted_price
Свердловская область;Екатеринбург;район Чкаловский;Химмаш мкр;ул. Инженерная;д.73,Химмаш мкр,ул. Инженерная,д.73,"56.760036,60.701428",73.2,3680000,50273
Свердловская область;Екатеринбург;район Чкаловский;Военная ул.;д.10,район Чкаловский,Военная ул.,д.10,"56.782686,60.604427",64.0,3695000,57734
Свердловская область;Екатеринбург;район Железнодорожный;Автомагистральная ул.;д.11,район Железнодорожный,Автомагистральная ул.,д.11,"56.869407,60.562665",64.0,3650000,57031
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Смазчиков;д.6,Пионерский мкр,ул. Смазчиков,д.6,"56.859148,60.622600",72.6,3650000,50275
Свердловская область;Екатеринбург;район Кировский;ул. Малышева;д.130Б,район Кировский,ул. Малышева,д.130Б,"56.839750,60.650170",56.0,3700000,66071
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Металлургов;д.42,район Верх-Исетский,ул. Металлургов,д.42,"56.828222,60.534377",73.0,3700000,50684
Свердловская область;Екатеринбург;район Орджоникидзевский;ул. Восстания;д.108,район Орджоникидзевский,ул. Восстания,д.108,"56.906541,60.594438",64.0,3750000,58593
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Серафимы Дерябиной;д.17,район Верх-Исетский,ул. Серафимы Дерябиной,д.17,"56.820784,60.560635",64.0,3770000,58906
Свердловская область;Екатеринбург;район Чкаловский;Химмаш мкр;ул. Черняховского;д.40,Химмаш мкр,ул. Черняховского,д.40,"56.752605,60.706656",77.4,3800000,49095
Свердловская область;Екатеринбург;район Октябрьский;ул. Саввы Белых;д.13,район Октябрьский,ул. Саввы Белых,д.13,"56.802065,60.634198",64.0,3800000,59375
Свердловская область;Екатеринбург;район Чкаловский;Вторчермет мкр;пер. Малахитовый;д.8,Вторчермет мкр,пер. Малахитовый,д.8,"56.765971,60.600601",63.0,3800000,60317
Свердловская область;Екатеринбург;район Кировский;Втузгородок мкр;ул. Педагогическая;д.18,Втузгородок мкр,ул. Педагогическая,д.18,"56.834924,60.655847",73.9,3850000,52097
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Смазчиков;д.8,Пионерский мкр,ул. Смазчиков,д.8,"56.859448,60.623202",73.0,3900000,53424
Свердловская область;Екатеринбург;район Орджоникидзевский;ул. Бакинских Комиссаров;д.114,район Орджоникидзевский,ул. Бакинских Комиссаров,д.114,"56.911520,60.598283",64.0,3900000,60937
Свердловская область;Екатеринбург;район Кировский;ЖБИ мкр;ул. Новгородцевой;д.7,ЖБИ мкр,ул. Новгородцевой,д.7,"56.836288,60.670858",80.0,3900000,48750
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Июльская;д.45,Пионерский мкр,ул. Июльская,д.45,"56.859281,60.633407",73.5,3900000,53061
Свердловская область;Екатеринбург;район Чкаловский;Химмаш мкр;ул. Грибоедова;д.24,Химмаш мкр,ул. Грибоедова,д.24,"56.754697,60.704590",98.0,3900000,39795
Свердловская область;Екатеринбург;район Орджоникидзевский;ул. Бакинских Комиссаров;д.58,район Орджоникидзевский,ул. Бакинских Комиссаров,д.58,"56.904738,60.587728",75.0,3900000,52000
Свердловская область;Екатеринбург;район Орджоникидзевский;ул. Ломоносова;д.85,район Орджоникидзевский,ул. Ломоносова,д.85,"56.909824,60.600816",64.9,3950000,60862
Свердловская область;Екатеринбург;район Орджоникидзевский;просп. Космонавтов;д.25А,район Орджоникидзевский,просп. Космонавтов,д.25А,"56.894734,60.613420",65.5,3950000,60305
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Уральская;д.46,Пионерский мкр,ул. Уральская,д.46,"56.860403,60.624640",64.0,3950000,61718
Свердловская область;Екатеринбург;район Ленинский;Юго-Западный мкр;ул. Начдива Онуфриева;д.28,Юго-Западный мкр,ул. Начдива Онуфриева,д.28,"56.801085,60.551562",63.8,3950000,61912
Свердловская область;Екатеринбург;район Октябрьский;Синие Камни мкр;ул. Анны Бычковой;д.10,Синие Камни мкр,ул. Анны Бычковой,д.10,"56.829044,60.665782",85.0,3980000,46823
Свердловская область;Екатеринбург;район Орджоникидзевский;ул. Ильича;д.8,район Орджоникидзевский,ул. Ильича,д.8,"56.888234,60.596891",82.7,3990000,48246
Свердловская область;Екатеринбург;район Октябрьский;Кольцово мкр;ул. Испытателей;д.10А,Кольцово мкр,ул. Испытателей,д.10А,"56.766410,60.816735",100.0,4000000,40000
