address,district,street,house_number,coords,area,full_price,weighted_price
Свердловская область;Екатеринбург;район Чкаловский;ул. Степана Разина;д.95,район Чкаловский,ул. Степана Разина,д.95,"56.806866,60.614201",177.2,12990000,73306
Свердловская область;Екатеринбург;район Ленинский;ул. Вайнера;д.15,район Ленинский,ул. Вайнера,д.15,"56.832467,60.596828",163.1,13300000,81545
Свердловская область;Екатеринбург;район Ленинский;Европейский мкр;ул. Кольцевая;д.32,Европейский мкр,ул. Кольцевая,д.32,"56.782751,60.534988",191.0,13370000,70000
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Татищева;д.144,район Верх-Исетский,ул. Татищева,д.144,"56.837125,60.533928",145.6,13543590,93000
Свердловская область;Екатеринбург;район Октябрьский;ул. Мичурина;д.108,район Октябрьский,ул. Мичурина,д.108,"56.836106,60.630434",140.0,13500000,96428
Свердловская область;Екатеринбург;район Октябрьский;ул. Ткачей,Екатеринбург,район Октябрьский,ул. Ткачей,"56.815892,60.634174",154.0,13470000,87456
Свердловская область;Екатеринбург;район Октябрьский;ул. Ткачей,Екатеринбург,район Октябрьский,ул. Ткачей,"56.814963,60.633988",164.3,13690000,83307
Свердловская область;Екатеринбург;район Октябрьский;ул. Ткачей,Екатеринбург,район Октябрьский,ул. Ткачей,"56.814963,60.633988",161.2,14290000,88675
Свердловская область;Екатеринбург;район Октябрьский;ул. Ткачей,Екатеринбург,район Октябрьский,ул. Ткачей,"56.816496,60.633040",178.1,15080000,84690
Свердловская область;Екатеринбург;район Орджоникидзевский;Эльмаш мкр;ул. Бабушкина;д.45,Эльмаш мкр,ул. Бабушкина,д.45,"56.892787,60.617013",146.5,15400000,105119
Свердловская область;Екатеринбург;район Октябрьский;ул. Ткачей,Екатеринбург,район Октябрьский,ул. Ткачей,"56.816496,60.633040",177.4,20280000,114305
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Маршала Жукова;д.13,район Верх-Исетский,ул. Маршала Жукова,д.13,"56.841970,60.583946",127.5,24000000,188235
Свердловская область;Екатеринбург;район Ленинский;ул. Сакко и Ванцетти;д.99,район Ленинский,ул. Сакко и Ванцетти,д.99,"56.830443,60.590926",165.0,25000000,151515
Свердловская область;Екатеринбург;район Ленинский;ул. Сакко и Ванцетти;д.99,район Ленинский,ул. Сакко и Ванцетти,д.99,"56.830443,60.590926",198.3,40800000,205748
Свердловская область;Екатеринбург;район Ленинский;Юго-Западный мкр;ул. Академика Бардина;д.11к1,Юго-Западный мкр,ул. Академика Бардина,д.11к1,"56.807068,60.553691",73.0,4200000,57534
Свердловская область;Екатеринбург;район Кировский;Парковый пер.;д.41к4,район Кировский,Парковый пер.,д.41к4,"56.857436,60.635204",63.4,4590000,72397
Свердловская область;Екатеринбург;пос. Лиственный;район Верх-Исетский;бул. Петра Кожемяко;д.7,район Верх-Исетский,бул. Петра Кожемяко,д.7,"56.801814,60.491581",102.7,8500000,82765
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Юмашева;д.9,район Верх-Исетский,ул. Юмашева,д.9,"56.843334,60.571208",110.0,19700000,179090
Свердловская область;Екатеринбург;район Орджоникидзевский;ул. Индустрии;д.31,район Орджоникидзевский,ул. Индустрии,д.31,"56.896686,60.594501",74.0,3450000,46621
Свердловская область;Екатеринбург;район Чкаловский;Химмаш мкр;ул. Инженерная;д.75,Химмаш мкр,ул. Инженерная,д.75,"56.760771,60.701975",64.0,3600000,56250
Свердловская область;Екатеринбург;район Чкаловский;Химмаш мкр;ул. Черняховского;д.45А,Химмаш мкр,ул. Черняховского,д.45А,"56.754080,60.707051",80.0,3800000,47500
Свердловская область;Екатеринбург;район Кировский;ЖБИ мкр;ул. Новгородцевой;д.35,ЖБИ мкр,ул. Новгородцевой,д.35,"56.827375,60.686057",77.4,4100000,52971
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Викулова;д.48,район Верх-Исетский,ул. Викулова,д.48,"56.827163,60.542992",81.1,4399999,54253
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Готвальда;д.19,район Верх-Исетский,ул. Готвальда,д.19,"56.852878,60.570354",72.2,4800000,66481
Свердловская область;Екатеринбург;район Ленинский;Юго-Западный мкр;ул. Громова;д.144,Юго-Западный мкр,ул. Громова,д.144,"56.800064,60.558101",63.0,4900000,77777
