address,district,street,house_number,coords,area,full_price,weighted_price
Свердловская область;Екатеринбург;район Ленинский;Юго-Западный мкр;ул. Шаумяна,район Ленинский,Юго-Западный мкр,ул. Шаумяна,"56.808243,60.588460",75.0,5720000,76266
Свердловская область;Екатеринбург;район Чкаловский;ул. Крестинского;д.13,район Чкаловский,ул. Крестинского,д.13,"56.792902,60.610572",67.0,5850000,87313
Свердловская область;Екатеринбург;район Чкаловский;Рощинская ул.;д.72а,район Чкаловский,Рощинская ул.,д.72а,"56.779309,60.678314",93.0,6080000,65376
Свердловская область;Екатеринбург;район Кировский;ул. Владимира Высоцкого;д.1,район Кировский,ул. Владимира Высоцкого,д.1,"56.843608,60.674976",93.9,6130000,65310
Свердловская область;Екатеринбург;район Орджоникидзевский;Кировградская ул.,Екатеринбург,район Орджоникидзевский,Кировградская ул.,"56.888574,60.604362",85.4,6320000,74004
Свердловская область;Екатеринбург;район Кировский;ул. Владимира Высоцкого;д.1,район Кировский,ул. Владимира Высоцкого,д.1,"56.843608,60.674976",100.2,6665960,66500
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Данилы Зверева,район Кировский,Пионерский мкр,ул. Данилы Зверева,"56.863410,60.652391",94.7,6810000,71911
Свердловская область;Екатеринбург;район Ленинский;Московская ул.;д.198,район Ленинский,Московская ул.,д.198,"56.800636,60.593549",83.6,6800000,81368
Свердловская область;Екатеринбург;район Ленинский;ул. Чкалова;д.239,район Ленинский,ул. Чкалова,д.239,"56.783865,60.541986",110.4,6900000,62500
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Татищева;д.144,район Верх-Исетский,ул. Татищева,д.144,"56.837125,60.533928",93.2,7177170,77000
Свердловская область;Екатеринбург;район Ленинский;ул. Большакова,Екатеринбург,район Ленинский,ул. Большакова,"56.815957,60.593574",77.8,7390050,94999
Свердловская область;Екатеринбург;район Ленинский;Машинная ул.;д.3а,район Ленинский,Машинная ул.,д.3а,"56.812660,60.631368",121.7,7691950,63204
Свердловская область;Екатеринбург;район Ленинский;ул. Ткачей,Екатеринбург,район Ленинский,ул. Ткачей,"56.816274,60.629100",115.5,7860000,68051
Свердловская область;Екатеринбург;район Октябрьский;Переходный пер.;д.9,район Октябрьский,Переходный пер.,д.9,"56.804155,60.630475",99.6,7941600,79710
Свердловская область;Екатеринбург;район Кировский;Кузнечная ул.;д.79,район Кировский,Кузнечная ул.,д.79,"56.848276,60.620669",80.7,8100000,100371
Свердловская область;Екатеринбург;район Ленинский;ул. Гоголя;д.57,район Ленинский,ул. Гоголя,д.57,"56.829510,60.611844",96.1,8322400,86601
Свердловская область;Екатеринбург;район Ленинский;Юго-Западный мкр;ул. Шаумяна;д.87,Юго-Западный мкр,ул. Шаумяна,д.87,"56.812966,60.571953",105.0,8500000,80967
Свердловская область;Екатеринбург;район Ленинский;Машинная ул.;д.3а,район Ленинский,Машинная ул.,д.3а,"56.812660,60.631368",148.0,8582800,57991
Свердловская область;Екатеринбург;район Кировский;Генеральская ул.;д.12,район Кировский,Генеральская ул.,д.12,"56.843437,60.635994",92.8,8800000,94827
Свердловская область;Екатеринбург;район Ленинский;ул. Белинского;д.108,район Ленинский,ул. Белинского,д.108,"56.819705,60.618163",80.3,8900000,110834
Свердловская область;Екатеринбург;район Ленинский;ул. Хохрякова,Екатеринбург,район Ленинский,ул. Хохрякова,"56.828675,60.594653",79.8,9800000,122807
Свердловская область;Екатеринбург;район Кировский;просп. Ленина;д.99А,район Кировский,просп. Ленина,д.99А,"56.843865,60.642435",106.2,9957600,93780
Свердловская область;Екатеринбург;район Чкаловский;ул. Гастелло;д.3,район Чкаловский,ул. Гастелло,д.3,"56.784787,60.646990",150.0,9950000,66333
Свердловская область;Екатеринбург;район Ленинский;Машинная ул.,Екатеринбург,район Ленинский,Машинная ул.,"56.813210,60.631647",135.7,11300000,83247
Свердловская область;Екатеринбург;район Ленинский;ул. Вайнера;д.15,район Ленинский,ул. Вайнера,д.15,"56.832467,60.596828",120.1,11600000,96586
