address,district,street,house_number,coords,area,full_price,weighted_price
Свердловская область;Екатеринбург;с. Горный Щит;район Чкаловский;ул. Космонавтов;д.1,район Чкаловский,ул. Космонавтов,д.1,"56.686540,60.506601",46.0,1000000,21739
Свердловская область;Екатеринбург;район Ленинский;ул. Чкалова;д.250,район Ленинский,ул. Чкалова,д.250,"56.781513,60.535230",84.8,1100000,12971
Свердловская область;Екатеринбург;район Октябрьский;ул. Мичурина;д.217,район Октябрьский,ул. Мичурина,д.217,"56.823085,60.636488",57.0,1100000,19298
Свердловская область;Екатеринбург;район Октябрьский;ул. Белинского;д.149,район Октябрьский,ул. Белинского,д.149,"56.808536,60.624756",48.0,1199000,24979
Свердловская область;Екатеринбург;район Железнодорожный;Старая Сортировка мкр;ул. Маневровая;д.13/76,Старая Сортировка мкр,ул. Маневровая,д.13/76,"56.874705,60.518468",42.3,1150000,27186
Свердловская область;Екатеринбург;район Октябрьский;ул. Куйбышева;д.108,район Октябрьский,ул. Куйбышева,д.108,"56.825961,60.655676",86.7,1600000,18454
Свердловская область;Екатеринбург;район Чкаловский;ул. Патриса Лумумбы;д.33,район Чкаловский,ул. Патриса Лумумбы,д.33,"56.773183,60.601193",58.3,2200000,37735
Свердловская область;Екатеринбург;район Орджоникидзевский;просп. Космонавтов,Екатеринбург,район Орджоникидзевский,просп. Космонавтов,"56.895826,60.614372",57.1,860000,15061
Свердловская область;Екатеринбург;район Чкаловский;Самолетная ул.;д.27,район Чкаловский,Самолетная ул.,д.27,"56.786138,60.637971",32.7,900000,27522
Свердловская область;Екатеринбург;район Орджоникидзевский;Эльмаш мкр;ул. Парниковая;д.12,Эльмаш мкр,ул. Парниковая,д.12,"56.909495,60.616833",80.0,1900000,23750
