address,district,street,house_number,coords,area,full_price,weighted_price
Свердловская область;Екатеринбург;район Орджоникидзевский;ул. 22-го Партсъезда;д.21,район Орджоникидзевский,ул. 22-го Партсъезда,д.21,"56.890073,60.570489",42.9,2650000,61771
Свердловская область;Екатеринбург;район Октябрьский;Латвийская ул.,Екатеринбург,район Октябрьский,Латвийская ул.,"56.799823,60.765257",51.4,2686651,52300
Свердловская область;Екатеринбург;район Орджоникидзевский;Стахановская ул.;д.45,район Орджоникидзевский,Стахановская ул.,д.45,"56.897507,60.601670",46.0,2650000,57608
Свердловская область;Екатеринбург;район Железнодорожный;Новая Сортировка мкр;ул. Ольховская;д.25к1,Новая Сортировка мкр,ул. Ольховская,д.25к1,"56.860467,60.554562",43.0,2700000,62790
Свердловская область;Екатеринбург;район Чкаловский;ул. Титова;д.12,район Чкаловский,ул. Титова,д.12,"56.782652,60.608227",46.0,2700000,58695
Свердловская область;Екатеринбург;район Октябрьский;Латвийская ул.,Екатеринбург,район Октябрьский,Латвийская ул.,"56.799823,60.765257",53.4,2711196,50800
Свердловская область;Екатеринбург;район Железнодорожный;Старая Сортировка мкр;ул. Расточная;д.15к7,Старая Сортировка мкр,ул. Расточная,д.15к7,"56.876756,60.509664",48.1,2700000,56133
Свердловская область;Екатеринбург;район Орджоникидзевский;Эльмаш мкр;ул. Красных Командиров;д.75,Эльмаш мкр,ул. Красных Командиров,д.75,"56.900073,60.634844",42.3,2790000,65957
Свердловская область;Екатеринбург;пос. Мичуринский;район Верх-Исетский;ул. Широкореченская,пос. Мичуринский,район Верх-Исетский,ул. Широкореченская,"56.794280,60.473254",50.6,2783000,55000
Свердловская область;Екатеринбург;район Кировский;ул. Малышева;д.130А,район Кировский,ул. Малышева,д.130А,"56.839356,60.649505",43.0,2750000,63953
Свердловская область;Екатеринбург;район Октябрьский;Латвийская ул.,Екатеринбург,район Октябрьский,Латвийская ул.,"56.799838,60.764208",53.8,2785286,51800
Свердловская область;Екатеринбург;район Кировский;ЖБИ мкр;ул. Сыромолотова;д.24,ЖБИ мкр,ул. Сыромолотова,д.24,"56.834614,60.686578",42.9,2790000,65034
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Крауля;д.72,район Верх-Исетский,ул. Крауля,д.72,"56.831620,60.547861",43.1,2750000,63805
Свердловская область;Екатеринбург;район Октябрьский;Компрессорный мкр;ул. Яскина,район Октябрьский,Компрессорный мкр,ул. Яскина,"56.796737,60.760116",55.1,2840000,51505
Свердловская область;Екатеринбург;район Кировский;ЖБИ мкр;ул. Сыромолотова;д.14,ЖБИ мкр,ул. Сыромолотова,д.14,"56.837184,60.678916",42.0,2830000,67380
Свердловская область;Екатеринбург;район Кировский;ул. Владимира Высоцкого;д.6,район Кировский,ул. Владимира Высоцкого,д.6,"56.838834,60.674451",42.0,2890000,68809
Свердловская область;Екатеринбург;район Октябрьский;Компрессорный мкр;ул. Яскина,район Октябрьский,Компрессорный мкр,ул. Яскина,"56.796737,60.760116",55.8,2875000,51495
Свердловская область;Екатеринбург;район Чкаловский;Химмаш мкр;ул. Водная;д.19,Химмаш мкр,ул. Водная,д.19,"56.747121,60.707365",53.3,2850000,53470
Свердловская область;Екатеринбург;район Орджоникидзевский;ул. Хмелева;д.12,район Орджоникидзевский,ул. Хмелева,д.12,"56.888303,60.580712",42.0,2850000,67857
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Евгения Савкова,Екатеринбург,район Верх-Исетский,ул. Евгения Савкова,"56.789953,60.488517",52.4,2899379,55300
Свердловская область;Екатеринбург;район Орджоникидзевский;ул. Бакинских Комиссаров;д.100,район Орджоникидзевский,ул. Бакинских Комиссаров,д.100,"56.908483,60.592462",42.8,2850000,66588
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Июльская;д.39К2,Пионерский мкр,ул. Июльская,д.39К2,"56.858484,60.633380",43.0,2850000,66279
Свердловская область;Екатеринбург;район Октябрьский;Компрессорный мкр;ул. Яскина;д.8,Компрессорный мкр,ул. Яскина,д.8,"56.795012,60.763717",59.4,2940000,49511
Свердловская область;Екатеринбург;район Орджоникидзевский;Эльмаш мкр;ул. Парниковая;д.7к1,Эльмаш мкр,ул. Парниковая,д.7к1,"56.908900,60.615638",43.7,2900000,66361
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Мельникова;д.52,район Верх-Исетский,ул. Мельникова,д.52,"56.828498,60.564964",44.7,2949000,65973
