address,district,street,house_number,coords,area,full_price,weighted_price
Свердловская область;Екатеринбург;район Железнодорожный;Старая Сортировка мкр;ул. Ватутина;д.8,Старая Сортировка мкр,ул. Ватутина,д.8,"56.872250,60.521621",82.0,3200000,39024
Свердловская область;Екатеринбург;район Железнодорожный;Старая Сортировка мкр;ул. Ватутина;д.8,Старая Сортировка мкр,ул. Ватутина,д.8,"56.872250,60.521621",82.0,3200000,39024
Свердловская область;Екатеринбург;район Кировский;ЖБИ мкр;бул. Сиреневый;д.23,ЖБИ мкр,бул. Сиреневый,д.23,"56.829103,60.687450",57.6,3555000,61718
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Данилы Зверева;д.7,Пионерский мкр,ул. Данилы Зверева,д.7,"56.859635,60.653053",53.0,3600000,67924
Свердловская область;Екатеринбург;район Орджоникидзевский;ул. Избирателей;д.15,район Орджоникидзевский,ул. Избирателей,д.15,"56.901037,60.599603",59.2,3600000,60810
Свердловская область;Екатеринбург;район Орджоникидзевский;Стахановская ул.;д.6,район Орджоникидзевский,Стахановская ул.,д.6,"56.890290,60.593594",61.5,3600000,58536
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Рябинина,Екатеринбург,район Верх-Исетский,ул. Рябинина,"56.798595,60.513173",71.6,3697000,51634
Свердловская область;Екатеринбург;район Железнодорожный;Таватуйская ул.;д.1Б,район Железнодорожный,Таватуйская ул.,д.1Б,"56.867867,60.542372",66.0,3700000,56060
Свердловская область;Екатеринбург;район Октябрьский;ул. Мичурина;д.210,район Октябрьский,ул. Мичурина,д.210,"56.822612,60.635491",64.5,3730000,57829
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Рябинина,Екатеринбург,район Верх-Исетский,ул. Рябинина,"56.798395,60.513065",71.7,3816000,53192
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Боровая;д.21,Пионерский мкр,ул. Боровая,д.21,"56.862873,60.647969",57.1,3890000,68126
Свердловская область;Екатеринбург;район Ленинский;ул. Фрунзе;д.64,район Ленинский,ул. Фрунзе,д.64,"56.814000,60.604625",58.0,3890000,67068
Свердловская область;Екатеринбург;район Октябрьский;Кольцово мкр;ул. Бахчиванджи;д.15,Кольцово мкр,ул. Бахчиванджи,д.15,"56.755487,60.819367",70.1,3940000,56205
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Рябинина,Екатеринбург,район Верх-Исетский,ул. Рябинина,"56.798595,60.513173",71.6,3963000,55349
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Рябинина,Екатеринбург,район Верх-Исетский,ул. Рябинина,"56.798595,60.513173",71.1,3960000,55696
Свердловская область;Екатеринбург;район Октябрьский;просп. Ленина;д.54к4,район Октябрьский,просп. Ленина,д.54к4,"56.839622,60.628933",63.4,3990000,62933
Свердловская область;Екатеринбург;район Железнодорожный;просп. Седова;д.53,район Железнодорожный,просп. Седова,д.53,"56.870450,60.526202",63.4,3970000,62618
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Рабочих;д.15,район Верх-Исетский,ул. Рабочих,д.15,"56.834816,60.535994",63.0,4000000,63492
Свердловская область;Екатеринбург;район Октябрьский;Восточная ул.;д.25,район Октябрьский,Восточная ул.,д.25,"56.825459,60.638734",67.5,4050000,60000
Свердловская область;Екатеринбург;район Кировский;ЖБИ мкр;ул. Новгородцевой;д.35,ЖБИ мкр,ул. Новгородцевой,д.35,"56.827375,60.686057",77.4,4100000,52971
Свердловская область;Екатеринбург;район Ленинский;ул. Фурманова;д.113,район Ленинский,ул. Фурманова,д.113,"56.813656,60.591725",63.1,4150000,65768
Свердловская область;Екатеринбург;район Октябрьский;Лечебный мкр;ул. Лагерная;д.14к1,Лечебный мкр,ул. Лагерная,д.14к1,"56.806895,60.717471",75.6,4300000,56878
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Викулова;д.48,район Верх-Исетский,ул. Викулова,д.48,"56.827163,60.542992",81.1,4399999,54253
Свердловская область;Екатеринбург;район Кировский;ул. Владимира Высоцкого;д.40,район Кировский,ул. Владимира Высоцкого,д.40,"56.841891,60.690387",67.0,4600000,68656
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Боровая;д.22,Пионерский мкр,ул. Боровая,д.22,"56.862037,60.649568",61.2,4700000,76797
