address,district,street,house_number,coords,area,full_price,weighted_price
Свердловская область;Екатеринбург;район Октябрьский;ул. Саввы Белых;д.1,район Октябрьский,ул. Саввы Белых,д.1,"56.801164,60.630281",117.0,11900000,101709
Свердловская область;Екатеринбург;район Чкаловский;ул. Чайковского;д.56,район Чкаловский,ул. Чайковского,д.56,"56.808911,60.619843",134.0,12000000,89552
Свердловская область;Екатеринбург;район Ленинский;ул. Сурикова;д.48,район Ленинский,ул. Сурикова,д.48,"56.809364,60.600439",251.0,12000000,47808
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Мельникова;д.27,район Верх-Исетский,ул. Мельникова,д.27,"56.833171,60.569429",123.0,12000000,97560
Свердловская область;Екатеринбург;район Ленинский;Юго-Западный мкр;ул. Ясная;д.33,Юго-Западный мкр,ул. Ясная,д.33,"56.810665,60.567408",123.0,12000000,97560
Свердловская область;Екатеринбург;район Ленинский;ул. Хохрякова;д.18,район Ленинский,ул. Хохрякова,д.18,"56.834250,60.591555",114.0,12200000,107017
Свердловская область;Екатеринбург;район Октябрьский;ул. Тверитина;д.34,район Октябрьский,ул. Тверитина,д.34,"56.822961,60.626445",152.0,12160000,80000
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Готвальда;д.6к1,район Верх-Исетский,ул. Готвальда,д.6к1,"56.849492,60.568998",156.0,12480000,80000
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Крылова;д.27,район Верх-Исетский,ул. Крылова,д.27,"56.832299,60.571028",145.0,12500000,86206
Свердловская область;Екатеринбург;район Верх-Исетский;Гурзуфская ул.;д.12,район Верх-Исетский,Гурзуфская ул.,д.12,"56.825700,60.582482",165.6,12500000,75483
Свердловская область;Екатеринбург;район Октябрьский;Красноармейская ул.;д.78,район Октябрьский,Красноармейская ул.,д.78,"56.829207,60.618720",143.0,12500000,87412
Свердловская область;Екатеринбург;район Октябрьский;ул. Тверитина;д.34к5,район Октябрьский,ул. Тверитина,д.34к5,"56.822538,60.625924",163.0,12800000,78527
Свердловская область;Екатеринбург;район Ленинский;ул. Вайнера;д.15,район Ленинский,ул. Вайнера,д.15,"56.832467,60.596828",163.0,12990000,79693
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Бехтерева;д.3,Пионерский мкр,ул. Бехтерева,д.3,"56.863311,60.650745",130.0,13000000,100000
Свердловская область;Екатеринбург;район Верх-Исетский;Ключевская ул.;д.15,район Верх-Исетский,Ключевская ул.,д.15,"56.832368,60.566779",132.0,13490000,102196
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Папанина;д.18,район Верх-Исетский,ул. Папанина,д.18,"56.844382,60.578448",146.0,13800000,94520
Свердловская область;Екатеринбург;район Ленинский;ул. Горького;д.69/1,район Ленинский,ул. Горького,д.69/1,"56.828517,60.609943",116.0,14000000,120689
Свердловская область;Екатеринбург;район Ленинский;ул. Сакко и Ванцетти;д.105к1,район Ленинский,ул. Сакко и Ванцетти,д.105к1,"56.827650,60.591950",145.0,14500000,100000
Свердловская область;Екатеринбург;район Железнодорожный;Красный пер.;д.8Б,район Железнодорожный,Красный пер.,д.8Б,"56.847395,60.595319",115.0,15000000,130434
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Маршала Жукова;д.13,район Верх-Исетский,ул. Маршала Жукова,д.13,"56.841970,60.583946",190.0,15000000,78947
Свердловская область;Екатеринбург;район Октябрьский;ул. Розы Люксембург;д.79,район Октябрьский,ул. Розы Люксембург,д.79,"56.821774,60.616483",155.0,15490000,99935
Свердловская область;Екатеринбург;район Октябрьский;ул. Народной воли;д.69,район Октябрьский,ул. Народной воли,д.69,"56.826335,60.615001",134.0,15700000,117164
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Попова;д.33а,район Верх-Исетский,ул. Попова,д.33а,"56.833082,60.580568",197.0,15900000,80710
Свердловская область;Екатеринбург;район Кировский;ул. Шевченко;д.20,район Кировский,ул. Шевченко,д.20,"56.848827,60.622097",128.4,15900000,123831
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Юмашева;д.5,район Верх-Исетский,ул. Юмашева,д.5,"56.843216,60.572816",116.0,16000000,137931
