address,district,street,house_number,coords,area,full_price,weighted_price
Свердловская область;Екатеринбург;район Чкаловский;ул. 8 Марта,Екатеринбург,район Чкаловский,ул. 8 Марта,"56.792054,60.610382",60.8,4352260,71559
Свердловская область;Екатеринбург;пос. Мичуринский;район Верх-Исетский;ул. Карасьевская;д.37,район Верх-Исетский,ул. Карасьевская,д.37,"56.789264,60.472330",62.9,4380985,69650
Свердловская область;Екатеринбург;район Верх-Исетский;Суходольская ул.,Екатеринбург,район Верх-Исетский,Суходольская ул.,"56.791054,60.486782",63.5,4360000,68661
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Сулимова,район Кировский,Пионерский мкр,ул. Сулимова,"56.859832,60.650756",59.5,4352374,73100
Свердловская область;Екатеринбург;район Чкаловский;ул. Гастелло;д.25,район Чкаловский,ул. Гастелло,д.25,"56.782927,60.647289",72.6,4440000,61157
Свердловская область;Екатеринбург;район Октябрьский;Восточная ул.;д.31,район Октябрьский,Восточная ул.,д.31,"56.822862,60.640685",56.0,4400000,78571
Свердловская область;Екатеринбург;район Железнодорожный;ул. Героев России;д.35,район Железнодорожный,ул. Героев России,д.35,"56.854808,60.579113",61.5,4415500,71796
Свердловская область;Екатеринбург;район Чкаловский;Рощинская ул.;д.74,район Чкаловский,Рощинская ул.,д.74,"56.776295,60.686426",64.0,4400000,68750
Свердловская область;Екатеринбург;район Верх-Исетский;Заводская ул.,Екатеринбург,район Верх-Исетский,Заводская ул.,"56.822203,60.550899",64.0,4416000,69000
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Сулимова,район Кировский,Пионерский мкр,ул. Сулимова,"56.860303,60.650125",63.9,4428270,69300
Свердловская область;Екатеринбург;район Кировский;ул. Блюхера;д.97,район Кировский,ул. Блюхера,д.97,"56.865080,60.666497",68.7,4434066,64542
Свердловская область;Екатеринбург;район Чкаловский;ул. Гастелло;д.25,район Чкаловский,ул. Гастелло,д.25,"56.782927,60.647289",71.3,4490000,62973
Свердловская область;Екатеринбург;район Верх-Исетский;Заводская ул.,Екатеринбург,район Верх-Исетский,Заводская ул.,"56.822203,60.550899",63.2,4487200,71000
Свердловская область;Екатеринбург;район Ленинский;ул. Краснолесья,Екатеринбург,район Ленинский,ул. Краснолесья,"56.784661,60.538231",69.0,4482000,64928
Свердловская область;Екатеринбург;район Орджоникидзевский;Эльмаш мкр;ул. Совхозная;д.4,Эльмаш мкр,ул. Совхозная,д.4,"56.908286,60.622313",58.0,4450000,76724
Свердловская область;Екатеринбург;район Орджоникидзевский;Эльмаш мкр;ул. Парниковая;д.10,Эльмаш мкр,ул. Парниковая,д.10,"56.909549,60.617875",60.6,4450000,73432
Свердловская область;Екатеринбург;район Чкаловский;ул. 8 Марта,Екатеринбург,район Чкаловский,ул. 8 Марта,"56.792054,60.610382",64.1,4458800,69570
Свердловская область;Екатеринбург;район Чкаловский;Миасская ул.,Екатеринбург,район Чкаловский,Миасская ул.,"56.785682,60.651716",60.3,4474260,74200
Свердловская область;Екатеринбург;район Кировский;ул. Владимира Высоцкого;д.1,район Кировский,ул. Владимира Высоцкого,д.1,"56.843608,60.674976",58.3,4545840,78013
Свердловская область;Екатеринбург;район Чкаловский;ул. 8 Марта,Екатеринбург,район Чкаловский,ул. 8 Марта,"56.792054,60.610382",58.5,4503730,77000
Свердловская область;Екатеринбург;район Чкаловский;Широкий пер.;д.2А,район Чкаловский,Широкий пер.,д.2А,"56.783041,60.651293",71.9,4526550,63000
Свердловская область;Екатеринбург;район Чкаловский;ул. Счастливая,Екатеринбург,район Чкаловский,ул. Счастливая,"56.749519,60.564728",63.4,4520700,71304
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Данилы Зверева,район Кировский,Пионерский мкр,ул. Данилы Зверева,"56.863410,60.652391",60.3,4534000,75190
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Евгения Савкова,Екатеринбург,район Верх-Исетский,ул. Евгения Савкова,"56.790369,60.487700",64.8,4510000,69598
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Сулимова,район Кировский,Пионерский мкр,ул. Сулимова,"56.860303,60.650125",61.0,4532300,74300
