address,district,street,house_number,coords,area,full_price,weighted_price
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Евгения Савкова,Екатеринбург,район Верх-Исетский,ул. Евгения Савкова,"56.794223,60.498068",74.1,3890250,52500
Свердловская область;Екатеринбург;район Чкаловский;ул. Патриса Лумумбы;д.63,район Чкаловский,ул. Патриса Лумумбы,д.63,"56.766021,60.604257",65.6,3890000,59298
Свердловская область;Екатеринбург;район Ленинский;Академический мкр;просп. Академика Сахарова;д.31,Академический мкр,просп. Академика Сахарова,д.31,"56.773504,60.536362",56.0,3890000,69464
Свердловская область;Екатеринбург;район Железнодорожный;просп. Космонавтов;д.11к1,район Железнодорожный,просп. Космонавтов,д.11к1,"56.866854,60.608111",66.9,3933720,58799
Свердловская область;Екатеринбург;район Ленинский;Академический мкр;просп. Академика Сахарова;д.45,Академический мкр,просп. Академика Сахарова,д.45,"56.781996,60.520758",58.2,3946800,67814
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Евгения Савкова,Екатеринбург,район Верх-Исетский,ул. Евгения Савкова,"56.794223,60.498068",74.8,3929100,52500
Свердловская область;Екатеринбург;район Чкаловский;ул. Щербакова,Екатеринбург,район Чкаловский,ул. Щербакова,"56.777356,60.663748",60.2,3912350,65000
Свердловская область;Екатеринбург;район Чкаловский;Широкий пер.,Екатеринбург,район Чкаловский,Широкий пер.,"56.782778,60.651349",60.2,3909750,65000
Свердловская область;Екатеринбург;район Ленинский;Академический мкр;ул. Павла Шаманова,район Ленинский,Академический мкр,ул. Павла Шаманова,"56.784827,60.522172",58.5,3900000,66666
Свердловская область;Екатеринбург;район Кировский;ул. Блюхера;д.97,район Кировский,ул. Блюхера,д.97,"56.865080,60.666497",60.8,3942753,64847
Свердловская область;Екатеринбург;район Чкаловский;ул. Патриотов;д.6к4,район Чкаловский,ул. Патриотов,д.6к4,"56.781006,60.673269",66.6,3903565,58656
Свердловская область;Екатеринбург;район Чкаловский;Широкий пер.;д.2А,район Чкаловский,Широкий пер.,д.2А,"56.783041,60.651293",59.8,3945480,66000
Свердловская область;Екатеринбург;район Чкаловский;ул. Счастливая,Екатеринбург,район Чкаловский,ул. Счастливая,"56.749519,60.564728",52.2,3906900,74844
Свердловская область;Екатеринбург;район Железнодорожный;просп. Космонавтов;д.11к2,район Железнодорожный,просп. Космонавтов,д.11к2,"56.866859,60.609503",64.3,3954450,61500
Свердловская область;Екатеринбург;район Чкаловский;ул. Счастливая,Екатеринбург,район Чкаловский,ул. Счастливая,"56.749519,60.564728",59.9,3999600,66771
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Сулимова,район Кировский,Пионерский мкр,ул. Сулимова,"56.860303,60.650125",61.8,3973740,64300
Свердловская область;Екатеринбург;район Железнодорожный;Пионерский мкр,Екатеринбург,район Железнодорожный,Пионерский мкр,"56.860021,60.614029",46.0,3950000,85869
Свердловская область;Екатеринбург;район Кировский;ЖБИ мкр;бул. Сиреневый;д.19А,ЖБИ мкр,бул. Сиреневый,д.19А,"56.829867,60.686596",62.0,3950000,63709
Свердловская область;Екатеринбург;район Орджоникидзевский;ул. Избирателей;д.110,район Орджоникидзевский,ул. Избирателей,д.110,"56.906595,60.587162",56.0,3990000,71250
Свердловская область;Екатеринбург;район Чкаловский;ул. Чемпионов,Екатеринбург,район Чкаловский,ул. Чемпионов,"56.749057,60.567153",61.2,4037880,66000
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Евгения Савкова,Екатеринбург,район Верх-Исетский,ул. Евгения Савкова,"56.790369,60.487700",69.1,4030000,58321
Свердловская область;Екатеринбург;район Ленинский;Академический мкр;просп. Академика Сахарова;д.39,Академический мкр,просп. Академика Сахарова,д.39,"56.779318,60.525573",61.8,4044800,65449
Свердловская область;Екатеринбург;район Ленинский;ул. Цвиллинга,Екатеринбург,район Ленинский,ул. Цвиллинга,"56.814620,60.624010",54.6,4040400,74000
Свердловская область;Екатеринбург;район Чкаловский;ул. Щербакова,Екатеринбург,район Чкаловский,ул. Щербакова,"56.777356,60.663748",58.5,4035810,69000
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Сулимова,район Кировский,Пионерский мкр,ул. Сулимова,"56.860303,60.650125",64.8,4037040,62300
