address,district,street,house_number,coords,area,full_price,weighted_price
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Металлургов;д.46,район Верх-Исетский,ул. Металлургов,д.46,"56.827764,60.532598",64.0,3900000,60937
Свердловская область;Екатеринбург;район Верх-Исетский;Юго-Западный мкр;ул. Шаумяна;д.100,Юго-Западный мкр,ул. Шаумяна,д.100,"56.818075,60.562027",56.2,3990000,70996
Свердловская область;Екатеринбург;район Кировский;Втузгородок мкр;ул. Технологическая;д.8,Втузгородок мкр,ул. Технологическая,д.8,"56.849605,60.660051",71.7,3950000,55090
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Евгения Савкова,Екатеринбург,район Верх-Исетский,ул. Евгения Савкова,"56.788712,60.488379",65.3,3953915,60550
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Евгения Савкова,Екатеринбург,район Верх-Исетский,ул. Евгения Савкова,"56.788712,60.488379",65.8,3982373,60549
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Евгения Савкова,Екатеринбург,район Верх-Исетский,ул. Евгения Савкова,"56.789953,60.488517",74.1,4024173,54300
Свердловская область;Екатеринбург;район Октябрьский;Компрессорный мкр;ул. Яскина,район Октябрьский,Компрессорный мкр,ул. Яскина,"56.796737,60.760116",82.6,4088000,49497
Свердловская область;Екатеринбург;район Ленинский;Юго-Западный мкр;бул. Денисова-Уральского;д.7,Юго-Западный мкр,бул. Денисова-Уральского,д.7,"56.795968,60.585787",63.0,4090000,64920
Свердловская область;Екатеринбург;район Октябрьский;Компрессорный мкр;ул. Яскина,район Октябрьский,Компрессорный мкр,ул. Яскина,"56.796737,60.760116",80.1,4124000,51498
Свердловская область;Екатеринбург;район Орджоникидзевский;Эльмаш мкр;ул. Таганская;д.51А,Эльмаш мкр,ул. Таганская,д.51А,"56.901710,60.632464",60.0,4100000,68333
Свердловская область;Екатеринбург;район Кировский;ул. Блюхера;д.55,район Кировский,ул. Блюхера,д.55,"56.856136,60.645992",58.0,4150000,71551
Свердловская область;Екатеринбург;район Октябрьский;Луганская ул.,Екатеринбург,район Октябрьский,Луганская ул.,"56.807962,60.638341",59.9,4195800,70000
Свердловская область;Екатеринбург;район Октябрьский;Компрессорный мкр;ул. Яскина,район Октябрьский,Компрессорный мкр,ул. Яскина,"56.795517,60.762536",77.5,4191000,54084
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Евгения Савкова,Екатеринбург,район Верх-Исетский,ул. Евгения Савкова,"56.789156,60.489504",75.2,4159113,55300
Свердловская область;Екатеринбург;район Октябрьский;Компрессорный мкр;ул. Яскина,район Октябрьский,Компрессорный мкр,ул. Яскина,"56.795517,60.762536",78.1,4183000,53559
Свердловская область;Екатеринбург;район Октябрьский;Компрессорный мкр;ул. Яскина,район Октябрьский,Компрессорный мкр,ул. Яскина,"56.796737,60.760116",85.5,4233000,49497
Свердловская область;Екатеринбург;район Ленинский;ул. Академика Постовского;д.16А,район Ленинский,ул. Академика Постовского,д.16А,"56.791443,60.578259",64.0,4220000,65937
Свердловская область;Екатеринбург;район Октябрьский;Луганская ул.,Екатеринбург,район Октябрьский,Луганская ул.,"56.807962,60.638341",59.3,4271040,72000
Свердловская область;Екатеринбург;район Железнодорожный;просп. Космонавтов;д.11к1,район Железнодорожный,просп. Космонавтов,д.11к1,"56.866854,60.608111",68.6,4280640,62400
Свердловская область;Екатеринбург;район Кировский;ЖБИ мкр;ул. Сыромолотова;д.11,ЖБИ мкр,ул. Сыромолотова,д.11,"56.838435,60.680928",64.0,4250000,66406
Свердловская область;Екатеринбург;район Ленинский;ул. Сакко и Ванцетти;д.55,район Ленинский,ул. Сакко и Ванцетти,д.55,"56.834427,60.589309",69.2,4250000,61416
Свердловская область;Екатеринбург;район Ленинский;ул. Академика Постовского;д.16А,район Ленинский,ул. Академика Постовского,д.16А,"56.791443,60.578259",64.0,4299000,67171
Свердловская область;Екатеринбург;район Октябрьский;ул. Луначарского;д.225,район Октябрьский,ул. Луначарского,д.225,"56.818848,60.628862",57.0,4250000,74561
Свердловская область;Екатеринбург;район Железнодорожный;просп. Седова;д.25,район Железнодорожный,просп. Седова,д.25,"56.866913,60.537251",64.0,4300000,67187
Свердловская область;Екатеринбург;район Чкаловский;ул. Патриотов;д.6к4,район Чкаловский,ул. Патриотов,д.6к4,"56.781006,60.673269",82.1,4300114,52376
