address,district,street,house_number,coords,area,full_price,weighted_price,lat,lon
Свердловская область;Екатеринбург;район Орджоникидзевский;Эльмаш мкр;ул. Фрезеровщиков;д.41,Эльмаш мкр,ул. Фрезеровщиков,д.41,"56.905057,60.627900",64.3,3850000,59875,56.905057,60.627900
Свердловская область;Екатеринбург;район Октябрьский;Лечебный мкр;ул. Каменотесов;д.2к2,Лечебный мкр,ул. Каменотесов,д.2к2,"56.807531,60.712800",73.7,3850000,52238,56.807531,60.712800
Свердловская область;Екатеринбург;район Чкаловский;Окружная ул.;д.8,район Чкаловский,Окружная ул.,д.8,"56.756498,60.604832",80.0,3950000,49375,56.756498,60.604832
Свердловская область;Екатеринбург;район Октябрьский;Синие Камни мкр;ул. Анны Бычковой,район Октябрьский,Синие Камни мкр,ул. Анны Бычковой,"56.828143,60.673050",85.0,3980000,46823,56.828143,60.673050
Свердловская область;Екатеринбург;район Октябрьский;Восточная ул.;д.84,район Октябрьский,Восточная ул.,д.84,"56.833348,60.633865",72.0,4000000,55555,56.833348,60.633865
Свердловская область;Екатеринбург;район Кировский;ул. Владимира Высоцкого;д.6,район Кировский,ул. Владимира Высоцкого,д.6,"56.838834,60.674451",78.3,4000000,51085,56.838834,60.674451
Свердловская область;Екатеринбург;район Железнодорожный;ул. Минометчиков;д.58,район Железнодорожный,ул. Минометчиков,д.58,"56.869933,60.519896",80.0,4050000,50625,56.869933,60.519896
Свердловская область;Екатеринбург;район Октябрьский;Восточная ул.;д.84,район Октябрьский,Восточная ул.,д.84,"56.833348,60.633865",72.2,4130000,57202,56.833348,60.633865
Свердловская область;Екатеринбург;район Верх-Исетский;Юго-Западный мкр;ул. Шаумяна;д.107,Юго-Западный мкр,ул. Шаумяна,д.107,"56.817405,60.558299",64.4,4112765,63862,56.817405,60.558299
Свердловская область;Екатеринбург;район Чкаловский;ул. Дарвина;д.2,район Чкаловский,ул. Дарвина,д.2,"56.782948,60.663447",78.0,4200000,53846,56.782948,60.663447
Свердловская область;Екатеринбург;район Железнодорожный;Техническая ул.;д.68,район Железнодорожный,Техническая ул.,д.68,"56.874444,60.519626",77.0,4200000,54545,56.874444,60.519626
Свердловская область;Екатеринбург;район Кировский;ЖБИ мкр;ул. 40-летия Комсомола;д.31,ЖБИ мкр,ул. 40-летия Комсомола,д.31,"56.831423,60.694609",80.0,4200000,52500,56.831423,60.694609
Свердловская область;Екатеринбург;район Орджоникидзевский;ул. Ильича;д.71,район Орджоникидзевский,ул. Ильича,д.71,"56.900471,60.611668",65.5,4200000,64122,56.900471,60.611668
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Готвальда;д.19,район Верх-Исетский,ул. Готвальда,д.19,"56.852878,60.570354",73.0,4300000,58904,56.852878,60.570354
Свердловская область;Екатеринбург;район Верх-Исетский;Юго-Западный мкр;ул. Белореченская;д.29,Юго-Западный мкр,ул. Белореченская,д.29,"56.812892,60.559422",65.8,4300000,65349,56.812892,60.559422
Свердловская область;Екатеринбург;район Верх-Исетский;Опалихинская ул.;д.19,район Верх-Исетский,Опалихинская ул.,д.19,"56.849295,60.562764",76.8,4390000,57161,56.849295,60.562764
Свердловская область;Екатеринбург;район Орджоникидзевский;Стахановская ул.;д.24к2,район Орджоникидзевский,Стахановская ул.,д.24к2,"56.894135,60.599594",82.0,4390000,53536,56.894135,60.599594
Свердловская область;Екатеринбург;район Железнодорожный;ул. Минометчиков;д.58,район Железнодорожный,ул. Минометчиков,д.58,"56.869933,60.519896",81.5,4350000,53374,56.869933,60.519896
Свердловская область;Екатеринбург;район Орджоникидзевский;Эльмаш мкр;ул. Старых Большевиков;д.34,Эльмаш мкр,ул. Старых Большевиков,д.34,"56.895246,60.626508",69.0,2850000,41304,56.895246,60.626508
Свердловская область;Екатеринбург;район Железнодорожный;Тагильская ул.;д.23,район Железнодорожный,Тагильская ул.,д.23,"56.861259,60.586524",58.0,2920000,50344,56.861259,60.586524
Свердловская область;Екатеринбург;район Железнодорожный;Ангарская ул.;д.60,район Железнодорожный,Ангарская ул.,д.60,"56.884684,60.517578",62.0,3000000,48387,56.884684,60.517578
Свердловская область;Екатеринбург;район Чкаловский;Вторчермет мкр;ул. Симферопольская;д.17,Вторчермет мкр,ул. Симферопольская,д.17,"56.773050,60.583631",73.5,3000000,40816,56.773050,60.583631
Свердловская область;Екатеринбург;пос. Совхозный;район Ленинский;Предельная ул.;д.10А,район Ленинский,Предельная ул.,д.10А,"56.761561,60.571100",61.8,3100000,50161,56.761561,60.571100
Свердловская область;Екатеринбург;район Железнодорожный;просп. Седова;д.44,район Железнодорожный,просп. Седова,д.44,"56.869043,60.533928",62.0,3199990,51612,56.869043,60.533928
Свердловская область;Екатеринбург;район Октябрьский;Трактовая ул.;д.9,район Октябрьский,Трактовая ул.,д.9,"56.779096,60.799847",80.0,3200000,40000,56.779096,60.799847
Свердловская область;Екатеринбург;район Железнодорожный;Ангарская ул.;д.52к2,район Железнодорожный,Ангарская ул.,д.52к2,"56.886681,60.513644",68.1,3399999,49926,56.886681,60.513644
Свердловская область;Екатеринбург;район Чкаловский;Вторчермет мкр;ул. Симферопольская;д.18А,Вторчермет мкр,ул. Симферопольская,д.18А,"56.772946,60.585194",79.8,3380000,42355,56.772946,60.585194
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Токарей;д.60к2,район Верх-Исетский,ул. Токарей,д.60к2,"56.827818,60.558056",57.6,3440000,59722,56.827818,60.558056
Свердловская область;Екатеринбург;район Кировский;Втузгородок мкр;ул. Академическая;д.8,Втузгородок мкр,ул. Академическая,д.8,"56.850260,60.645534",62.3,3400000,54574,56.850260,60.645534
Свердловская область;Екатеринбург;район Орджоникидзевский;просп. Космонавтов;д.94,район Орджоникидзевский,просп. Космонавтов,д.94,"56.909692,60.614758",58.0,3400000,58620,56.909692,60.614758
Свердловская область;Екатеринбург;район Верх-Исетский;Посадская ул.;д.52,район Верх-Исетский,Посадская ул.,д.52,"56.817375,60.582958",58.0,3450000,59482,56.817375,60.582958
Свердловская область;Екатеринбург;район Кировский;Втузгородок мкр;ул. Академическая;д.8,Втузгородок мкр,ул. Академическая,д.8,"56.850260,60.645534",62.3,3500000,56179,56.850260,60.645534
Свердловская область;Екатеринбург;район Орджоникидзевский;просп. Космонавтов;д.89,район Орджоникидзевский,просп. Космонавтов,д.89,"56.921391,60.611479",64.0,3500000,54687,56.921391,60.611479
Свердловская область;Екатеринбург;район Чкаловский;Вторчермет мкр;ул. Аптекарская;д.44,Вторчермет мкр,ул. Аптекарская,д.44,"56.764990,60.611174",73.3,3600000,49113,56.764990,60.611174
Свердловская область;Екатеринбург;пос. Совхозный;район Ленинский;Предельная ул.;д.7,район Ленинский,Предельная ул.,д.7,"56.763194,60.570911",79.0,3600000,45569,56.763194,60.570911
Свердловская область;Екатеринбург;район Чкаловский;Елизавет мкр;ул. Бисертская;д.4В,Елизавет мкр,ул. Бисертская,д.4В,"56.739836,60.609880",77.1,3680000,47730,56.739836,60.609880
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Крауля;д.81,район Верх-Исетский,ул. Крауля,д.81,"56.830724,60.539102",63.0,3680000,58412,56.830724,60.539102
