address,district,street,house_number,coords,area,full_price,weighted_price,lat,lon
Москва;район Арбат;1-й Смоленский пер.;д.21,район Арбат,1-й Смоленский пер.,д.21,"55.749334,37.579178",111.0,111000000,1000000,55.749334,37.579178
Москва;район Арбат;1-й Смоленский пер.;д.21,район Арбат,1-й Смоленский пер.,д.21,"55.749334,37.579178",111.0,111000000,1000000,55.749334,37.579178
Москва;район Тверской;Весковский пер.;д.3,район Тверской,Весковский пер.,д.3,"55.778796,37.598825",122.0,112000000,918032,55.778796,37.598825
Москва;район Пресненский;наб. Пресненская;д.8с1,район Пресненский,наб. Пресненская,д.8с1,"55.747115,37.539078",390.0,113436720,290863,55.747115,37.539078
Москва;район Тверской;2-й Самотечный пер.;д.1,район Тверской,2-й Самотечный пер.,д.1,"55.777454,37.616171",91.4,117500000,1285557,55.777454,37.616171
Москва;район Хамовники;ул. Льва Толстого;д.23к1,район Хамовники,ул. Льва Толстого,д.23к1,"55.735941,37.583598",153.0,118000000,771241,55.735941,37.583598
Москва;район Арбат;Филипповский пер.;д.8С1,район Арбат,Филипповский пер.,д.8С1,"55.748579,37.598555",130.0,120000000,923076,55.748579,37.598555
Москва;район Арбат;1-й Смоленский пер.;д.21,район Арбат,1-й Смоленский пер.,д.21,"55.749334,37.579178",145.0,129822024,895324,55.749334,37.579178
Москва;район Хамовники;Пречистенская наб.;д.17-19,район Хамовники,Пречистенская наб.,д.17-19,"55.739732,37.605508",119.0,132342840,1112124,55.739732,37.605508
Москва;район Хамовники;Пречистенская наб.;д.17-19,район Хамовники,Пречистенская наб.,д.17-19,"55.739732,37.605508",120.0,132342840,1102857,55.739732,37.605508
Москва;район Хамовники;Пречистенская наб.;д.17-19,район Хамовники,Пречистенская наб.,д.17-19,"55.739732,37.605508",120.0,132342840,1102857,55.739732,37.605508
Москва;район Замоскворечье;Большая Татарская ул.;д.7к1,район Замоскворечье,Большая Татарская ул.,д.7к1,"55.742205,37.633760",150.0,138000000,920000,55.742205,37.633760
Москва;район Басманный;Казарменный пер.;д.3,район Басманный,Казарменный пер.,д.3,"55.757212,37.649552",143.0,138644880,969544,55.757212,37.649552
Москва;район Пресненский;наб. Пресненская;д.8с1,район Пресненский,наб. Пресненская,д.8с1,"55.747115,37.539078",225.0,141795900,630204,55.747115,37.539078
Москва;район Хамовники;Еропкинский пер.;д.16/23,район Хамовники,Еропкинский пер.,д.16/23,"55.740451,37.592716",172.0,145000000,843023,55.740451,37.592716
Москва;район Хамовники;2-я Фрунзенская ул.;д.8,район Хамовники,2-я Фрунзенская ул.,д.8,"55.723699,37.583697",130.9,163940659,1252220,55.723699,37.583697
