address,district,street,house_number,coords,area,full_price,weighted_price
Санкт-Петербург;район Фрунзенский;Бухарестская ул.;д.59,район Фрунзенский,Бухарестская ул.,д.59,"59.856289,30.393959",210.9,19000000,90090
Санкт-Петербург;район Адмиралтейский;ул. Декабристов;д.62-64,район Адмиралтейский,ул. Декабристов,д.62-64,"59.923198,30.282460",199.6,19000000,95190
Санкт-Петербург;район Выборгский;просп. Просвещения;д.14к4,район Выборгский,просп. Просвещения,д.14к4,"60.058610,30.311637",214.0,18900000,88317
Санкт-Петербург;район Василеостровский;6-я Васильевского острова линия;д.47,район Василеостровский,6-я Васильевского острова линия,д.47,"59.946324,30.275318",226.4,18900000,83480
Санкт-Петербург;район Адмиралтейский;Английский просп.;д.40,район Адмиралтейский,Английский просп.,д.40,"59.921606,30.286754",228.5,19000000,83150
Санкт-Петербург;район Центральный;Кирочная ул.;д.23,район Центральный,Кирочная ул.,д.23,"59.943692,30.361853",210.0,19000000,90476
Санкт-Петербург;район Петроградский;Каменноостровский просп.;д.50,район Петроградский,Каменноостровский просп.,д.50,"59.970718,30.306642",186.0,18900000,101612
Санкт-Петербург;район Адмиралтейский;ул. Писарева;д.18,район Адмиралтейский,ул. Писарева,д.18,"59.926165,30.286161",221.6,18900000,85288
Санкт-Петербург;район Петроградский;Ординарная ул.;д.5,район Петроградский,Ординарная ул.,д.5,"59.965728,30.307828",187.0,19000000,101604
Санкт-Петербург;район Адмиралтейский;Гороховая ул.;д.25,район Адмиралтейский,Гороховая ул.,д.25,"59.930931,30.317952",220.0,19000000,86363
Санкт-Петербург;район Центральный;ул. Марата;д.31,район Центральный,ул. Марата,д.31,"59.926521,30.351864",240.0,18900000,78750
Санкт-Петербург;район Петроградский;просп. Большой Петроградской стороны;д.19,район Петроградский,просп. Большой Петроградской стороны,д.19,"59.956223,30.296887",186.7,19000000,101767
Санкт-Петербург;район Центральный;Шпалерная ул.;д.34Б,район Центральный,Шпалерная ул.,д.34Б,"59.949163,30.356975",205.1,19388000,94529
Санкт-Петербург;район Центральный;ул. Маяковского;д.21,район Центральный,ул. Маяковского,д.21,"59.939257,30.355574",201.9,19200000,95096
Санкт-Петербург;район Адмиралтейский;ул. Декабристов;д.62-64,район Адмиралтейский,ул. Декабристов,д.62-64,"59.923198,30.282460",213.0,19500000,91549
Санкт-Петербург;район Центральный;ул. Жуковского;д.7-9,район Центральный,ул. Жуковского,д.7-9,"59.935773,30.351531",182.9,19500000,106615
Санкт-Петербург;район Петроградский;Большая Посадская ул.;д.4,район Петроградский,Большая Посадская ул.,д.4,"59.958075,30.321788",209.0,19500000,93301
Санкт-Петербург;район Петроградский;просп. Большой Петроградской стороны;д.51,район Петроградский,просп. Большой Петроградской стороны,д.51,"59.962025,30.306445",218.0,19490000,89403
Санкт-Петербург;район Центральный;пер. Басков;д.21,район Центральный,пер. Басков,д.21,"59.939388,30.357712",204.0,19500000,95588
Санкт-Петербург;район Василеостровский;11-я Васильевского острова линия;д.34/47,район Василеостровский,11-я Васильевского острова линия,д.34/47,"59.941844,30.272965",215.0,19500000,90697
Санкт-Петербург;район Центральный;ул. Жуковского;д.7-9,район Центральный,ул. Жуковского,д.7-9,"59.935773,30.351531",182.9,19500000,106615
Санкт-Петербург;район Центральный;ул. Жуковского;д.7-9,район Центральный,ул. Жуковского,д.7-9,"59.935773,30.351531",182.9,19500000,106615
Санкт-Петербург;район Василеостровский;11-я Васильевского острова линия;д.58,район Василеостровский,11-я Васильевского острова линия,д.58,"59.944702,30.269542",195.1,19500000,99948
Санкт-Петербург;район Центральный;Гороховая ул.;д.34,район Центральный,Гороховая ул.,д.34,"59.929060,30.321680",160.3,19500000,121646
Санкт-Петербург;район Центральный;ул. Рубинштейна;д.38,район Центральный,ул. Рубинштейна,д.38,"59.927103,30.343267",237.0,19700000,83122
