address,district,street,house_number,coords,area,full_price,weighted_price
Санкт-Петербург;район Центральный;Гродненский пер.;д.7,район Центральный,Гродненский пер.,д.7,"59.941542,30.359778",202.1,21000000,103908
Санкт-Петербург;район Центральный;ул. Восстания;д.20/16,район Центральный,ул. Восстания,д.20/16,"59.937643,30.359993",169.3,21000000,124040
Санкт-Петербург;район Центральный;ул. Восстания;д.36,район Центральный,ул. Восстания,д.36,"59.941349,30.360281",193.7,21000000,108415
Санкт-Петербург;район Центральный;наб. Реки Фонтанки;д.80/2,район Центральный,наб. Реки Фонтанки,д.80/2,"59.926828,30.332945",217.0,21000000,96774
Санкт-Петербург;район Адмиралтейский;ул. Союза печатников;д.4,район Адмиралтейский,ул. Союза печатников,д.4,"59.924122,30.294479",154.0,21000000,136363
Санкт-Петербург;район Центральный;Тульская ул.;д.8,район Центральный,Тульская ул.,д.8,"59.943444,30.390761",238.0,21400000,89915
Санкт-Петербург;район Центральный;Моховая ул.;д.16,район Центральный,Моховая ул.,д.16,"59.944116,30.345584",220.3,21500000,97594
Санкт-Петербург;район Центральный;ул. Некрасова;д.6,район Центральный,ул. Некрасова,д.6,"59.939185,30.350687",210.0,21600000,102857
Санкт-Петербург;район Центральный;ул. Некрасова;д.60,район Центральный,ул. Некрасова,д.60,"59.938450,30.368420",243.3,21500000,88368
Санкт-Петербург;район Центральный;Разъезжая ул.;д.36,район Центральный,Разъезжая ул.,д.36,"59.922639,30.351037",222.1,21500000,96803
Санкт-Петербург;район Центральный;ул. Жуковского;д.28,район Центральный,ул. Жуковского,д.28,"59.936057,30.359400",235.5,21500000,91295
Санкт-Петербург;район Центральный;Лиговский просп.;д.21Б,район Центральный,Лиговский просп.,д.21Б,"59.935187,30.363173",237.7,21500000,90450
Санкт-Петербург;район Центральный;ул. Некрасова;д.58,район Центральный,ул. Некрасова,д.58,"59.938568,30.367342",345.2,21880000,63383
Санкт-Петербург;район Центральный;Ковенский пер.;д.9,район Центральный,Ковенский пер.,д.9,"59.937184,30.357487",223.0,22000000,98654
Санкт-Петербург;район Центральный;Большая Московская ул.;д.1-3,район Центральный,Большая Московская ул.,д.1-3,"59.927342,30.347138",262.7,21900000,83365
Санкт-Петербург;район Центральный;ул. Ломоносова;д.14,район Центральный,ул. Ломоносова,д.14,"59.927906,30.338407",210.0,22000000,104761
Санкт-Петербург;район Приморский;ул. Савушкина;д.51,район Приморский,ул. Савушкина,д.51,"59.984427,30.273459",223.0,22000000,98654
Санкт-Петербург;район Центральный;ул. Чайковского;д.36,район Центральный,ул. Чайковского,д.36,"59.946734,30.357595",197.8,21950000,110970
Санкт-Петербург;район Петроградский;Большая Посадская ул.;д.9/5,район Петроградский,Большая Посадская ул.,д.9/5,"59.959422,30.327151",135.0,22000000,162962
Санкт-Петербург;район Центральный;Невский просп.;д.132,район Центральный,Невский просп.,д.132,"59.931494,30.368545",248.8,22000000,88424
Санкт-Петербург;район Петроградский;просп. Большой Петроградской стороны;д.74,район Петроградский,просп. Большой Петроградской стороны,д.74,"59.963215,30.307424",202.9,22000000,108427
Санкт-Петербург;район Московский;ул. Фрунзе;д.11,район Московский,ул. Фрунзе,д.11,"59.860098,30.325211",252.0,22000000,87301
Санкт-Петербург;район Петроградский;просп. Большой Петроградской стороны;д.98,район Петроградский,просп. Большой Петроградской стороны,д.98,"59.966475,30.312868",282.5,22000000,77876
Санкт-Петербург;район Центральный;ул. Рубинштейна;д.38,район Центральный,ул. Рубинштейна,д.38,"59.927103,30.343267",210.0,21900000,104285
Санкт-Петербург;район Центральный;Невский просп.;д.180/2,район Центральный,Невский просп.,д.180/2,"59.924970,30.382460",211.5,22000000,104018
