address,district,street,house_number,coords,area,full_price,weighted_price
Санкт-Петербург;район Центральный;Загородный просп.;д.22,район Центральный,Загородный просп.,д.22,"59.925646,30.341686",70.0,9000000,128571
Санкт-Петербург;район Московский;ул. Типанова,unknown,unknown,unknown,"59.853442,30.344816",70.2,9263760,132000
Санкт-Петербург;район Адмиралтейский;Бородинская ул.;д.1/88,район Адмиралтейский,Бородинская ул.,д.1/88,"59.925588,30.330834",94.0,9290000,98829
Санкт-Петербург;район Приморский;наб. Черной речки;д.3,район Приморский,наб. Черной речки,д.3,"59.982734,30.320783",61.6,9426330,153024
Санкт-Петербург;район Выборгский;Большой Сампсониевский просп.,unknown,unknown,unknown,"59.987545,30.335778",81.9,9480105,115808
Санкт-Петербург;район Красносельский;ул. Тамбасова;д.3к1,район Красносельский,ул. Тамбасова,д.3к1,"59.839097,30.157203",95.0,9490920,99904
Санкт-Петербург;район Невский;Дальневосточный просп.;д.15АГ1,район Невский,Дальневосточный просп.,д.15АГ1,"59.898850,30.458866",84.1,9503300,113000
Санкт-Петербург;район Невский;просп. Обуховской обороны;д.138к2,район Невский,просп. Обуховской обороны,д.138к2,"59.845785,30.484715",105.0,9500000,90476
Санкт-Петербург;район Приморский;Коломяжский просп.;д.1/61,район Приморский,Коломяжский просп.,д.1/61,"59.991178,30.299519",101.7,9600000,94395
Санкт-Петербург;район Фрунзенский;Малая Балканская ул.;д.20,район Фрунзенский,Малая Балканская ул.,д.20,"59.834004,30.381975",83.3,9600000,115246
Санкт-Петербург;район Петроградский;Каменноостровский просп.;д.55,район Петроградский,Каменноостровский просп.,д.55,"59.971672,30.306795",75.0,9800000,130666
Санкт-Петербург;район Центральный;ул. Рубинштейна;д.29/28,район Центральный,ул. Рубинштейна,д.29/28,"59.926868,30.342395",80.8,9900000,122524
Санкт-Петербург;район Невский;просп. Большевиков;д.79к4,район Невский,просп. Большевиков,д.79к4,"59.873184,30.474340",90.0,10000000,111111
Санкт-Петербург;район Выборгский;просп. Энгельса;д.150К1,район Выборгский,просп. Энгельса,д.150К1,"60.054994,30.335254",93.4,9990000,106959
Санкт-Петербург;район Петроградский;ул. Ленина;д.37,район Петроградский,ул. Ленина,д.37,"59.964196,30.299869",75.6,10000000,132275
Санкт-Петербург;район Приморский;ул. Савушкина;д.127,район Приморский,ул. Савушкина,д.127,"59.987303,30.219272",87.4,9990000,114302
Санкт-Петербург;район Петроградский;Каменноостровский просп.;д.18/11,район Петроградский,Каменноостровский просп.,д.18/11,"59.959602,30.316650",88.0,9990000,113522
Санкт-Петербург;район Приморский;Афанасьевская ул.;д.1,район Приморский,Афанасьевская ул.,д.1,"60.033490,30.296339",89.3,10000000,111982
Санкт-Петербург;район Центральный;Мытнинская ул.;д.7,район Центральный,Мытнинская ул.,д.7,"59.933131,30.377304",99.2,10300000,103830
Санкт-Петербург;район Центральный;ул. Короленко;д.14,район Центральный,ул. Короленко,д.14,"59.942498,30.350130",77.5,10300000,132903
Санкт-Петербург;Пушкин;район Пушкинский;Захаржевская ул.;д.14,район Пушкинский,Захаржевская ул.,д.14,"59.707119,30.406795",82.1,10424160,127000
Санкт-Петербург;район Выборгский;ул. Грибалевой,unknown,unknown,unknown,"59.981843,30.355617",86.5,10482589,121186
Санкт-Петербург;район Выборгский;просп. Просвещения;д.43,район Выборгский,просп. Просвещения,д.43,"60.046203,30.363084",118.3,10500000,88757
Санкт-Петербург;район Московский;ул. Типанова;д.16,район Московский,ул. Типанова,д.16,"59.851074,30.334706",78.0,10500000,134615
Санкт-Петербург;район Московский;Витебский просп.;д.101к4,район Московский,Витебский просп.,д.101к4,"59.829070,30.368662",80.0,10490000,131125
