address,district,street,house_number,coords,area,full_price,weighted_price
Санкт-Петербург;район Фрунзенский;ул. Турку;д.9К4,район Фрунзенский,ул. Турку,д.9К4,"59.865275,30.377717",74.0,3800000,51351
Санкт-Петербург;район Московский;ул. Решетникова;д.19,район Московский,ул. Решетникова,д.19,"59.878238,30.334239",50.0,3900000,78000
Санкт-Петербург;район Московский;ул. Решетникова;д.19,район Московский,ул. Решетникова,д.19,"59.878238,30.334239",50.0,3900000,78000
Санкт-Петербург;район Василеостровский;Наличная ул.;д.44К2,район Василеостровский,Наличная ул.,д.44К2,"59.952263,30.231552",44.3,4000000,90293
Санкт-Петербург;район Невский;Дальневосточный просп.;д.8к1,район Невский,Дальневосточный просп.,д.8к1,"59.916167,30.433287",115.1,4200000,36490
Санкт-Петербург;район Адмиралтейский;Вознесенский просп.;д.49,район Адмиралтейский,Вознесенский просп.,д.49,"59.921480,30.307568",79.3,4450000,56116
Санкт-Петербург;район Кировский;просп. Маршала Жукова;д.18,район Кировский,просп. Маршала Жукова,д.18,"59.861083,30.241110",64.4,4700000,72981
Санкт-Петербург;район Приморский;ул. Маршала Новикова;д.17,район Приморский,ул. Маршала Новикова,д.17,"60.016231,30.272102",496.0,4750000,9576
Санкт-Петербург;район Красногвардейский;просп. Наставников;д.24К2,район Красногвардейский,просп. Наставников,д.24К2,"59.946342,30.488497",63.0,4850000,76984
Санкт-Петербург;район Невский;ул. Дыбенко;д.9К1,район Невский,ул. Дыбенко,д.9К1,"59.901017,30.461368",98.0,5500000,56122
Санкт-Петербург;район Центральный;ул. Рубинштейна;д.27,район Центральный,ул. Рубинштейна,д.27,"59.927202,30.342512",255.0,5500000,21568
Санкт-Петербург;район Центральный;ул. Восстания;д.36,район Центральный,ул. Восстания,д.36,"59.941349,30.360281",70.8,6300000,88983
Санкт-Петербург;район Василеостровский;6-я Васильевского острова линия;д.23Б,район Василеостровский,6-я Васильевского острова линия,д.23Б,"59.941889,30.281202",126.7,9800000,77348
Санкт-Петербург;район Центральный;Митавский пер.;д.3,район Центральный,Митавский пер.,д.3,"59.940339,30.358071",160.0,10000000,62500
Санкт-Петербург;район Центральный;пер. Сергея Тюленина;д.4/23,район Центральный,пер. Сергея Тюленина,д.4/23,"59.933248,30.324366",106.0,12000000,113207
Санкт-Петербург;район Приморский;ул. Репищева;д.4К1,район Приморский,ул. Репищева,д.4К1,"60.018623,30.278399",125.0,13900000,111200
Санкт-Петербург;район Выборгский;ул. Ивана Фомина;д.7К1,район Выборгский,ул. Ивана Фомина,д.7К1,"60.047335,30.346555",60.6,200000,3301
Санкт-Петербург;район Калининский;просп. Науки;д.37,район Калининский,просп. Науки,д.37,"60.008464,30.410488",30.8,200000,6493
Санкт-Петербург;район Калининский;Свердловская наб.;д.14/2Д,район Калининский,Свердловская наб.,д.14/2Д,"59.960512,30.382182",74.9,2000000,26702
Санкт-Петербург;район Василеостровский;ул. Нахимова;д.1,район Василеостровский,ул. Нахимова,д.1,"59.944224,30.235496",21.5,2550000,118604
Санкт-Петербург;район Калининский;ул. Демьяна Бедного;д.19,район Калининский,ул. Демьяна Бедного,д.19,"60.045403,30.389907",182.6,2990000,16374
Санкт-Петербург;район Московский;Московский просп.;д.205,район Московский,Московский просп.,д.205,"59.845731,30.320539",59.8,4500000,75250
Санкт-Петербург;район Выборгский;ул. Асафьева;д.3к1,район Выборгский,ул. Асафьева,д.3к1,"60.047829,30.321375",97.3,5000000,51387
Санкт-Петербург;район Адмиралтейский;ул. Декабристов;д.62-64,район Адмиралтейский,ул. Декабристов,д.62-64,"59.923198,30.282460",14.0,1995000,142500
Санкт-Петербург;район Московский;Ленинский просп.;д.164,район Московский,Ленинский просп.,д.164,"59.852678,30.308205",18.5,50000,2702
