address,district,street,house_number,coords,area,full_price,weighted_price
Санкт-Петербург;район Красносельский;ул. Пограничника Гарькавого;д.42К2,район Красносельский,ул. Пограничника Гарькавого,д.42К2,"59.829464,30.149518",55.7,2110000,37881
Санкт-Петербург;район Адмиралтейский;Верейская ул.;д.42/8,район Адмиралтейский,Верейская ул.,д.42/8,"59.913776,30.328651",14.0,2150000,153571
Санкт-Петербург;район Центральный;ул. Правды;д.1/11А,район Центральный,ул. Правды,д.1/11А,"59.924812,30.344354",224.4,2182000,9723
Санкт-Петербург;район Невский;Российский просп.;д.14,район Невский,Российский просп.,д.14,"59.929682,30.472355",64.1,2200000,34321
Санкт-Петербург;район Приморский;Шуваловский просп.;д.61к2,район Приморский,Шуваловский просп.,д.61к2,"60.024859,30.222497",68.0,2200000,32352
Санкт-Петербург;район Невский;Рабфаковская ул.;д.3К2,район Невский,Рабфаковская ул.,д.3К2,"59.857296,30.475202",22.0,2200000,100000
Санкт-Петербург;район Кировский;просп. Народного ополчения;д.181,район Кировский,просп. Народного ополчения,д.181,"59.825977,30.214439",45.8,2300000,50218
Санкт-Петербург;район Фрунзенский;ул. Белы Куна;д.21К2,район Фрунзенский,ул. Белы Куна,д.21К2,"59.875239,30.396537",51.5,2379000,46194
Санкт-Петербург;район Приморский;просп. Королева;д.15,район Приморский,просп. Королева,д.15,"60.011302,30.283520",43.6,2500000,57339
Санкт-Петербург;район Василеостровский;ул. Нахимова;д.1,район Василеостровский,ул. Нахимова,д.1,"59.944224,30.235496",23.0,2500000,108695
Санкт-Петербург;район Фрунзенский;Загребский бул.;д.21,район Фрунзенский,Загребский бул.,д.21,"59.841441,30.402124",25.0,2600000,104000
Санкт-Петербург;район Приморский;Долгоозерная ул.;д.9,район Приморский,Долгоозерная ул.,д.9,"60.014482,30.245880",73.4,2690000,36648
Санкт-Петербург;район Фрунзенский;Загребский бул.;д.21,район Фрунзенский,Загребский бул.,д.21,"59.841441,30.402124",24.0,2650000,110416
Санкт-Петербург;район Красногвардейский;ул. Маршала Тухачевского;д.5К1,район Красногвардейский,ул. Маршала Тухачевского,д.5К1,"59.962683,30.431850",42.7,2700000,63231
Санкт-Петербург;район Адмиралтейский;просп. Римского-Корсакова;д.53,район Адмиралтейский,просп. Римского-Корсакова,д.53,"59.922472,30.293455",18.0,2720000,151111
Санкт-Петербург;район Петроградский;Кронверкская ул.;д.1,район Петроградский,Кронверкская ул.,д.1,"59.957151,30.313721",22.5,2780000,123555
Санкт-Петербург;Петергоф;район Петродворцовый;Эрлеровский бул.;д.22,район Петродворцовый,Эрлеровский бул.,д.22,"59.872159,29.907171",44.8,2800000,62500
Санкт-Петербург;район Красносельский;Ленинский просп.;д.64к1,район Красносельский,Ленинский просп.,д.64к1,"59.864096,30.170862",65.6,3000000,45731
Санкт-Петербург;район Кировский;Новоовсянниковская ул.;д.19К2,район Кировский,Новоовсянниковская ул.,д.19К2,"59.889413,30.261781",86.5,3000000,34682
Санкт-Петербург;район Василеостровский;ул. Нахимова;д.1,район Василеостровский,ул. Нахимова,д.1,"59.944224,30.235496",27.0,3000000,111111
Санкт-Петербург;район Невский;Запорожская ул.;д.23К2,район Невский,Запорожская ул.,д.23К2,"59.851426,30.466578",42.0,3100000,73809
Санкт-Петербург;район Красногвардейский;Большая Пороховская ул.;д.7,район Красногвардейский,Большая Пороховская ул.,д.7,"59.953430,30.411521",81.0,3199000,39493
Санкт-Петербург;район Петроградский;Большая Монетная ул.;д.9,район Петроградский,Большая Монетная ул.,д.9,"59.960764,30.314925",160.0,3400000,21250
Санкт-Петербург;район Кировский;Ленинский просп.;д.124,район Кировский,Ленинский просп.,д.124,"59.852231,30.261924",57.8,3500000,60553
Санкт-Петербург;Пушкин;район Пушкинский;Петербургское ш.;д.9,район Пушкинский,Петербургское ш.,д.9,"59.735913,30.397741",70.0,3600000,51428
