address,district,street,house_number,coords,area,full_price,weighted_price
Санкт-Петербург;район Невский;Рыбацкий просп.;д.18к2,район Невский,Рыбацкий просп.,д.18к2,"59.841545,30.503724",70.1,8698008,124080
Санкт-Петербург;район Невский;Общественный пер.;д.5,район Невский,Общественный пер.,д.5,"59.902817,30.426783",60.0,8945000,149083
Санкт-Петербург;район Красносельский;бул. Балтийский;д.4,район Красносельский,бул. Балтийский,д.4,"59.868984,30.155707",72.5,9243750,127500
Санкт-Петербург;район Московский;5-й Предпортовый проезд;д.2,район Московский,5-й Предпортовый проезд,д.2,"59.840849,30.312383",67.0,10700000,159701
Санкт-Петербург;район Выборгский;Ярославский просп.;д.23,район Выборгский,Ярославский просп.,д.23,"60.012854,30.321851",91.6,13150000,143558
Санкт-Петербург;район Петроградский;ул. Мира;д.37,район Петроградский,ул. Мира,д.37,"59.962034,30.328265",71.0,14360000,202253
Санкт-Петербург;район Центральный;Смольный просп.;д.17,район Центральный,Смольный просп.,д.17,"59.944292,30.396510",81.3,15300000,188168
Санкт-Петербург;район Петроградский;ул. Большая Зеленина;д.24,район Петроградский,ул. Большая Зеленина,д.24,"59.963656,30.287077",100.8,17841600,177000
Санкт-Петербург;район Петроградский;Петровский просп.;д.2,район Петроградский,Петровский просп.,д.2,"59.953908,30.276818",73.4,20919000,285000
Санкт-Петербург;район Петроградский;Вязовая ул.;д.8,район Петроградский,Вязовая ул.,д.8,"59.967691,30.276109",106.8,39516000,370000
Санкт-Петербург;район Фрунзенский;Стрельбищенская ул.;д.1,район Фрунзенский,Стрельбищенская ул.,д.1,"59.888812,30.357011",52.2,5190000,99425
Санкт-Петербург;район Калининский;Кондратьевский просп.;д.58,район Калининский,Кондратьевский просп.,д.58,"59.976814,30.391183",57.8,6318866,109322
Санкт-Петербург;район Кировский;просп. Народного ополчения;д.149,район Кировский,просп. Народного ополчения,д.149,"59.830933,30.246015",56.0,6790000,121250
Санкт-Петербург;район Красногвардейский;Республиканская ул.;д.18к2,район Красногвардейский,Республиканская ул.,д.18к2,"59.934795,30.410640",52.3,6800000,130019
Санкт-Петербург;район Калининский;дор. Кушелевская;д.3к8,район Калининский,дор. Кушелевская,д.3к8,"59.987015,30.373100",58.0,7500000,129310
Санкт-Петербург;Сестрорецк;район Курортный;Приморское ш.;д.352,район Курортный,Приморское ш.,д.352,"60.105782,29.974113",86.9,7994800,92000
Санкт-Петербург;район Фрунзенский;Расстанная ул.;д.14к2,район Фрунзенский,Расстанная ул.,д.14к2,"59.907356,30.348728",64.0,8550000,133593
Санкт-Петербург;район Московский;Ленинский просп.;д.149К1,район Московский,Ленинский просп.,д.149К1,"59.851313,30.299240",67.0,8780000,131044
Санкт-Петербург;район Калининский;ул. Жукова;д.1,район Калининский,ул. Жукова,д.1,"59.962453,30.405017",79.1,10836700,137000
Санкт-Петербург;район Кировский;Севастопольская ул.;д.9,район Кировский,Севастопольская ул.,д.9,"59.895470,30.264763",94.1,10930025,116140
Санкт-Петербург;район Калининский;ул. Жукова;д.1,район Калининский,ул. Жукова,д.1,"59.962453,30.405017",84.8,11702400,138000
Санкт-Петербург;район Выборгский;Ярославский просп.;д.14,район Выборгский,Ярославский просп.,д.14,"60.012692,30.320611",70.0,12850000,183571
Санкт-Петербург;район Красногвардейский;ул. Маршала Тухачевского;д.23,район Красногвардейский,ул. Маршала Тухачевского,д.23,"59.968525,30.428050",86.9,7367272,84778
Санкт-Петербург;ул. Коммуны;д.10,unknown,unknown,unknown,"59.939852,30.511216",53.0,2999000,56584
Санкт-Петербург;район Приморский;Глухарская ул.;д.16к2,район Приморский,Глухарская ул.,д.16к2,"60.035581,30.211978",31.6,3159000,99968
