address,district,street,house_number,coords,area,full_price,weighted_price
Санкт-Петербург;район Красногвардейский;Новый Город ЖК,unknown,unknown,unknown,"59.931112,30.403945",43.9,6580000,149886
Санкт-Петербург;район Московский;просп. Космонавтов,unknown,unknown,unknown,"59.831072,30.362889",37.8,6601820,174466
Санкт-Петербург;район Адмиралтейский;Гороховая ул.;д.33,район Адмиралтейский,Гороховая ул.,д.33,"59.929623,30.319839",61.1,6695000,109574
Санкт-Петербург;район Невский;Общественный пер.;д.5,район Невский,Общественный пер.,д.5,"59.902885,30.426796",40.7,6818921,167541
Санкт-Петербург;Сестрорецк;район Курортный;ул. Максима Горького,Сестрорецк,район Курортный,ул. Максима Горького,"60.115335,29.954426",45.9,6889596,150100
Санкт-Петербург;район Фрунзенский;Дунайский просп.;д.34/16,район Фрунзенский,Дунайский просп.,д.34/16,"59.835659,30.380798",65.5,6950000,106106
Санкт-Петербург;район Центральный;наб. Реки Фонтанки;д.24Б,район Центральный,наб. Реки Фонтанки,д.24Б,"59.939852,30.343222",34.0,6990000,205588
Санкт-Петербург;район Центральный;Тележная ул.;д.17-19,район Центральный,Тележная ул.,д.17-19,"59.925036,30.373173",41.9,7190000,171680
Санкт-Петербург;район Калининский;ул. Жукова;д.1,район Калининский,ул. Жукова,д.1,"59.962453,30.405017",52.9,7247300,137000
Санкт-Петербург;район Петроградский;Петровский просп.,unknown,unknown,unknown,"59.960365,30.261692",46.5,7202821,154999
Санкт-Петербург;район Московский;ул. Типанова;д.25соор1,район Московский,ул. Типанова,д.25соор1,"59.854022,30.347477",50.0,7150000,143000
Санкт-Петербург;район Приморский;Серебристый бул.;д.19к2,район Приморский,Серебристый бул.,д.19к2,"60.006206,30.282882",44.7,7258035,162372
Санкт-Петербург;район Московский;5-й Предпортовый проезд;д.2,район Московский,5-й Предпортовый проезд,д.2,"59.840849,30.312383",49.2,7290000,148230
Санкт-Петербург;район Московский;Благодатная ул.;д.34,район Московский,Благодатная ул.,д.34,"59.876233,30.327214",53.0,7750000,146226
Санкт-Петербург;район Приморский;Приморский просп.;д.62к1,район Приморский,Приморский просп.,д.62к1,"59.982761,30.225767",45.3,7800000,172109
Санкт-Петербург;район Василеостровский;Уральская ул.;д.6,район Василеостровский,Уральская ул.,д.6,"59.951101,30.265248",56.0,7875000,140625
Санкт-Петербург;район Центральный;10-я Советская ул.;д.8а,район Центральный,10-я Советская ул.,д.8а,"59.937161,30.380121",38.1,7918814,207842
Санкт-Петербург;район Василеостровский;Наличная ул.;д.48к1,район Василеостровский,Наличная ул.,д.48к1,"59.954259,30.234292",42.7,7900000,185011
Санкт-Петербург;район Василеостровский;ул. Беринга;д.5,район Василеостровский,ул. Беринга,д.5,"59.936742,30.248018",46.6,7950000,170600
Санкт-Петербург;район Приморский;Лахта тер.;ул. Новая;д.51к4,Лахта тер.,ул. Новая,д.51к4,"60.005152,30.151295",56.0,8025000,143303
Санкт-Петербург;район Выборгский;Ярославский просп.;д.27,район Выборгский,Ярославский просп.,д.27,"60.013635,30.321330",47.1,8200000,174097
Санкт-Петербург;район Петроградский;Петровский просп.;д.24к3,район Петроградский,Петровский просп.,д.24к3,"59.959435,30.259220",38.3,8390000,219060
Санкт-Петербург;район Адмиралтейский;Галерная ул.;д.15,район Адмиралтейский,Галерная ул.,д.15,"59.931029,30.288561",42.0,8460000,201428
Санкт-Петербург;район Красногвардейский;Новый Город ЖК,unknown,unknown,unknown,"59.931101,30.404278",56.9,8530000,149912
Санкт-Петербург;район Петроградский;Ждановская ул.;д.43к2,район Петроградский,Ждановская ул.,д.43к2,"59.962372,30.269695",42.5,8500000,200000
