address,district,street,house_number,coords,area,full_price,weighted_price
Санкт-Петербург;район Кировский;просп. Народного ополчения;д.69,район Кировский,просп. Народного ополчения,д.69,"59.843123,30.273539",49.0,4650000,94897
Санкт-Петербург;район Кировский;Дачный просп.;д.7К4,район Кировский,Дачный просп.,д.7К4,"59.845962,30.241613",49.0,4670000,95306
Санкт-Петербург;район Красносельский;ул. Тамбасова;д.25К6,район Красносельский,ул. Тамбасова,д.25К6,"59.828944,30.152905",49.0,4650000,94897
Санкт-Петербург;район Кировский;Дачный просп.;д.7К4,район Кировский,Дачный просп.,д.7К4,"59.845962,30.241613",49.0,4695000,95816
Санкт-Петербург;район Кировский;просп. Народного ополчения;д.99,район Кировский,просп. Народного ополчения,д.99,"59.839366,30.270153",48.0,4650000,96875
Санкт-Петербург;Колпино;район Колпинский;бул. Трудящихся;д.13,район Колпинский,бул. Трудящихся,д.13,"59.736561,30.567046",74.1,4650000,62753
Санкт-Петербург;район Кировский;просп. Ветеранов;д.67К1,район Кировский,просп. Ветеранов,д.67К1,"59.838959,30.230474",49.4,4700000,95141
Санкт-Петербург;Колпино;район Колпинский;ул. Машиностроителей;д.4,район Колпинский,ул. Машиностроителей,д.4,"59.732729,30.569139",74.0,4700000,63513
Санкт-Петербург;район Кировский;просп. Народного ополчения;д.59,район Кировский,просп. Народного ополчения,д.59,"59.845252,30.277582",49.0,4700000,95918
Санкт-Петербург;район Кировский;бул. Новаторов;д.30,район Кировский,бул. Новаторов,д.30,"59.847842,30.273315",48.5,4750000,97938
Санкт-Петербург;район Кировский;ул. Зины Портновой;д.44,район Кировский,ул. Зины Портновой,д.44,"59.849212,30.259921",50.0,4750000,95000
Санкт-Петербург;район Московский;Краснопутиловская ул.;д.99,район Московский,Краснопутиловская ул.,д.99,"59.849790,30.305528",50.0,4750000,95000
Санкт-Петербург;район Красносельский;ул. Пограничника Гарькавого;д.35К2,район Красносельский,ул. Пограничника Гарькавого,д.35К2,"59.832715,30.145116",60.0,4800000,80000
Санкт-Петербург;Ломоносов;район Петродворцовый;Кронштадтская ул.;д.4,район Петродворцовый,Кронштадтская ул.,д.4,"59.916352,29.771498",62.6,4800000,76677
Санкт-Петербург;район Фрунзенский;ул. Турку;д.10К2,район Фрунзенский,ул. Турку,д.10К2,"59.868857,30.387626",48.8,4850000,99385
Санкт-Петербург;район Кировский;Краснопутиловская ул.;д.39,район Кировский,Краснопутиловская ул.,д.39,"59.867787,30.271878",49.0,4899000,99979
Санкт-Петербург;Красное Село;район Красносельский;ул. Лермонтова;д.15,район Красносельский,ул. Лермонтова,д.15,"59.735282,30.083124",87.0,4850000,55747
Санкт-Петербург;район Кировский;Ленинский просп.;д.129К4,район Кировский,Ленинский просп.,д.129К4,"59.850671,30.272021",49.1,4900000,99796
Санкт-Петербург;район Кировский;ул. Червонного Казачества;д.36,район Кировский,ул. Червонного Казачества,д.36,"59.865682,30.275174",49.0,4900000,100000
Санкт-Петербург;пос. Металлострой;район Колпинский;Полевая ул.;д.19,район Колпинский,Полевая ул.,д.19,"59.814853,30.568564",73.9,5000000,67658
Санкт-Петербург;Красное Село;район Красносельский;Октябрьская ул.;д.17,район Красносельский,Октябрьская ул.,д.17,"59.718589,30.041630",77.0,5000000,64935
Санкт-Петербург;район Кировский;просп. Маршала Жукова;д.58К3,район Кировский,просп. Маршала Жукова,д.58К3,"59.839018,30.207109",60.0,5000000,83333
Санкт-Петербург;район Кировский;ул. Бурцева;д.3,район Кировский,ул. Бурцева,д.3,"59.835261,30.201117",52.0,5000000,96153
Санкт-Петербург;район Фрунзенский;Пражская ул.;д.16,район Фрунзенский,Пражская ул.,д.16,"59.877524,30.387608",59.0,5000000,84745
Санкт-Петербург;район Кировский;просп. Маршала Жукова;д.58К3,район Кировский,просп. Маршала Жукова,д.58К3,"59.839018,30.207109",59.3,5000000,84317
