address,district,street,house_number,coords,area,full_price,weighted_price
Санкт-Петербург;Колпино;район Колпинский;Загородная ул.,Колпино,район Колпинский,Загородная ул.,"59.773485,30.604516",52.6,3745599,71154
Санкт-Петербург;Колпино;район Колпинский;Загородная ул.;д.43к3,район Колпинский,Загородная ул.,д.43к3,"59.773485,30.604516",52.6,3745599,71154
Санкт-Петербург;пос. Стрельна;район Петродворцовый;Санкт-Петербургское ш.;д.94,район Петродворцовый,Санкт-Петербургское ш.,д.94,"59.853017,30.028120",43.5,3700000,85057
Санкт-Петербург;пос. Шушары;район Пушкинский;Школьная ул.,пос. Шушары,район Пушкинский,Школьная ул.,"59.806578,30.357051",57.7,3751800,65000
Санкт-Петербург;пос. Шушары;район Пушкинский;Пулковское тер.;ул. Сарицкая,район Пушкинский,Пулковское тер.,ул. Сарицкая,"59.749519,30.369489",43.1,3780100,87705
Санкт-Петербург;Колпино;район Колпинский;Загородная ул.;д.43к3,район Колпинский,Загородная ул.,д.43к3,"59.773485,30.604516",54.3,3785642,69730
Санкт-Петербург;район Калининский;Брюсовская ул.;д.24,район Калининский,Брюсовская ул.,д.24,"59.987420,30.414108",45.7,3750000,82056
Санкт-Петербург;пос. Шушары;район Пушкинский;Пушкинская ул.,пос. Шушары,район Пушкинский,Пушкинская ул.,"59.802685,30.380486",62.9,3775000,60015
Санкт-Петербург;район Невский;ул. Бабушкина;д.115к3,район Невский,ул. Бабушкина,д.115к3,"59.862781,30.457146",45.3,3790000,83664
Санкт-Петербург;Колпино;район Колпинский;Загородная ул.,Колпино,район Колпинский,Загородная ул.,"59.774664,30.604258",54.9,3828177,69730
Санкт-Петербург;пос. Шушары;район Пушкинский;Пулковское тер.;ул. Образцовая,район Пушкинский,Пулковское тер.,ул. Образцовая,"59.750600,30.370984",42.3,3822400,90364
Санкт-Петербург;Колпино;район Колпинский;Загородная ул.;д.43к3,район Колпинский,Загородная ул.,д.43к3,"59.773639,30.606257",54.8,3847936,70204
Санкт-Петербург;Павловск;район Пушкинский;ул. Мичурина;д.30,район Пушкинский,ул. Мичурина,д.30,"59.678349,30.428786",43.6,3800000,87155
Санкт-Петербург;Пушкин;район Пушкинский;Красносельское ш.;д.63,район Пушкинский,Красносельское ш.,д.63,"59.704651,30.359032",51.0,3800000,74509
Санкт-Петербург;пос. Шушары;район Пушкинский;Школьная ул.,пос. Шушары,район Пушкинский,Школьная ул.,"59.812649,30.375403",49.1,3891788,79262
Санкт-Петербург;пос. Шушары;район Пушкинский;Школьная ул.,пос. Шушары,район Пушкинский,Школьная ул.,"59.806578,30.357051",59.4,3858400,65000
Санкт-Петербург;Колпино;район Колпинский;Загородная ул.;д.43к3,район Колпинский,Загородная ул.,д.43к3,"59.773485,30.604516",55.5,3899186,70205
Санкт-Петербург;пос. Шушары;район Пушкинский;просп. Старорусский,пос. Шушары,район Пушкинский,просп. Старорусский,"59.804932,30.357303",40.9,3856281,94401
Санкт-Петербург;район Калининский;Полюстровский просп.;д.25,район Калининский,Полюстровский просп.,д.25,"59.966570,30.401199",45.5,3850000,84615
Санкт-Петербург;Петергоф;район Петродворцовый;Ропшинское ш.,Петергоф,район Петродворцовый,Ропшинское ш.,"59.859919,29.945777",49.1,3925600,80000
Санкт-Петербург;Колпино;район Колпинский;Загородная ул.,Колпино,район Колпинский,Загородная ул.,"59.774707,30.605696",56.6,3948810,69730
Санкт-Петербург;Колпино;район Колпинский;Загородная ул.,Колпино,район Колпинский,Загородная ул.,"59.774707,30.605696",55.7,3912525,70205
Санкт-Петербург;пос. Шушары;район Пушкинский;просп. Старорусский,пос. Шушары,район Пушкинский,просп. Старорусский,"59.804932,30.357303",40.3,3913177,97053
Санкт-Петербург;Колпино;район Колпинский;Загородная ул.;д.43к3,район Колпинский,Загородная ул.,д.43к3,"59.774707,30.605696",56.6,3948810,69730
Санкт-Петербург;пос. Шушары;район Пушкинский;просп. Старорусский,пос. Шушары,район Пушкинский,просп. Старорусский,"59.804932,30.357303",40.3,3906383,97052
