address,district,street,house_number,coords,area,full_price,weighted_price
Санкт-Петербург;район Приморский;Приморский просп.;д.62к1,район Приморский,Приморский просп.,д.62к1,"59.982761,30.225767",176.4,44100000,250000
Санкт-Петербург;район Калининский;ул. Жукова;д.1,район Калининский,ул. Жукова,д.1,"59.962453,30.405017",256.2,44835000,175000
Санкт-Петербург;район Калининский;ул. Жукова;д.1,район Калининский,ул. Жукова,д.1,"59.962453,30.405017",256.5,44800000,174658
Санкт-Петербург;район Василеостровский;4-я Васильевского острова линия;д.5,район Василеостровский,4-я Васильевского острова линия,д.5,"59.940763,30.285110",378.0,45000000,119047
Санкт-Петербург;район Московский;Смоленская ул.;д.14,район Московский,Смоленская ул.,д.14,"59.904902,30.322956",225.0,45060000,200266
Санкт-Петербург;район Василеостровский;просп. Средний Васильевского острова;д.48/27,район Василеостровский,просп. Средний Васильевского острова,д.48/27,"59.940902,30.271743",300.0,45000000,150000
Санкт-Петербург;район Выборгский;Шувалово тер.;ул. Первомайская;д.26,Шувалово тер.,ул. Первомайская,д.26,"60.050246,30.304397",420.0,45000000,107142
Санкт-Петербург;район Московский;Смоленская ул.;д.14,район Московский,Смоленская ул.,д.14,"59.904902,30.322956",225.3,45060000,200000
Санкт-Петербург;район Центральный;ул. Рубинштейна;д.15-17,район Центральный,ул. Рубинштейна,д.15-17,"59.928952,30.343590",222.8,45000000,201974
Санкт-Петербург;район Московский;Смоленская ул.;д.14,район Московский,Смоленская ул.,д.14,"59.904902,30.322956",224.0,45000000,200892
Санкт-Петербург;район Московский;Смоленская ул.;д.14,район Московский,Смоленская ул.,д.14,"59.904902,30.322956",225.3,45060000,200000
Санкт-Петербург;район Приморский;аллея Поликарпова;д.2,район Приморский,аллея Поликарпова,д.2,"60.006309,30.294362",310.0,45000000,145161
Санкт-Петербург;район Адмиралтейский;6-я Красноармейская ул.;д.3,район Адмиралтейский,6-я Красноармейская ул.,д.3,"59.912621,30.316506",320.0,47500000,148437
Санкт-Петербург;район Центральный;Невский просп.;д.45/2,район Центральный,Невский просп.,д.45/2,"59.932586,30.346734",264.8,47850000,180702
Санкт-Петербург;район Центральный;ул. Чайковского;д.38/9,район Центральный,ул. Чайковского,д.38/9,"59.946689,30.358646",194.3,48000000,247040
Санкт-Петербург;район Петроградский;наб. Реки Карповки;д.19,район Петроградский,наб. Реки Карповки,д.19,"59.969903,30.310254",281.1,48000000,170757
Санкт-Петербург;район Василеостровский;Гаванская ул.;д.4к2,район Василеостровский,Гаванская ул.,д.4к2,"59.928388,30.241604",214.0,47900000,223831
Санкт-Петербург;район Центральный;ул. Достоевского;д.6,район Центральный,ул. Достоевского,д.6,"59.926345,30.350292",532.0,48000000,90225
Санкт-Петербург;район Центральный;ул. Рубинштейна;д.40/11,район Центральный,ул. Рубинштейна,д.40/11,"59.926729,30.342800",364.0,49140000,135000
Санкт-Петербург;Пушкин;район Пушкинский;Церковная ул.;д.4,район Пушкинский,Церковная ул.,д.4,"59.719564,30.397570",347.3,50000000,143967
Санкт-Петербург;район Василеостровский;5-я Васильевского острова линия;д.10,район Василеостровский,5-я Васильевского острова линия,д.10,"59.938734,30.286610",517.0,50000000,96711
Санкт-Петербург;район Петроградский;Кронверкская ул.;д.29/37Б,район Петроградский,Кронверкская ул.,д.29/37Б,"59.962179,30.310137",240.1,50000000,208246
Санкт-Петербург;район Приморский;Главная ул.;д.31к1,район Приморский,Главная ул.,д.31к1,"60.020539,30.289251",204.0,49900000,244607
Санкт-Петербург;район Петроградский;ул. Ленина;д.8,район Петроградский,ул. Ленина,д.8,"59.959701,30.308367",250.0,51500000,206000
Санкт-Петербург;район Центральный;ул. Рубинштейна;д.40/11,район Центральный,ул. Рубинштейна,д.40/11,"59.926729,30.342800",327.2,51900000,158618
