address,district,street,house_number,coords,area,full_price,weighted_price
Санкт-Петербург;район Адмиралтейский;наб. Канала Грибоедова;д.68,район Адмиралтейский,наб. Канала Грибоедова,д.68,"59.925619,30.312455",115.0,13500000,117391
Санкт-Петербург;район Василеостровский;6-я Васильевского острова линия;д.1/25,район Василеостровский,6-я Васильевского острова линия,д.1/25,"59.936710,30.286484",128.1,13500000,105386
Санкт-Петербург;район Центральный;Исполкомская ул.;д.5,район Центральный,Исполкомская ул.,д.5,"59.926882,30.380098",122.0,13520000,110819
Санкт-Петербург;район Центральный;5-я Советская ул.;д.38,район Центральный,5-я Советская ул.,д.38,"59.933244,30.374232",130.0,13400000,103076
Санкт-Петербург;район Петроградский;Стрельнинская ул.;д.2,район Петроградский,Стрельнинская ул.,д.2,"59.959278,30.299788",118.1,13500000,114309
Санкт-Петербург;район Московский;ул. Фрунзе;д.16,район Московский,ул. Фрунзе,д.16,"59.862411,30.327771",101.8,13500000,132612
Санкт-Петербург;район Василеостровский;11-я Васильевского острова линия;д.46,район Василеостровский,11-я Васильевского острова линия,д.46,"59.943543,30.270880",109.8,13400000,122040
Санкт-Петербург;район Адмиралтейский;наб. Реки Мойки;д.84,район Адмиралтейский,наб. Реки Мойки,д.84,"59.930219,30.302106",113.0,13500000,119469
Санкт-Петербург;район Петроградский;просп. Малый Петроградской стороны;д.1,район Петроградский,просп. Малый Петроградской стороны,д.1,"59.953331,30.289565",140.5,13500000,96085
Санкт-Петербург;район Центральный;Греческий просп.;д.17,район Центральный,Греческий просп.,д.17,"59.936061,30.367665",136.0,13600000,100000
Санкт-Петербург;район Адмиралтейский;Английский просп.;д.21/60,район Адмиралтейский,Английский просп.,д.21/60,"59.923477,30.284265",150.7,13650000,90577
Санкт-Петербург;район Приморский;Круговая ул.;д.3,район Приморский,Круговая ул.,д.3,"59.994679,30.142691",258.0,13600000,52713
Санкт-Петербург;район Адмиралтейский;Садовая ул.;д.42,район Адмиралтейский,Садовая ул.,д.42,"59.925723,30.315913",136.4,13550000,99340
Санкт-Петербург;район Центральный;ул. Жуковского;д.7-9,район Центральный,ул. Жуковского,д.7-9,"59.935773,30.351531",134.0,13750000,102611
Санкт-Петербург;район Московский;Московский просп.;д.147,район Московский,Московский просп.,д.147,"59.876404,30.319030",110.0,13799000,125445
Санкт-Петербург;район Адмиралтейский;Казанская ул.;д.35,район Адмиралтейский,Казанская ул.,д.35,"59.929078,30.311125",96.0,13900000,144791
Санкт-Петербург;район Петроградский;Кронверкская ул.;д.29/37Б,район Петроградский,Кронверкская ул.,д.29/37Б,"59.962179,30.310137",157.0,13900000,88535
Санкт-Петербург;район Адмиралтейский;Бронницкая ул.;д.16,район Адмиралтейский,Бронницкая ул.,д.16,"59.915301,30.321995",119.1,13800000,115869
Санкт-Петербург;район Петроградский;ул. Куйбышева;д.36,район Петроградский,ул. Куйбышева,д.36,"59.957696,30.332631",132.5,13800000,104150
Санкт-Петербург;район Центральный;Боровая ул.;д.3,район Центральный,Боровая ул.,д.3,"59.922981,30.348351",172.8,13850000,80150
Санкт-Петербург;район Приморский;ул. Савушкина;д.131,район Приморский,ул. Савушкина,д.131,"59.987942,30.214206",118.0,13900000,117796
Санкт-Петербург;район Василеостровский;13-я Васильевского острова линия;д.40,район Василеостровский,13-я Васильевского острова линия,д.40,"59.941042,30.270350",142.8,13800000,96638
Санкт-Петербург;район Адмиралтейский;Гороховая ул.;д.79,район Адмиралтейский,Гороховая ул.,д.79,"59.922048,30.331130",152.5,13900000,91147
Санкт-Петербург;район Центральный;ул. Некрасова;д.58,район Центральный,ул. Некрасова,д.58,"59.938568,30.367342",144.0,14000000,97222
Санкт-Петербург;район Адмиралтейский;Измайловский просп.;д.16/30,район Адмиралтейский,Измайловский просп.,д.16/30,"59.911448,30.308232",150.0,14000000,93333
