address,district,street,house_number,coords,area,full_price,weighted_price
Санкт-Петербург;район Василеостровский;14-я Васильевского острова линия;д.23,район Василеостровский,14-я Васильевского острова линия,д.23,"59.937891,30.271500",143.4,13990000,97559
Санкт-Петербург;район Адмиралтейский;Гороховая ул.;д.23,район Адмиралтейский,Гороховая ул.,д.23,"59.931242,30.317575",150.0,14000000,93333
Санкт-Петербург;район Центральный;Суворовский просп.;д.23,район Центральный,Суворовский просп.,д.23,"59.936638,30.373190",143.8,14000000,97357
Санкт-Петербург;район Петроградский;Петропавловская ул.;д.8,район Петроградский,Петропавловская ул.,д.8,"59.967209,30.314772",120.0,13950000,116250
Санкт-Петербург;район Центральный;Ульяны Громовой пер.;д.8А,район Центральный,Ульяны Громовой пер.,д.8А,"59.934596,30.362095",124.4,13998000,112524
Санкт-Петербург;район Петроградский;Каменноостровский просп.;д.29,район Петроградский,Каменноостровский просп.,д.29,"59.964714,30.313730",126.0,14000000,111111
Санкт-Петербург;район Василеостровский;5-я Васильевского острова линия;д.46,район Василеостровский,5-я Васильевского острова линия,д.46,"59.944706,30.279567",142.0,14000000,98591
Санкт-Петербург;район Петроградский;Рыбацкая ул.;д.5,район Петроградский,Рыбацкая ул.,д.5,"59.958845,30.296896",133.0,14000000,105263
Санкт-Петербург;район Петроградский;Стрельнинская ул.;д.2,район Петроградский,Стрельнинская ул.,д.2,"59.959278,30.299788",141.0,14100000,100000
Санкт-Петербург;район Адмиралтейский;Гороховая ул.;д.56,район Адмиралтейский,Гороховая ул.,д.56,"59.923811,30.329352",107.2,14200000,132462
Санкт-Петербург;район Центральный;Моховая ул.;д.41,район Центральный,Моховая ул.,д.41,"59.939388,30.344776",117.0,14200000,121367
Санкт-Петербург;район Центральный;Мытнинская ул.;д.4/48,район Центральный,Мытнинская ул.,д.4/48,"59.931125,30.374312",146.4,14250000,97336
Санкт-Петербург;район Центральный;Пушкинская ул.;д.11,район Центральный,Пушкинская ул.,д.11,"59.929145,30.356337",104.2,14300000,137236
Санкт-Петербург;район Василеостровский;Среднегаванский просп.;д.7,район Василеостровский,Среднегаванский просп.,д.7,"59.930800,30.245162",130.0,14300000,110000
Санкт-Петербург;район Петроградский;Каменноостровский просп.;д.29,район Петроградский,Каменноостровский просп.,д.29,"59.964714,30.313730",126.3,14391000,113942
Санкт-Петербург;район Василеостровский;6-я Васильевского острова линия;д.7/6,район Василеостровский,6-я Васильевского острова линия,д.7/6,"59.937562,30.285487",157.8,14300000,90621
Санкт-Петербург;район Петроградский;Малая Пушкарская ул.;д.34,район Петроградский,Малая Пушкарская ул.,д.34,"59.960161,30.307604",132.6,14500000,109351
Санкт-Петербург;район Петроградский;Съезжинская ул.;д.22,район Петроградский,Съезжинская ул.,д.22,"59.954367,30.300354",174.1,14500000,83285
Санкт-Петербург;район Адмиралтейский;Подольская ул.;д.7,район Адмиралтейский,Подольская ул.,д.7,"59.917042,30.322758",133.3,14500000,108777
Санкт-Петербург;район Невский;Шлиссельбургский просп.;д.9,район Невский,Шлиссельбургский просп.,д.9,"59.840053,30.491623",187.3,14480000,77309
Санкт-Петербург;район Центральный;наб. Реки Фонтанки;д.26В,район Центральный,наб. Реки Фонтанки,д.26В,"59.939433,30.342737",117.0,14500000,123931
Санкт-Петербург;район Центральный;ул. Марата;д.72,район Центральный,ул. Марата,д.72,"59.920514,30.342961",174.5,14500000,83094
Санкт-Петербург;район Центральный;Гагаринская ул.;д.14,район Центральный,Гагаринская ул.,д.14,"59.945531,30.343024",149.0,14490000,97248
Санкт-Петербург;район Центральный;Греческий просп.;д.15,район Центральный,Греческий просп.,д.15,"59.935813,30.367377",140.2,14500000,103423
Санкт-Петербург;район Центральный;ул. Некрасова;д.58,район Центральный,ул. Некрасова,д.58,"59.938568,30.367342",203.8,14500000,71148
