address,district,street,house_number,coords,area,full_price,weighted_price
Санкт-Петербург;район Красногвардейский;ул. Маршала Тухачевского;д.23,район Красногвардейский,ул. Маршала Тухачевского,д.23,"59.968525,30.428050",51.7,5263388,101806
Санкт-Петербург;район Красногвардейский;ул. Маршала Тухачевского;д.23,район Красногвардейский,ул. Маршала Тухачевского,д.23,"59.968525,30.428050",55.0,5374402,97716
Санкт-Петербург;район Фрунзенский;Расстанная ул.;д.14к2,район Фрунзенский,Расстанная ул.,д.14к2,"59.907356,30.348728",43.0,5930000,137906
Санкт-Петербург;район Приморский;Приморский просп.;д.137к1,район Приморский,Приморский просп.,д.137к1,"59.983531,30.216146",51.0,8430000,165294
Санкт-Петербург;район Центральный;2-я Советская ул.;д.4,район Центральный,2-я Советская ул.,д.4,"59.933095,30.365114",41.0,9488508,231427
Санкт-Петербург;район Выборгский;просп. Просвещения;д.1,район Выборгский,просп. Просвещения,д.1,"60.056678,30.315365",39.3,4469982,113740
Санкт-Петербург;район Пушкинский;Мурино тер.,unknown,unknown,unknown,"59.756824,30.471244",39.7,2224000,55991
Санкт-Петербург;пос. Шушары;район Пушкинский;ул. Валдайская;д.6к2,район Пушкинский,ул. Валдайская,д.6к2,"59.802418,30.377609",34.2,2323000,67923
Санкт-Петербург;пос. Парголово;район Выборгский;ул. Тихоокеанская,пос. Парголово,район Выборгский,ул. Тихоокеанская,"60.073929,30.242998",39.9,2367887,59420
Санкт-Петербург;пос. Парголово;район Выборгский;ул. Тихоокеанская,пос. Парголово,район Выборгский,ул. Тихоокеанская,"60.073929,30.242998",39.9,2367887,59420
Санкт-Петербург;пос. Парголово;район Выборгский;ул. Тихоокеанская,пос. Парголово,район Выборгский,ул. Тихоокеанская,"60.073929,30.242998",39.9,2367887,59420
Санкт-Петербург;пос. Парголово;район Выборгский;ул. Тихоокеанская,пос. Парголово,район Выборгский,ул. Тихоокеанская,"60.073929,30.242998",40.4,2424000,60000
Санкт-Петербург;пос. Парголово;район Выборгский;ул. Тихоокеанская,пос. Парголово,район Выборгский,ул. Тихоокеанская,"60.073929,30.242998",41.3,2475000,60000
Санкт-Петербург;район Невский;ул. Русановская,unknown,unknown,unknown,"59.868384,30.513004",30.7,2525235,82282
Санкт-Петербург;Петергоф;район Петродворцовый;бул. Разведчика;д.6к4,район Петродворцовый,бул. Разведчика,д.6к4,"59.875759,29.897613",31.7,2690000,84858
Санкт-Петербург;Красное Село;район Красносельский;ул. Первого Мая,Красное Село,район Красносельский,ул. Первого Мая,"59.731991,30.099441",37.4,2844680,76000
Санкт-Петербург;район Красносельский;Петергофское ш.,unknown,unknown,unknown,"59.842993,30.114456",28.9,2847148,98517
Санкт-Петербург;район Красногвардейский;Пискаревский просп.,unknown,unknown,unknown,"60.008623,30.478763",34.6,2899000,83786
Санкт-Петербург;пос. Шушары;район Пушкинский;Московское ш.;д.288,район Пушкинский,Московское ш.,д.288,"59.754805,30.476451",35.7,2900000,81232
Санкт-Петербург;район Красносельский;просп. Кузнецова;д.25К1,район Красносельский,просп. Кузнецова,д.25К1,"59.853003,30.184472",32.4,2900000,89506
Санкт-Петербург;пос. Парголово;район Выборгский;Заречная ул.,пос. Парголово,район Выборгский,Заречная ул.,"60.072495,30.315738",32.8,2982070,90999
Санкт-Петербург;район Приморский;наб. Реки Каменки;д.7к2,район Приморский,наб. Реки Каменки,д.7к2,"60.057087,30.277806",34.4,2977850,86489
Санкт-Петербург;район Приморский;Глухарская ул.;д.16к2,район Приморский,Глухарская ул.,д.16к2,"60.035581,30.211978",28.8,2968032,103056
Санкт-Петербург;район Приморский;ш. Суздальское;д.34,район Приморский,ш. Суздальское,д.34,"60.056973,30.268407",32.5,3074500,94600
Санкт-Петербург;пос. Шушары;район Пушкинский;просп. Старорусский;д.6,район Пушкинский,просп. Старорусский,д.6,"59.810500,30.358287",33.8,3120000,92307
