address,district,street,house_number,coords,area,full_price,weighted_price
Санкт-Петербург;район Приморский;ш. Суздальское,unknown,unknown,unknown,"60.057062,30.276157",71.1,7016741,98729
Санкт-Петербург;район Московский;Кубинская ул.,unknown,unknown,unknown,"59.841908,30.302899",70.2,7035118,100272
Санкт-Петербург;район Невский;Усть-Славянка тер.;ул. Заводская,район Невский,Усть-Славянка тер.,ул. Заводская,"59.831803,30.546628",79.9,7068642,88501
Санкт-Петербург;район Московский;Кубинская ул.,unknown,unknown,unknown,"59.841908,30.302899",70.2,7035118,100272
Санкт-Петербург;район Красносельский;Петергофское ш.,unknown,unknown,unknown,"59.842993,30.114456",82.5,7065418,85682
Санкт-Петербург;район Фрунзенский;Расстанная ул.;д.19,район Фрунзенский,Расстанная ул.,д.19,"59.905651,30.352735",67.6,7000000,103550
Санкт-Петербург;Пушкин;район Пушкинский;Гусарская ул.,Пушкин,район Пушкинский,Гусарская ул.,"59.695338,30.410222",83.3,7133487,85594
Санкт-Петербург;район Московский;проезд Дизельный,unknown,unknown,unknown,"59.820418,30.340689",80.3,7105665,88500
Санкт-Петербург;пос. Парголово;район Выборгский;Заречная ул.;д.10,район Выборгский,Заречная ул.,д.10,"60.072812,30.320755",76.2,7149415,93824
Санкт-Петербург;район Московский;проезд Дизельный,unknown,unknown,unknown,"59.820418,30.340689",80.3,7145810,89000
Санкт-Петербург;район Московский;проезд Дизельный,unknown,unknown,unknown,"59.820418,30.340689",80.3,7145810,89000
Санкт-Петербург;район Василеостровский;ул. Челюскина,unknown,unknown,unknown,"59.941586,30.190898",67.1,7105847,105978
Санкт-Петербург;район Приморский;Белоостровская ул.,unknown,unknown,unknown,"59.985548,30.324659",64.6,7193511,111423
Санкт-Петербург;Колпино;район Колпинский;Павловская ул.,Колпино,район Колпинский,Павловская ул.,"59.747957,30.589056",91.0,7189000,79000
Санкт-Петербург;район Невский;Октябрьская наб.,unknown,unknown,unknown,"59.899061,30.451657",71.1,7211575,101428
Санкт-Петербург;район Невский;Октябрьская наб.,unknown,unknown,unknown,"59.899061,30.451657",69.8,7219125,103425
Санкт-Петербург;район Невский;Октябрьская наб.,unknown,unknown,unknown,"59.899061,30.451657",69.0,7176000,104000
Санкт-Петербург;район Приморский;Комендантский просп.,unknown,unknown,unknown,"60.037116,30.220455",75.6,7200309,95216
Санкт-Петербург;район Приморский;Комендантский просп.,unknown,unknown,unknown,"60.037116,30.220455",75.5,7200122,95378
Санкт-Петербург;район Невский;Октябрьская наб.,unknown,unknown,unknown,"59.899061,30.451657",70.8,7216500,101927
Санкт-Петербург;район Невский;Октябрьская наб.,unknown,unknown,unknown,"59.899061,30.451657",69.7,7208775,103425
Санкт-Петербург;район Невский;Октябрьская наб.,unknown,unknown,unknown,"59.899061,30.451657",71.1,7247100,101928
Санкт-Петербург;Сестрорецк;район Курортный;ул. Гагаринская;д.77к1,район Курортный,ул. Гагаринская,д.77к1,"60.077454,29.967573",75.2,7218240,96000
Санкт-Петербург;район Приморский;ш. Суздальское,unknown,unknown,unknown,"60.057062,30.276157",74.1,7170142,96749
Санкт-Петербург;район Невский;Октябрьская наб.,unknown,unknown,unknown,"59.899061,30.451657",69.0,7176000,104000
