address,district,street,house_number,coords,area,full_price,weighted_price
Санкт-Петербург;район Адмиралтейский;ул. Декабристов;д.5,район Адмиралтейский,ул. Декабристов,д.5,"59.929033,30.306238",191.6,17000000,88726
Санкт-Петербург;район Петроградский;Кронверкская ул.;д.17,район Петроградский,Кронверкская ул.,д.17,"59.960138,30.312023",164.6,17200000,104495
Санкт-Петербург;район Петроградский;Пионерская ул.;д.37,район Петроградский,Пионерская ул.,д.37,"59.958742,30.287374",140.8,17500000,124289
Санкт-Петербург;район Адмиралтейский;4-я Красноармейская ул.;д.14,район Адмиралтейский,4-я Красноармейская ул.,д.14,"59.913672,30.313245",175.7,17500000,99601
Санкт-Петербург;район Центральный;ул. Марата;д.59,район Центральный,ул. Марата,д.59,"59.922201,30.347040",221.6,17500000,78971
Санкт-Петербург;район Центральный;Лиговский просп.;д.65,район Центральный,Лиговский просп.,д.65,"59.927175,30.357891",175.0,17500000,100000
Санкт-Петербург;район Выборгский;Лесной просп.;д.20к8,район Выборгский,Лесной просп.,д.20к8,"59.966291,30.350103",196.0,17500000,89285
Санкт-Петербург;район Василеостровский;12-я Васильевского острова линия;д.13,район Василеостровский,12-я Васильевского острова линия,д.13,"59.938482,30.274267",183.7,17500000,95264
Санкт-Петербург;район Адмиралтейский;6-я Красноармейская ул.;д.1,район Адмиралтейский,6-я Красноармейская ул.,д.1,"59.912621,30.317314",160.0,17500000,109375
Санкт-Петербург;район Центральный;ул. Марата;д.22-24,район Центральный,ул. Марата,д.22-24,"59.928009,30.353687",204.0,17450000,85539
Санкт-Петербург;район Адмиралтейский;1-я Красноармейская ул.;д.2,район Адмиралтейский,1-я Красноармейская ул.,д.2,"59.915950,30.317341",161.4,17500000,108426
Санкт-Петербург;район Центральный;ул. Марата;д.10,район Центральный,ул. Марата,д.10,"59.929921,30.354945",146.3,17400000,118933
Санкт-Петербург;район Адмиралтейский;Садовая ул.;д.59,район Адмиралтейский,Садовая ул.,д.59,"59.922720,30.307307",174.2,17500000,100459
Санкт-Петербург;район Петроградский;Петропавловская ул.;д.6,район Петроградский,Петропавловская ул.,д.6,"59.966831,30.314575",178.2,17600000,98765
Санкт-Петербург;район Центральный;Шпалерная ул.;д.38,район Центральный,Шпалерная ул.,д.38,"59.949046,30.360290",138.8,17724000,127694
Санкт-Петербург;район Петроградский;Петропавловская ул.;д.6,район Петроградский,Петропавловская ул.,д.6,"59.966831,30.314575",176.4,17700000,100340
Санкт-Петербург;район Василеостровский;3-я Васильевского острова линия;д.20,район Василеостровский,3-я Васильевского острова линия,д.20,"59.942818,30.285182",217.4,17550000,80726
Санкт-Петербург;Ломоносов;район Петродворцовый;ул. Костылева;д.18,район Петродворцовый,ул. Костылева,д.18,"59.912477,29.776996",183.1,17600000,96122
Санкт-Петербург;район Центральный;ул. Марата;д.22-24,район Центральный,ул. Марата,д.22-24,"59.928009,30.353687",155.0,18000000,116129
Санкт-Петербург;район Центральный;2-я Советская ул.;д.27/2,район Центральный,2-я Советская ул.,д.27/2,"59.930219,30.372246",226.0,18000000,79646
Санкт-Петербург;район Центральный;Садовая ул.;д.7-9-11,район Центральный,Садовая ул.,д.7-9-11,"59.935651,30.335451",162.7,18000000,110633
Санкт-Петербург;район Василеостровский;11-я Васильевского острова линия;д.20,район Василеостровский,11-я Васильевского острова линия,д.20,"59.939027,30.276163",231.5,17990000,77710
Санкт-Петербург;район Приморский;ул. Савушкина;д.47,район Приморский,ул. Савушкина,д.47,"59.984611,30.275049",179.6,17900000,99665
Санкт-Петербург;район Петроградский;просп. Большой Петроградской стороны;д.45,район Петроградский,просп. Большой Петроградской стороны,д.45,"59.960994,30.304675",180.0,17900000,99444
Санкт-Петербург;район Центральный;ул. Маяковского;д.27,район Центральный,ул. Маяковского,д.27,"59.940312,30.355628",170.0,17950000,105588
