address,district,street,house_number,coords,area,full_price,weighted_price
Санкт-Петербург;пос. Шушары;район Пушкинский;Пулковское тер.;ул. Переведенская;д.4к2,Пулковское тер.,ул. Переведенская,д.4к2,"59.753391,30.375633",46.0,5060000,110000
Санкт-Петербург;пос. Шушары;район Пушкинский;Пулковское тер.;ул. Переведенская;д.4к2,Пулковское тер.,ул. Переведенская,д.4к2,"59.753391,30.375633",42.7,5124000,119999
Санкт-Петербург;пос. Шушары;район Пушкинский;Пулковское тер.;ул. Переведенская;д.4к2,Пулковское тер.,ул. Переведенская,д.4к2,"59.753391,30.375633",47.2,5333000,112987
Санкт-Петербург;район Приморский;Парашютная ул.;д.61к1,район Приморский,Парашютная ул.,д.61к1,"60.035297,30.250426",44.9,4161000,92672
Санкт-Петербург;район Приморский;просп. Королева;д.64к2,район Приморский,просп. Королева,д.64к2,"60.033153,30.236448",40.7,4250000,104422
Санкт-Петербург;район Приморский;Парашютная ул.;д.58,район Приморский,Парашютная ул.,д.58,"60.037944,30.243087",39.7,4575000,115239
Санкт-Петербург;район Приморский;Комендантский просп.;д.58к1,район Приморский,Комендантский просп.,д.58к1,"60.033265,30.228040",32.3,5190000,160482
Санкт-Петербург;район Приморский;Комендантский просп.;д.58к1,район Приморский,Комендантский просп.,д.58к1,"60.033265,30.228040",34.7,5350000,154178
Санкт-Петербург;район Приморский;Серебристый бул.;д.19к2,район Приморский,Серебристый бул.,д.19к2,"60.006206,30.282882",45.0,7250000,161111
Санкт-Петербург;район Калининский;ул. Обручевых;д.5,район Калининский,ул. Обручевых,д.5,"60.012336,30.379226",42.8,5374000,125560
Санкт-Петербург;район Приморский;Серебристый бул.;д.19к2,район Приморский,Серебристый бул.,д.19к2,"60.006206,30.282882",44.9,7368772,164115
Санкт-Петербург;район Приморский;Приморский просп.;д.62к1,район Приморский,Приморский просп.,д.62к1,"59.982761,30.225767",40.0,7490000,187250
Санкт-Петербург;район Приморский;Комендантский просп.;д.66к1,район Приморский,Комендантский просп.,д.66к1,"60.040577,30.219650",33.0,4410000,133636
Санкт-Петербург;район Приморский;Парашютная ул.;д.61к1,район Приморский,Парашютная ул.,д.61к1,"60.035297,30.250426",34.6,4400000,127167
Санкт-Петербург;район Калининский;просп. Маршала Блюхера;д.7к3,район Калининский,просп. Маршала Блюхера,д.7к3,"59.978818,30.370144",41.9,5309260,126712
Санкт-Петербург;район Калининский;ул. Обручевых;д.5,район Калининский,ул. Обручевых,д.5,"60.012336,30.379226",42.8,5374244,125566
Санкт-Петербург;район Московский;Пулковская ул.;д.1к2,район Московский,Пулковская ул.,д.1к2,"59.841238,30.347722",43.0,5990000,139302
Санкт-Петербург;район Невский;Общественный пер.;д.5,район Невский,Общественный пер.,д.5,"59.902817,30.426783",41.0,6860000,167317
Санкт-Петербург;район Василеостровский;Уральская ул.;д.6,район Василеостровский,Уральская ул.,д.6,"59.951290,30.264997",56.0,7875672,140637
Санкт-Петербург;район Невский;Общественный пер.;д.5,район Невский,Общественный пер.,д.5,"59.902817,30.426783",56.2,8349706,148571
Санкт-Петербург;район Центральный;Кирочная ул.;д.70,район Центральный,Кирочная ул.,д.70,"59.939798,30.391587",50.0,9890000,197800
Санкт-Петербург;район Центральный;Исполкомская ул.;д.17,район Центральный,Исполкомская ул.,д.17,"59.930354,30.383511",53.0,10980000,207169
Санкт-Петербург;район Калининский;Кондратьевский просп.;д.58,район Калининский,Кондратьевский просп.,д.58,"59.976814,30.391183",36.4,4154507,114134
Санкт-Петербург;район Калининский;Кондратьевский просп.;д.58,район Калининский,Кондратьевский просп.,д.58,"59.976814,30.391183",36.0,4289558,119154
Санкт-Петербург;район Московский;ул. Среднерогатская;д.20,район Московский,ул. Среднерогатская,д.20,"59.820282,30.338200",38.1,4584040,120316
