address,district,street,house_number,coords,area,full_price,weighted_price
Санкт-Петербург;район Центральный;Херсонская ул.;д.8,район Центральный,Херсонская ул.,д.8,"59.929037,30.379693",167.7,13600000,81097
Санкт-Петербург;пос. Шушары;район Пушкинский;ул. Вишерская;д.22,район Пушкинский,ул. Вишерская,д.22,"59.803975,30.375328",190.2,17950000,94374
Санкт-Петербург;район Центральный;Захарьевская ул.;д.3,район Центральный,Захарьевская ул.,д.3,"59.947613,30.350606",217.0,18500000,85253
Санкт-Петербург;район Петродворцовый;Сергиево тер.;ш. Красносельское,район Петродворцовый,Сергиево тер.,ш. Красносельское,"59.848449,30.071511",204.3,19012590,93062
Санкт-Петербург;район Василеостровский;16-я Васильевского острова линия;д.15/57,район Василеостровский,16-я Васильевского острова линия,д.15/57,"59.936201,30.270198",220.9,19000000,86011
Санкт-Петербург;район Петроградский;наб. Реки Карповки;д.30,район Петроградский,наб. Реки Карповки,д.30,"59.969700,30.301639",211.0,20680000,98009
Санкт-Петербург;район Центральный;ул. Восстания;д.3-5,район Центральный,ул. Восстания,д.3-5,"59.932680,30.360451",186.0,22500000,120967
Санкт-Петербург;район Центральный;Шпалерная ул.;д.44б,район Центральный,Шпалерная ул.,д.44б,"59.949068,30.367207",200.8,23000000,114541
Санкт-Петербург;пос. Репино;район Курортный;Зеленогорское ш.;д.12к1,район Курортный,Зеленогорское ш.,д.12к1,"60.168110,29.887120",240.0,24200000,100833
Санкт-Петербург;район Центральный;Суворовский просп.;д.38,район Центральный,Суворовский просп.,д.38,"59.941335,30.379675",182.2,24500000,134467
Санкт-Петербург;район Центральный;наб. Реки Фонтанки;д.67-69,район Центральный,наб. Реки Фонтанки,д.67-69,"59.926954,30.330178",220.0,25750000,117045
Санкт-Петербург;район Петроградский;Большая Посадская ул.;д.1,район Петроградский,Большая Посадская ул.,д.1,"59.957917,30.322345",211.0,26000000,123222
Санкт-Петербург;район Кировский;просп. Ветеранов;д.75к1,район Кировский,просп. Ветеранов,д.75к1,"59.837729,30.229297",190.0,28400000,149473
Санкт-Петербург;район Выборгский;просп. Энгельса;д.97,район Выборгский,просп. Энгельса,д.97,"60.026024,30.320279",283.7,39000000,137469
Санкт-Петербург;район Московский;Смоленская ул.;д.14,район Московский,Смоленская ул.,д.14,"59.904487,30.323099",225.3,45060000,200000
Санкт-Петербург;район Московский;ул. Победы;д.3,район Московский,ул. Победы,д.3,"59.858033,30.315688",215.0,53000000,246511
Санкт-Петербург;район Петроградский;Каменноостровский просп.;д.73-75,район Петроградский,Каменноостровский просп.,д.73-75,"59.975279,30.303876",257.0,53900000,209727
Санкт-Петербург;район Калининский;ул. Жукова;д.3,район Калининский,ул. Жукова,д.3,"59.963054,30.402719",306.1,56628500,185000
Санкт-Петербург;район Петроградский;проезд Петровская коса,unknown,unknown,unknown,"59.961648,30.246005",286.2,57138454,199631
Санкт-Петербург;район Петроградский;проезд Петровская коса,unknown,unknown,unknown,"59.961648,30.246005",284.5,57711918,202825
Санкт-Петербург;район Петроградский;Каменноостровский просп.;д.26-28,район Петроградский,Каменноостровский просп.,д.26-28,"59.962845,30.313901",256.0,58000000,226562
Санкт-Петербург;район Петроградский;проезд Петровская коса,unknown,unknown,unknown,"59.961648,30.246005",284.5,59062740,207616
Санкт-Петербург;район Московский;ул. Ленсовета;д.34к3,район Московский,ул. Ленсовета,д.34к3,"59.846961,30.332631",246.0,60000000,243902
Санкт-Петербург;район Петроградский;Крестовский просп.;д.13,район Петроградский,Крестовский просп.,д.13,"59.969493,30.262346",301.5,63000000,208955
Санкт-Петербург;район Петроградский;Петровский просп.;д.14,район Петроградский,Петровский просп.,д.14,"59.957935,30.273081",210.0,65000000,309523
