address,district,street,house_number,coords,area,full_price,weighted_price
Санкт-Петербург;район Приморский;Глухарская ул.,unknown,unknown,unknown,"60.034806,30.214557",32.8,3423276,104368
Санкт-Петербург;район Красногвардейский;дор. Муринская,unknown,unknown,unknown,"60.033046,30.462219",37.6,3421600,91000
Санкт-Петербург;пос. Шушары;район Пушкинский;просп. Старорусский;д.13к1,район Пушкинский,просп. Старорусский,д.13к1,"59.804957,30.358511",37.5,3406987,90950
Санкт-Петербург;пос. Шушары;район Пушкинский;просп. Старорусский;д.13к2,район Пушкинский,просп. Старорусский,д.13к2,"59.805052,30.355789",39.2,3432836,87550
Санкт-Петербург;пос. Шушары;район Пушкинский;просп. Старорусский;д.13к2,район Пушкинский,просп. Старорусский,д.13к2,"59.805052,30.355789",40.5,3445050,85000
Санкт-Петербург;пос. Шушары;район Пушкинский;просп. Старорусский;д.13к2,район Пушкинский,просп. Старорусский,д.13к2,"59.805052,30.355789",42.5,3430260,80750
Санкт-Петербург;пос. Шушары;район Пушкинский;Пулковское тер.;ул. Образцовая,район Пушкинский,Пулковское тер.,ул. Образцовая,"59.750448,30.369473",37.8,3426400,90645
Санкт-Петербург;пос. Парголово;район Выборгский;ул. Брюлловская,пос. Парголово,район Выборгский,ул. Брюлловская,"60.068271,30.314675",34.1,3412812,100200
Санкт-Петербург;район Красносельский;Петергофское ш.;д.86к3,район Красносельский,Петергофское ш.,д.86к3,"59.847792,30.105438",35.6,3407468,95850
Санкт-Петербург;район Красносельский;Петергофское ш.;д.86к3,район Красносельский,Петергофское ш.,д.86к3,"59.847792,30.105438",38.7,3446388,89100
Санкт-Петербург;район Приморский;Планерная ул.,unknown,unknown,unknown,"60.031605,30.199934",35.1,3408809,97200
Санкт-Петербург;район Красногвардейский;дор. Муринская,unknown,unknown,unknown,"60.033046,30.462219",37.6,3421600,91000
Санкт-Петербург;Колпино;район Колпинский;Загородная ул.;д.43к3,район Колпинский,Загородная ул.,д.43к3,"59.773639,30.606257",48.9,3430918,70204
Санкт-Петербург;район Приморский;Планерная ул.,unknown,unknown,unknown,"60.031605,30.199934",33.7,3424244,101700
Санкт-Петербург;пос. Парголово;район Выборгский;ул. Брюлловская,пос. Парголово,район Выборгский,ул. Брюлловская,"60.068271,30.314675",34.8,3425304,98400
Санкт-Петербург;район Приморский;Планерная ул.,unknown,unknown,unknown,"60.031605,30.199934",35.6,3426649,96200
Санкт-Петербург;пос. Парголово;район Выборгский;ул. Брюлловская,пос. Парголово,район Выборгский,ул. Брюлловская,"60.068271,30.314675",36.3,3404814,93900
Санкт-Петербург;пос. Шушары;район Пушкинский;просп. Старорусский;д.13к2,район Пушкинский,просп. Старорусский,д.13к2,"59.805052,30.355789",42.5,3430260,80750
Санкт-Петербург;район Красногвардейский;аллея Евгения Шварца,unknown,unknown,unknown,"60.036768,30.457180",38.8,3435570,88545
Санкт-Петербург;район Московский;Пулковское ш.,unknown,unknown,unknown,"59.762097,30.323025",38.0,3400221,89479
Санкт-Петербург;район Красногвардейский;дор. Муринская,unknown,unknown,unknown,"60.033046,30.462219",37.6,3440400,91500
Санкт-Петербург;пос. Парголово;район Выборгский;Заречная ул.,пос. Парголово,район Выборгский,Заречная ул.,"60.072495,30.315738",38.8,3410000,88000
Санкт-Петербург;район Красногвардейский;Львовская ул.,unknown,unknown,unknown,"59.970630,30.419310",41.7,3442383,82630
Санкт-Петербург;Колпино;район Колпинский;Понтонная ул.,Колпино,район Колпинский,Понтонная ул.,"59.756197,30.625699",41.6,3410316,81900
Санкт-Петербург;пос. Шушары;район Пушкинский;просп. Старорусский;д.13к2,район Пушкинский,просп. Старорусский,д.13к2,"59.805052,30.355789",39.0,3415326,87550
