address,district,street,house_number,coords,area,full_price,weighted_price
Санкт-Петербург;район Центральный;Саперный пер.;д.5,район Центральный,Саперный пер.,д.5,"59.940875,30.356795",149.4,17970000,120281
Санкт-Петербург;район Приморский;Глухарская ул.;д.11К1,район Приморский,Глухарская ул.,д.11К1,"60.030497,30.219272",214.0,17900000,83644
Санкт-Петербург;район Центральный;Миллионная ул.;д.29,район Центральный,Миллионная ул.,д.29,"59.942300,30.320072",100.0,18000000,180000
Санкт-Петербург;район Василеостровский;Кадетская линия;д.11,район Василеостровский,Кадетская линия,д.11,"59.943963,30.288110",114.2,17990000,157530
Санкт-Петербург;район Петроградский;просп. Большой Петроградской стороны;д.22-24,район Петроградский,просп. Большой Петроградской стороны,д.22-24,"59.956160,30.295961",165.1,18000000,109024
Санкт-Петербург;район Адмиралтейский;Лермонтовский просп.;д.31,район Адмиралтейский,Лермонтовский просп.,д.31,"59.918268,30.295899",113.8,18000000,158172
Санкт-Петербург;район Центральный;ул. Правды;д.22,район Центральный,ул. Правды,д.22,"59.921092,30.338883",189.0,17900000,94708
Санкт-Петербург;район Василеостровский;Морская наб.;д.33,район Василеостровский,Морская наб.,д.33,"59.958841,30.218778",160.0,17999000,112493
Санкт-Петербург;район Центральный;Кавалергардская ул.;д.20,район Центральный,Кавалергардская ул.,д.20,"59.945427,30.382370",187.9,17900000,95263
Санкт-Петербург;район Центральный;ул. Константина Заслонова;д.9/4,район Центральный,ул. Константина Заслонова,д.9/4,"59.920451,30.350516",110.0,18300000,166363
Санкт-Петербург;район Калининский;Тихорецкий просп.;д.11К4,район Калининский,Тихорецкий просп.,д.11К4,"60.014855,30.372058",145.8,18500000,126886
Санкт-Петербург;район Петроградский;Кронверкский просп.;д.47,район Петроградский,Кронверкский просп.,д.47,"59.956813,30.311817",131.0,18500000,141221
Санкт-Петербург;район Петроградский;просп. Большой Петроградской стороны;д.16,район Петроградский,просп. Большой Петроградской стороны,д.16,"59.954948,30.293985",152.0,18500000,121710
Санкт-Петербург;район Петроградский;просп. Большой Петроградской стороны;д.76-78,район Петроградский,просп. Большой Петроградской стороны,д.76-78,"59.963620,30.308098",159.0,18500000,116352
Санкт-Петербург;район Василеостровский;19-я Васильевского острова линия;д.8,район Василеостровский,19-я Васильевского острова линия,д.8,"59.933154,30.269344",161.6,18500000,114480
Санкт-Петербург;район Центральный;Шпалерная ул.;д.5,район Центральный,Шпалерная ул.,д.5,"59.948145,30.343680",196.0,18500000,94387
Санкт-Петербург;район Центральный;ул. Чехова;д.4,район Центральный,ул. Чехова,д.4,"59.936936,30.352474",190.0,18500000,97368
Санкт-Петербург;район Центральный;просп. Бакунина;д.19-25,район Центральный,просп. Бакунина,д.19-25,"59.930539,30.382334",169.2,18500000,109338
Санкт-Петербург;район Адмиралтейский;Гороховая ул.;д.3,район Адмиралтейский,Гороховая ул.,д.3,"59.935881,30.310478",145.0,18540000,127862
Санкт-Петербург;район Выборгский;просп. Луначарского;д.76,район Выборгский,просп. Луначарского,д.76,"60.037310,30.362203",215.0,18500000,86046
Санкт-Петербург;район Центральный;ул. Маяковского;д.27,район Центральный,ул. Маяковского,д.27,"59.940312,30.355628",165.0,18500000,112121
Санкт-Петербург;пос. Лисий Нос;район Приморский;Новая ул.,пос. Лисий Нос,район Приморский,Новая ул.,"60.012354,30.007252",120.0,18532000,154433
Санкт-Петербург;район Петроградский;просп. Большой Петроградской стороны;д.76-78,район Петроградский,просп. Большой Петроградской стороны,д.76-78,"59.963620,30.308098",159.0,18500000,116352
Санкт-Петербург;район Центральный;Пушкинская ул.;д.11,район Центральный,Пушкинская ул.,д.11,"59.929145,30.356337",124.0,18700000,150806
Санкт-Петербург;район Петроградский;просп. Большой Петроградской стороны;д.16,район Петроградский,просп. Большой Петроградской стороны,д.16,"59.954948,30.293985",160.0,18800000,117500
