address,district,street,house_number,coords,area,full_price,weighted_price
Санкт-Петербург;район Невский;Октябрьская наб.,unknown,unknown,unknown,"59.899217,30.447226",121.1,16893450,139500
Санкт-Петербург;район Невский;Октябрьская наб.,unknown,unknown,unknown,"59.899217,30.447226",118.2,16725300,141500
Санкт-Петербург;район Невский;Октябрьская наб.,unknown,unknown,unknown,"59.899217,30.447226",121.1,16893450,139500
Санкт-Петербург;район Приморский;Яхтенная ул.;д.1к1,район Приморский,Яхтенная ул.,д.1к1,"59.984332,30.215517",105.7,16850000,159413
Санкт-Петербург;район Выборгский;Большой Сампсониевский просп.,unknown,unknown,unknown,"59.987545,30.335778",129.4,16962905,131109
Санкт-Петербург;район Выборгский;Большой Сампсониевский просп.,unknown,unknown,unknown,"59.987545,30.335778",129.5,17195287,132782
Санкт-Петербург;район Невский;Октябрьская наб.,unknown,unknown,unknown,"59.899217,30.447226",121.1,17135650,141500
Санкт-Петербург;район Невский;Октябрьская наб.,unknown,unknown,unknown,"59.899217,30.447226",118.2,17079900,144500
Санкт-Петербург;район Невский;Октябрьская наб.,unknown,unknown,unknown,"59.899217,30.447226",118.2,17198100,145500
Санкт-Петербург;район Невский;Октябрьская наб.,unknown,unknown,unknown,"59.899217,30.447226",118.2,17079900,144500
Санкт-Петербург;район Красногвардейский;Магнитогорская ул.,unknown,unknown,unknown,"59.935427,30.419272",124.7,17218679,138125
Санкт-Петербург;район Красногвардейский;Магнитогорская ул.,unknown,unknown,unknown,"59.935427,30.419272",116.8,17457411,149515
Санкт-Петербург;район Центральный;наб. Реки Фонтанки;д.51-53,район Центральный,наб. Реки Фонтанки,д.51-53,"59.929732,30.337410",148.0,17500000,118243
Санкт-Петербург;район Московский;Малая Митрофаньевская ул.,unknown,unknown,unknown,"59.895253,30.312687",130.1,17595405,135245
Санкт-Петербург;район Василеостровский;Уральская ул.;д.2,район Василеостровский,Уральская ул.,д.2,"59.949055,30.267440",144.7,17667458,122097
Санкт-Петербург;район Приморский;Студенческая ул.,unknown,unknown,unknown,"59.994556,30.324814",110.7,17599426,158939
Санкт-Петербург;район Выборгский;Большой Сампсониевский просп.;д.77/7,район Выборгский,Большой Сампсониевский просп.,д.77/7,"59.986618,30.335418",119.0,17614589,148034
Санкт-Петербург;район Красносельский;Петергофское ш.;д.45,район Красносельский,Петергофское ш.,д.45,"59.848045,30.152790",205.0,17681865,86253
Санкт-Петербург;район Красносельский;Петергофское ш.;д.45,район Красносельский,Петергофское ш.,д.45,"59.848045,30.152790",199.0,17695932,88924
Санкт-Петербург;район Приморский;Белоостровская ул.,unknown,unknown,unknown,"59.985548,30.324659",135.9,17691996,130193
Санкт-Петербург;район Василеостровский;24-я Васильевского острова линия;д.25В,район Василеостровский,24-я Васильевского острова линия,д.25В,"59.936974,30.255820",104.5,17771800,170000
Санкт-Петербург;район Московский;Пулковское ш.,unknown,unknown,unknown,"59.826345,30.334398",117.3,17839587,152149
Санкт-Петербург;район Приморский;Приморский просп.;д.62к1,район Приморский,Приморский просп.,д.62к1,"59.982761,30.225767",128.0,17870000,139609
Санкт-Петербург;район Центральный;Полтавский проезд;д.2,район Центральный,Полтавский проезд,д.2,"59.926278,30.366839",118.3,17850000,150951
Санкт-Петербург;район Выборгский;ул. Грибалевой,unknown,unknown,unknown,"59.981843,30.355617",111.7,18097857,162021
