address,district,street,house_number,coords,area,full_price,weighted_price
Санкт-Петербург;район Центральный;ул. Рубинштейна;д.23,район Центральный,ул. Рубинштейна,д.23,"59.928023,30.342979",212.5,20200000,95058
Санкт-Петербург;район Центральный;ул. Марата;д.19,район Центральный,ул. Марата,д.19,"59.928550,30.353355",163.0,20249000,124226
Санкт-Петербург;район Центральный;наб. Канала Грибоедова;д.35,район Центральный,наб. Канала Грибоедова,д.35,"59.931774,30.322650",180.2,20365000,113013
Санкт-Петербург;район Центральный;Невский просп.;д.90-92,район Центральный,Невский просп.,д.90-92,"59.932374,30.352492",143.0,20500000,143356
Санкт-Петербург;район Петроградский;Зверинская ул.;д.20,район Петроградский,Зверинская ул.,д.20,"59.953200,30.298441",173.8,20400000,117376
Санкт-Петербург;район Адмиралтейский;наб. Реки Фонтанки;д.131,район Адмиралтейский,наб. Реки Фонтанки,д.131,"59.919468,30.305645",171.9,20500000,119255
Санкт-Петербург;район Адмиралтейский;Галерная ул.;д.67,район Адмиралтейский,Галерная ул.,д.67,"59.931044,30.286053",237.1,20400000,86039
Санкт-Петербург;район Адмиралтейский;ул. Декабристов;д.62-64,район Адмиралтейский,ул. Декабристов,д.62-64,"59.923198,30.282460",226.0,20500000,90707
Санкт-Петербург;район Петроградский;просп. Большой Петроградской стороны;д.16,район Петроградский,просп. Большой Петроградской стороны,д.16,"59.954948,30.293985",231.0,20500000,88744
Санкт-Петербург;район Адмиралтейский;ул. Егорова;д.18,район Адмиралтейский,ул. Егорова,д.18,"59.912797,30.314314",242.4,20400000,84158
Санкт-Петербург;район Центральный;ул. Чайковского;д.61,район Центральный,ул. Чайковского,д.61,"59.946247,30.360802",199.4,20500000,102808
Санкт-Петербург;район Фрунзенский;просп. Славы;д.21,район Фрунзенский,просп. Славы,д.21,"59.855548,30.379056",182.7,20500000,112205
Санкт-Петербург;район Адмиралтейский;Большой Казачий пер.;д.9,район Адмиралтейский,Большой Казачий пер.,д.9,"59.923387,30.326783",196.2,20777000,105897
Санкт-Петербург;район Центральный;Саперный пер.;д.16/36,район Центральный,Саперный пер.,д.16/36,"59.941114,30.359805",202.1,20950000,103661
Санкт-Петербург;район Петроградский;Каменноостровский просп.;д.43,район Петроградский,Каменноостровский просп.,д.43,"59.968538,30.309265",182.1,20900000,114772
Санкт-Петербург;район Центральный;Греческий просп.;д.12,район Центральный,Греческий просп.,д.12,"59.939374,30.369920",228.4,20990000,91900
Санкт-Петербург;район Центральный;Невский просп.;д.136,район Центральный,Невский просп.,д.136,"59.930025,30.368195",156.0,20950000,134294
Санкт-Петербург;район Приморский;ул. Оскаленко;д.17,район Приморский,ул. Оскаленко,д.17,"59.986475,30.277815",140.0,20850000,148928
Санкт-Петербург;район Адмиралтейский;Вознесенский просп.;д.18,район Адмиралтейский,Вознесенский просп.,д.18,"59.929353,30.308628",280.8,20900000,74430
Санкт-Петербург;район Центральный;ул. Рубинштейна;д.23,район Центральный,ул. Рубинштейна,д.23,"59.928023,30.342979",207.7,20800000,100144
Санкт-Петербург;район Адмиралтейский;Фонарный пер.;д.3,район Адмиралтейский,Фонарный пер.,д.3,"59.929064,30.304648",229.1,21000000,91663
Санкт-Петербург;район Центральный;Невский просп.;д.136,район Центральный,Невский просп.,д.136,"59.930025,30.368195",156.0,21000000,134615
Санкт-Петербург;район Петроградский;ул. Куйбышева;д.21,район Петроградский,ул. Куйбышева,д.21,"59.956340,30.331023",200.0,21000000,105000
Санкт-Петербург;район Центральный;наб. Канала Грибоедова;д.33,район Центральный,наб. Канала Грибоедова,д.33,"59.931923,30.323100",146.0,21000000,143835
Санкт-Петербург;район Центральный;Звенигородская ул.;д.2/44,район Центральный,Звенигородская ул.,д.2/44,"59.923081,30.335981",218.9,21000000,95934
