address,district,street,house_number,coords,area,full_price,weighted_price
Санкт-Петербург;район Невский;Октябрьская наб.,unknown,unknown,unknown,"59.899061,30.451657",70.0,7210000,103000
Санкт-Петербург;район Невский;Октябрьская наб.,unknown,unknown,unknown,"59.899061,30.451657",71.1,7247100,101928
Санкт-Петербург;район Невский;Октябрьская наб.,unknown,unknown,unknown,"59.899061,30.451657",69.8,7219125,103425
Санкт-Петербург;район Невский;Октябрьская наб.,unknown,unknown,unknown,"59.899061,30.451657",69.0,7176000,104000
Санкт-Петербург;район Невский;Октябрьская наб.;д.98К3,район Невский,Октябрьская наб.,д.98К3,"59.872037,30.474762",73.2,7172620,98000
Санкт-Петербург;район Приморский;Комендантский просп.,unknown,unknown,unknown,"60.037116,30.220455",75.6,7200023,95250
Санкт-Петербург;район Невский;Октябрьская наб.,unknown,unknown,unknown,"59.899061,30.451657",69.0,7245000,105000
Санкт-Петербург;пос. Шушары;район Пушкинский;Пулковское тер.;ул. Сарицкая,район Пушкинский,Пулковское тер.,ул. Сарицкая,"59.749519,30.369489",89.5,7176000,80178
Санкт-Петербург;район Приморский;Комендантский просп.,unknown,unknown,unknown,"60.037116,30.220455",76.7,7200056,93848
Санкт-Петербург;район Приморский;Афонская ул.;д.24К4,район Приморский,Афонская ул.,д.24К4,"60.031647,30.298459",74.8,7200000,96256
Санкт-Петербург;район Невский;Октябрьская наб.,unknown,unknown,unknown,"59.899061,30.451657",69.7,7278425,104425
Санкт-Петербург;район Невский;Октябрьская наб.,unknown,unknown,unknown,"59.899061,30.451657",69.8,7288875,104425
Санкт-Петербург;район Приморский;ш. Суздальское,unknown,unknown,unknown,"60.057062,30.276157",74.1,7270191,98100
Санкт-Петербург;район Приморский;Коломяжский просп.,unknown,unknown,unknown,"60.000803,30.309306",84.7,7275427,85926
Санкт-Петербург;район Невский;Октябрьская наб.,unknown,unknown,unknown,"59.899061,30.451657",70.0,7280000,104000
Санкт-Петербург;пос. Парголово;район Выборгский;Заречная ул.;д.10,район Выборгский,Заречная ул.,д.10,"60.072812,30.320755",75.8,7261800,95802
Санкт-Петербург;Сестрорецк;район Курортный;ул. Гагаринская;д.77к1,район Курортный,ул. Гагаринская,д.77к1,"60.077454,29.967573",75.8,7272960,96000
Санкт-Петербург;район Приморский;Афонская ул.;д.14,район Приморский,Афонская ул.,д.14,"60.026460,30.301297",70.7,7290000,103111
Санкт-Петербург;пос. Шушары;район Пушкинский;ул. Вишерская;д.16,район Пушкинский,ул. Вишерская,д.16,"59.806097,30.374375",77.0,7299000,94792
Санкт-Петербург;район Невский;Октябрьская наб.,unknown,unknown,unknown,"59.899061,30.451657",70.8,7322625,103426
Санкт-Петербург;район Приморский;Белоостровская ул.,unknown,unknown,unknown,"59.985548,30.324659",63.9,7347455,115073
Санкт-Петербург;район Василеостровский;ул. Челюскина,unknown,unknown,unknown,"59.941586,30.190898",66.1,7317417,110769
Санкт-Петербург;пос. Парголово;район Выборгский;Заречная ул.;д.10,район Выборгский,Заречная ул.,д.10,"60.072812,30.320755",75.4,7312032,96976
Санкт-Петербург;район Невский;Усть-Славянка тер.;ул. Заводская,район Невский,Усть-Славянка тер.,ул. Заводская,"59.831803,30.546628",79.9,7348154,92001
Санкт-Петербург;район Невский;Октябрьская наб.,unknown,unknown,unknown,"59.899061,30.451657",70.8,7322625,103426
