address,district,street,house_number,coords,area,full_price,weighted_price
Санкт-Петербург;район Центральный;ул. Жуковского;д.7-9,район Центральный,ул. Жуковского,д.7-9,"59.935773,30.351531",181.3,19700000,108659
Санкт-Петербург;район Петроградский;ул. Куйбышева;д.23,район Петроградский,ул. Куйбышева,д.23,"59.956557,30.331508",225.0,19890000,88400
Санкт-Петербург;район Центральный;ул. Марата;д.75,район Центральный,ул. Марата,д.75,"59.920704,30.341722",179.0,19880000,111061
Санкт-Петербург;район Петроградский;Большая Пушкарская ул.;д.39,район Петроградский,Большая Пушкарская ул.,д.39,"59.962962,30.310676",210.0,19800000,94285
Санкт-Петербург;район Василеостровский;Кадетская линия;д.31,район Василеостровский,Кадетская линия,д.31,"59.947284,30.284373",240.0,19900000,82916
Санкт-Петербург;район Петроградский;ул. Куйбышева;д.21,район Петроградский,ул. Куйбышева,д.21,"59.956340,30.331023",245.0,19950000,81428
Санкт-Петербург;район Адмиралтейский;ул. Глинки;д.3-5-7,район Адмиралтейский,ул. Глинки,д.3-5-7,"59.926959,30.295620",230.0,19900000,86521
Санкт-Петербург;район Петроградский;Кронверкская ул.;д.1,район Петроградский,Кронверкская ул.,д.1,"59.957151,30.313721",205.4,19800000,96397
Санкт-Петербург;район Центральный;наб. Реки Фонтанки;д.80/2,район Центральный,наб. Реки Фонтанки,д.80/2,"59.926828,30.332945",259.0,19800000,76447
Санкт-Петербург;район Петроградский;просп. Большой Петроградской стороны;д.74,район Петроградский,просп. Большой Петроградской стороны,д.74,"59.963215,30.307424",202.9,19990000,98521
Санкт-Петербург;район Петроградский;Большая Пушкарская ул.;д.39,район Петроградский,Большая Пушкарская ул.,д.39,"59.962962,30.310676",183.3,19800000,108019
Санкт-Петербург;район Центральный;3-я Советская ул.;д.4,район Центральный,3-я Советская ул.,д.4,"59.933794,30.366156",153.3,19900000,129810
Санкт-Петербург;район Петроградский;Каменноостровский просп.;д.50,район Петроградский,Каменноостровский просп.,д.50,"59.970718,30.306642",186.0,19900000,106989
Санкт-Петербург;район Адмиралтейский;ул. Декабристов;д.13,район Адмиралтейский,ул. Декабристов,д.13,"59.928320,30.303184",207.0,19888000,96077
Санкт-Петербург;район Петроградский;Каменноостровский просп.;д.50,район Петроградский,Каменноостровский просп.,д.50,"59.970718,30.306642",186.0,19800000,106451
Санкт-Петербург;район Адмиралтейский;Никольская пл.;д.6,район Адмиралтейский,Никольская пл.,д.6,"59.922927,30.302591",207.0,20000000,96618
Санкт-Петербург;район Центральный;Шпалерная ул.;д.3,район Центральный,Шпалерная ул.,д.3,"59.948100,30.343258",243.2,20000000,82236
Санкт-Петербург;район Василеостровский;11-я Васильевского острова линия;д.58,район Василеостровский,11-я Васильевского острова линия,д.58,"59.944702,30.269542",197.0,20000000,101522
Санкт-Петербург;район Центральный;ул. Маяковского;д.27,район Центральный,ул. Маяковского,д.27,"59.940312,30.355628",180.0,20000000,111111
Санкт-Петербург;район Центральный;Кирочная ул.;д.32-34,район Центральный,Кирочная ул.,д.32-34,"59.944098,30.362994",160.0,20000000,125000
Санкт-Петербург;район Центральный;Невский просп.;д.132,район Центральный,Невский просп.,д.132,"59.931494,30.368545",188.5,20000000,106100
Санкт-Петербург;район Василеостровский;просп. Средний Васильевского острова;д.47/34,район Василеостровский,просп. Средний Васильевского острова,д.47/34,"59.941633,30.272839",215.0,20000000,93023
Санкт-Петербург;район Петроградский;Каменноостровский просп.;д.50,район Петроградский,Каменноостровский просп.,д.50,"59.970718,30.306642",186.0,20148000,108322
Санкт-Петербург;район Адмиралтейский;ул. Писарева;д.18,район Адмиралтейский,ул. Писарева,д.18,"59.926165,30.286161",165.0,20000000,121212
Санкт-Петербург;район Петроградский;пер. Талалихина;д.5/15,район Петроградский,пер. Талалихина,д.5/15,"59.951511,30.297498",194.2,20000000,102986
