address,district,street,house_number,coords,area,full_price,weighted_price
Санкт-Петербург;район Петроградский;Аптекарский просп.,unknown,unknown,unknown,"59.972695,30.321367",147.1,29817586,202744
Санкт-Петербург;район Приморский;Ушаковская наб.;д.3к2,район Приморский,Ушаковская наб.,д.3к2,"59.982799,30.315578",149.9,29980000,200000
Санкт-Петербург;район Петроградский;Пионерская ул.;д.50,район Петроградский,Пионерская ул.,д.50,"59.963539,30.273171",150.0,29900000,199333
Санкт-Петербург;район Центральный;Таврическая ул.;д.19,район Центральный,Таврическая ул.,д.19,"59.944373,30.378355",230.0,29900000,130000
Санкт-Петербург;район Адмиралтейский;Московский просп.,unknown,unknown,unknown,"59.907359,30.315716",152.7,30401489,199092
Санкт-Петербург;Зеленогорск;район Курортный;Разъезжая ул.,Зеленогорск,район Курортный,Разъезжая ул.,"60.197800,29.715941",151.9,30388000,200000
Санкт-Петербург;район Выборгский;Большой Сампсониевский просп.,unknown,unknown,unknown,"59.976503,30.330446",133.7,30162720,225600
Санкт-Петербург;район Адмиралтейский;Московский просп.,unknown,unknown,unknown,"59.907359,30.315716",141.3,30656971,216963
Санкт-Петербург;район Петроградский;Аптекарский просп.,unknown,unknown,unknown,"59.973573,30.321796",134.9,30579963,226753
Санкт-Петербург;район Петроградский;проезд Петровская коса,unknown,unknown,unknown,"59.962949,30.244281",165.6,30671277,185257
Санкт-Петербург;район Калининский;ул. Жукова;д.3,район Калининский,ул. Жукова,д.3,"59.963259,30.401914",174.7,30572500,175000
Санкт-Петербург;район Петроградский;проезд Петровская коса,unknown,unknown,unknown,"59.962949,30.244281",141.8,30903300,217997
Санкт-Петербург;район Петроградский;проезд Петровская коса,unknown,unknown,unknown,"59.962949,30.244281",171.7,30987921,180466
Санкт-Петербург;район Петроградский;Петровский просп.,unknown,unknown,unknown,"59.962974,30.260694",144.1,30990100,215059
Санкт-Петербург;район Адмиралтейский;Малодетскосельский просп.;д.40,район Адмиралтейский,Малодетскосельский просп.,д.40,"59.911114,30.319957",137.1,30808586,224732
Санкт-Петербург;район Петроградский;Ждановская ул.;д.45,район Петроградский,Ждановская ул.,д.45,"59.962719,30.267485",150.0,30990000,206600
Санкт-Петербург;район Василеостровский;18-я Васильевского острова линия;д.49,район Василеостровский,18-я Васильевского острова линия,д.49,"59.941236,30.260864",127.5,30877000,242172
Санкт-Петербург;район Адмиралтейский;Малодетскосельский просп.;д.40,район Адмиралтейский,Малодетскосельский просп.,д.40,"59.911114,30.319957",132.3,31119086,235269
Санкт-Петербург;район Центральный;Боровая ул.;д.19Б,район Центральный,Боровая ул.,д.19Б,"59.919726,30.346474",157.7,31232520,198000
Санкт-Петербург;район Петроградский;проезд Петровская коса,unknown,unknown,unknown,"59.962949,30.244281",141.0,31187984,221191
Санкт-Петербург;район Выборгский;Крапивный пер.;д.4,район Выборгский,Крапивный пер.,д.4,"59.969547,30.339691",162.6,31212923,191961
Санкт-Петербург;район Петроградский;Петровский просп.,unknown,unknown,unknown,"59.960811,30.252728",129.4,31620472,244400
Санкт-Петербург;район Петроградский;Петровский просп.,unknown,unknown,unknown,"59.962548,30.259272",154.5,31369590,203039
Санкт-Петербург;район Петроградский;проезд Петровская коса,unknown,unknown,unknown,"59.962949,30.244281",175.4,31932146,182063
Санкт-Петербург;район Адмиралтейский;Малодетскосельский просп.;д.40,район Адмиралтейский,Малодетскосельский просп.,д.40,"59.911114,30.319957",136.5,31910457,233844
