address,district,street,house_number,coords,area,full_price,weighted_price
Москва;Зеленоград;район Савёлки;д.к506,Зеленоград,район Савёлки,д.к506,"55.998655,37.228431",80.7,10600000,131350
Москва;район Орехово-Борисово Северное;ул. Генерала Белова;д.13,район Орехово-Борисово Северное,ул. Генерала Белова,д.13,"55.621607,37.718040",76.0,12300000,161842
Москва;район Люблино;просп. 40 лет Октября;д.36,район Люблино,просп. 40 лет Октября,д.36,"55.673621,37.745466",81.0,12800000,158024
Москва;район Отрадное;ул. Бестужевых;д.3Б,район Отрадное,ул. Бестужевых,д.3Б,"55.870425,37.595609",64.0,12990000,202968
Москва;район Северный;Дмитровское ш.;д.122Дк1,район Северный,Дмитровское ш.,д.122Дк1,"55.922878,37.547917",89.6,14708861,164161
Москва;район Ростокино;просп. Мира;д.188Бк3,район Ростокино,просп. Мира,д.188Бк3,"55.835483,37.658338",108.7,15690000,144342
Москва;район Лефортово;ул. Лефортовский Вал;д.11,район Лефортово,ул. Лефортовский Вал,д.11,"55.757850,37.700172",80.0,16500000,206250
Москва;район Соколиная гора;просп. Буденного;д.51к3,район Соколиная гора,просп. Буденного,д.51к3,"55.760221,37.738845",87.8,16726000,190501
Москва;район Южное Тушино;ул. Фабрициуса;д.18,район Южное Тушино,ул. Фабрициуса,д.18,"55.843965,37.446910",82.0,17227000,210085
Москва;район Филевский парк;2-я Филевская ул.;д.6,район Филевский парк,2-я Филевская ул.,д.6,"55.736265,37.493632",100.7,20000000,198609
Москва;район Ломоносовский;ул. Марии Ульяновой;д.9К2,район Ломоносовский,ул. Марии Ульяновой,д.9К2,"55.679265,37.524103",75.0,21500000,286666
Москва;район Филевский парк;2-я Филевская ул.;д.6,район Филевский парк,2-я Филевская ул.,д.6,"55.736265,37.493632",87.0,22600000,259770
Москва;район Южнопортовый;ул. 1-я Машиностроения;д.10,район Южнопортовый,ул. 1-я Машиностроения,д.10,"55.714191,37.670914",80.0,23500000,293750
Москва;район Гагаринский;Ленинский просп.;д.34/1,район Гагаринский,Ленинский просп.,д.34/1,"55.707365,37.577750",66.7,23500000,352323
Москва;район Гагаринский;Ленинский просп.;д.34,район Гагаринский,Ленинский просп.,д.34,"55.706721,37.577166",73.5,24200000,329251
Москва;район Ломоносовский;ул. Строителей;д.11К2,район Ломоносовский,ул. Строителей,д.11К2,"55.686234,37.533328",73.3,24800000,338335
Москва;район Филевский парк;2-я Филевская ул.;д.6,район Филевский парк,2-я Филевская ул.,д.6,"55.736265,37.493632",96.0,24700000,257291
Москва;район Филевский парк;2-я Филевская ул.;д.6,район Филевский парк,2-я Филевская ул.,д.6,"55.736265,37.493632",91.7,25600000,279171
Москва;район Раменки;ул. Столетова;д.7,район Раменки,ул. Столетова,д.7,"55.704413,37.503352",84.7,30200000,356552
Москва;район Щукино;ул. Маршала Рыбалко;д.2к4,район Щукино,ул. Маршала Рыбалко,д.2к4,"55.797483,37.495096",102.0,30684612,300829
Москва;район Таганский;Брошевский пер.;д.6С1,район Таганский,Брошевский пер.,д.6С1,"55.736483,37.673546",97.3,31617635,324950
Москва;район Очаково-Матвеевское;Нежинская ул.;д.1к2,район Очаково-Матвеевское,Нежинская ул.,д.1к2,"55.719313,37.478019",78.6,33500000,426208
Москва;район Раменки;Мичуринский просп.;д.29,район Раменки,Мичуринский просп.,д.29,"55.696534,37.499408",147.0,38000000,258503
Москва;район Донской;Варшавское ш.;д.9,район Донской,Варшавское ш.,д.9,"55.700481,37.621669",123.0,46490000,377967
Москва;район Раменки;Мосфильмовская ул.;д.88к2с7,район Раменки,Мосфильмовская ул.,д.88к2с7,"55.705062,37.495518",120.0,47000000,391666
