address,district,street,house_number,coords,area,full_price,weighted_price
Москва;район Люблино;Цимлянская ул.;д.3к1,район Люблино,Цимлянская ул.,д.3к1,"55.669795,37.770897",46.8,6210360,132700
Москва;район Некрасовка;ул. Вертолетчиков;д.13,район Некрасовка,ул. Вертолетчиков,д.13,"55.704017,37.940921",58.9,6200000,105263
Москва;Десеновское поселение;пос. Ватутинки;район Десёновское;ул. 4-я Ватутинская;д.вл6,район Десёновское,ул. 4-я Ватутинская,д.вл6,"55.510119,37.346191",55.4,6285130,113450
Москва;район Таганский;Нижегородская ул.;д.32С3,район Таганский,Нижегородская ул.,д.32С3,"55.736995,37.690489",30.2,6275952,207538
Москва;Зеленоград;район Матушкино;д.к249,Зеленоград,район Матушкино,д.к249,"56.004997,37.204329",49.2,6250000,127032
Москва;пос. Коммунарка;район Сосенское;ул. Бачуринская,пос. Коммунарка,район Сосенское,ул. Бачуринская,"55.578678,37.481591",45.1,6314000,140000
Москва;район Рязанский;2-я Институтская ул.;д.6С12,район Рязанский,2-я Институтская ул.,д.6С12,"55.723919,37.777117",36.0,6494400,180400
"Москва;Московский поселение;район Сосенское;Киевское шоссе, 23-й км;д.5к1",район Сосенское,"Киевское шоссе, 23-й км",д.5к1,"55.600949,37.412316",48.3,6438390,133300
Москва;район Южное Бутово;1-я Мелитопольская ул.;д.4,район Южное Бутово,1-я Мелитопольская ул.,д.4,"55.539966,37.577139",53.2,6400000,120300
Москва;район Некрасовка;Люберецкие Поля мкр;13-й кв-л;д.к2,Люберецкие Поля мкр,13-й кв-л,д.к2,"55.704321,37.945711",60.5,6476525,107050
Москва;район Чертаново Южное;Чертановская ул.;д.55,район Чертаново Южное,Чертановская ул.,д.55,"55.601727,37.589904",42.4,6480000,152830
Москва;район Южное Бутово;ул. Поляны,unknown,unknown,unknown,"55.553871,37.554841",42.7,6533100,153000
Москва;район Лосиноостровский;Янтарный проезд,unknown,unknown,unknown,"55.870461,37.687328",43.4,6511500,150034
Москва;район Выхино-Жулебино;Ташкентская ул.;д.29/179,район Выхино-Жулебино,Ташкентская ул.,д.29/179,"55.698203,37.807629",45.0,6500000,144444
Москва;район Московский;Родниковая ул.,unknown,unknown,unknown,"55.632625,37.415342",55.4,6569500,118583
Москва;район Некрасовка;Люберецкие Поля мкр;13-й кв-л;д.к14,Люберецкие Поля мкр,13-й кв-л,д.к14,"55.703459,37.945116",60.7,6582915,108450
Москва;район Ярославский;Лосиноостровская ул.;д.45С20,район Ярославский,Лосиноостровская ул.,д.45С20,"55.849389,37.717015",58.8,6585000,111989
Москва;Десеновское поселение;пос. Ватутинки;район Десёновское;ул. 4-я Ватутинская;д.вл6,район Десёновское,ул. 4-я Ватутинская,д.вл6,"55.510119,37.346191",61.3,6574271,107300
Москва;район Орехово-Борисово Южное;Ясеневая ул.;д.вл14,район Орехово-Борисово Южное,Ясеневая ул.,д.вл14,"55.602559,37.732584",39.6,6597360,166600
Москва;Зеленоград;район Крюково;просп. Георгиевский;д.33к5,район Крюково,просп. Георгиевский,д.33к5,"55.966519,37.155668",51.3,6590000,128460
Москва;район Вешняки;ул. Молдагуловой;д.15К1,район Вешняки,ул. Молдагуловой,д.15К1,"55.719992,37.831228",45.0,6600000,146666
Москва;Десеновское поселение;район Десёновское;Кленовые Аллеи ЖК;д.к3,район Десёновское,Кленовые Аллеи ЖК,д.к3,"55.511404,37.351231",59.2,6625000,111946
Москва;район Лосиноостровский;Нормандия ЖК,unknown,unknown,unknown,"55.882640,37.684091",49.8,6618000,132891
Москва;Зеленоград;район Крюково;просп. Георгиевский;д.37к1,район Крюково,просп. Георгиевский,д.37к1,"55.967898,37.152481",53.0,6715100,126700
Москва;район Рязанский;Зеленодольская ул.;д.16,район Рязанский,Зеленодольская ул.,д.16,"55.714227,37.782000",44.0,6700000,152272
