address,district,street,house_number,coords,area,full_price,weighted_price
Москва;район Хорошево-Мневники;Шелепихинская наб.;д.34к2,район Хорошево-Мневники,Шелепихинская наб.,д.34к2,"55.762789,37.508984",49.1,13876000,282606
Москва;район Тимирязевский;Дмитровское ш.;д.13А,район Тимирязевский,Дмитровское ш.,д.13А,"55.818397,37.573537",52.4,15166000,289427
Москва;район Хорошево-Мневники;Шелепихинская наб.;д.34к2,район Хорошево-Мневники,Шелепихинская наб.,д.34к2,"55.762789,37.508984",58.4,15272000,261506
Москва;район Хорошево-Мневники;Шелепихинская наб.;д.34к2,район Хорошево-Мневники,Шелепихинская наб.,д.34к2,"55.762789,37.508984",61.5,16216000,263674
Москва;район Тимирязевский;Дмитровское ш.;д.13А,район Тимирязевский,Дмитровское ш.,д.13А,"55.818397,37.573537",72.4,19431000,268383
Москва;район Замоскворечье;Мытная ул.;д.7с1,район Замоскворечье,Мытная ул.,д.7с1,"55.722142,37.618569",49.4,30931000,626133
Москва;район Замоскворечье;Мытная ул.;д.7с1,район Замоскворечье,Мытная ул.,д.7с1,"55.722142,37.618569",64.5,31900000,494573
Москва;район Орехово-Борисово Южное;Каширское ш.;д.65к3,район Орехово-Борисово Южное,Каширское ш.,д.65к3,"55.598858,37.725271",33.8,6700000,198224
Москва;район Сокольники;ул. Стромынка;д.23/16,район Сокольники,ул. Стромынка,д.23/16,"55.794897,37.700038",36.6,9200000,251366
Москва;район Южное Тушино;ул. Фабрициуса;д.18,район Южное Тушино,ул. Фабрициуса,д.18,"55.843965,37.446910",39.8,9279000,233140
Москва;район Соколиная гора;просп. Буденного;д.51к5,район Соколиная гора,просп. Буденного,д.51к5,"55.759279,37.738899",41.0,9546000,232829
Москва;район Пресненский;2-я Черногрязская ул.;д.6к3,район Пресненский,2-я Черногрязская ул.,д.6к3,"55.762247,37.549040",46.0,18300000,397826
Москва;район Дмитровский;Дмитровское ш.;д.107к2Г,район Дмитровский,Дмитровское ш.,д.107к2Г,"55.880212,37.540973",41.0,5380000,131219
Москва;район Кузьминки;Волгоградский просп.;д.105к2,район Кузьминки,Волгоградский просп.,д.105к2,"55.707532,37.758177",40.0,8650000,216250
Москва;район Проспект Вернадского;ул. Коштоянца;д.21А,район Проспект Вернадского,ул. Коштоянца,д.21А,"55.677687,37.489958",36.0,8700000,241666
Москва;район Даниловский;ул. Архитектора Щусева;д.1,район Даниловский,ул. Архитектора Щусева,д.1,"55.699954,37.637120",40.0,12600000,315000
Москва;район Хамовники;ул. Усачева;д.11,район Хамовники,ул. Усачева,д.11,"55.726583,37.572648",71.5,45000000,629722
Москва;район Соколиная гора;просп. Буденного;д.51к5,район Соколиная гора,просп. Буденного,д.51к5,"55.759279,37.738899",40.3,8102626,201057
Москва;район Раменки;ул. Лобачевского;д.118к1,район Раменки,ул. Лобачевского,д.118к1,"55.693622,37.469189",45.2,9090000,201106
Москва;район Раменки;ул. Лобачевского;д.118к2,район Раменки,ул. Лобачевского,д.118к2,"55.694388,37.470554",46.2,9190000,198917
Москва;район Люблино;Ставропольская ул.;д.5А,район Люблино,Ставропольская ул.,д.5А,"55.681194,37.741145",34.8,5600000,160919
Москва;район Текстильщики;ул. 11-я Текстильщиков;д.8,район Текстильщики,ул. 11-я Текстильщиков,д.8,"55.706639,37.741773",32.5,5900000,181538
Москва;район Северный;Дмитровское ш.;д.124А,район Северный,Дмитровское ш.,д.124А,"55.924845,37.548546",44.4,6563800,148000
Москва;район Соколиная гора;просп. Буденного;д.51к5,район Соколиная гора,просп. Буденного,д.51к5,"55.759279,37.738899",40.3,8400000,208436
Москва;район Соколиная гора;просп. Буденного;д.51А,район Соколиная гора,просп. Буденного,д.51А,"55.760028,37.738081",40.3,8500000,210918
