address,district,street,house_number,coords,area,full_price,weighted_price
Москва;район Пресненский;ул. Пресненский Вал;д.8К3,район Пресненский,ул. Пресненский Вал,д.8К3,"55.764754,37.564599",59.2,14000000,236486
Москва;район Ростокино;просп. Мира;д.188Бк4,район Ростокино,просп. Мира,д.188Бк4,"55.834568,37.659622",109.0,15700000,144036
Москва;район Ростокино;просп. Мира;д.188Бк3,район Ростокино,просп. Мира,д.188Бк3,"55.835483,37.658338",97.2,16200000,166666
Москва;район Сокольники;ул. Барболина;д.8,район Сокольники,ул. Барболина,д.8,"55.786151,37.688611",75.0,17500000,233333
Москва;район Ростокино;просп. Мира;д.188Бк4,район Ростокино,просп. Мира,д.188Бк4,"55.834568,37.659622",128.1,18300000,142857
Москва;район Ростокино;просп. Мира;д.188Бк4,район Ростокино,просп. Мира,д.188Бк4,"55.834568,37.659622",140.0,19200000,137142
Москва;район Ростокино;просп. Мира;д.188Бк4,район Ростокино,просп. Мира,д.188Бк4,"55.834568,37.659622",144.1,20250000,140527
Москва;район Даниловский;ул. Серпуховский Вал;д.21к4,район Даниловский,ул. Серпуховский Вал,д.21к4,"55.710692,37.607448",85.0,32300000,380000
Москва;район Щукино;Авиационная ул.;д.79К1,район Щукино,Авиационная ул.,д.79К1,"55.806504,37.449866",118.0,40000000,338983
Москва;район Пресненский;наб. Пресненская;д.8с1,район Пресненский,наб. Пресненская,д.8с1,"55.747115,37.539078",200.0,81926520,409632
Москва;район Пресненский;наб. Пресненская;д.8с1,район Пресненский,наб. Пресненская,д.8с1,"55.747115,37.539078",223.1,105000000,470640
Москва;район Орехово-Борисово Северное;Домодедовская ул.;д.22К1,район Орехово-Борисово Северное,Домодедовская ул.,д.22К1,"55.611668,37.706910",65.0,10400000,160000
Москва;район Ростокино;просп. Мира;д.188Бк4,район Ростокино,просп. Мира,д.188Бк4,"55.834568,37.659622",96.9,15500000,159958
Москва;район Ростокино;просп. Мира;д.188Бк3,район Ростокино,просп. Мира,д.188Бк3,"55.835483,37.658338",109.0,15499000,142192
Москва;район Ростокино;просп. Мира;д.188Бк3,район Ростокино,просп. Мира,д.188Бк3,"55.835483,37.658338",109.9,15680000,142675
Москва;район Ростокино;просп. Мира;д.188Бк4,район Ростокино,просп. Мира,д.188Бк4,"55.834568,37.659622",96.9,15799000,163044
Москва;район Ростокино;просп. Мира;д.188Бк3,район Ростокино,просп. Мира,д.188Бк3,"55.835483,37.658338",108.5,16689000,153815
Москва;район Ростокино;просп. Мира;д.188Бк3,район Ростокино,просп. Мира,д.188Бк3,"55.835483,37.658338",94.2,17297000,183619
Москва;район Раменки;ул. Лобачевского;д.118к2,район Раменки,ул. Лобачевского,д.118к2,"55.694388,37.470554",100.7,18306910,181796
Москва;район Перово;ш. Энтузиастов;д.86Ак2,район Перово,ш. Энтузиастов,д.86Ак2,"55.764014,37.798268",89.0,19600000,220224
Москва;район Раменки;Мосфильмовская ул.;д.53,район Раменки,Мосфильмовская ул.,д.53,"55.704910,37.497459",91.0,30900000,339560
Москва;район Даниловский;ул. Серпуховский Вал;д.21к4,район Даниловский,ул. Серпуховский Вал,д.21к4,"55.710692,37.607448",89.0,34499000,387629
Москва;район Донской;ул. Вавилова;д.4,район Донской,ул. Вавилова,д.4,"55.708663,37.590255",127.0,41500000,326771
Москва;район Раменки;Ломоносовский просп.;д.25к5,район Раменки,Ломоносовский просп.,д.25к5,"55.692008,37.530939",136.0,57650000,423897
Москва;район Люблино;Белореченская ул.;д.17,район Люблино,Белореченская ул.,д.17,"55.672646,37.767025",62.9,8500000,135135
