address,district,street,house_number,coords,area,full_price,weighted_price
Москва;район Тропарево-Никулино;просп. Вернадского;д.94к5,район Тропарево-Никулино,просп. Вернадского,д.94к5,"55.652197,37.473042",124.1,48000000,386784
Москва;район Пресненский;2-я Черногрязская ул.;д.6к3,район Пресненский,2-я Черногрязская ул.,д.6к3,"55.762247,37.549040",121.0,54000000,446280
Москва;район Обручевский;Ленинский просп.;д.103,район Обручевский,Ленинский просп.,д.103,"55.665969,37.514320",179.8,55000000,305895
Москва;район Хамовники;Еропкинский пер.;д.11,район Хамовники,Еропкинский пер.,д.11,"55.740319,37.591997",135.0,56000000,414814
Москва;район Аэропорт;Ленинградский просп.;д.76К3,район Аэропорт,Ленинградский просп.,д.76К3,"55.807127,37.515901",170.0,56000000,329411
Москва;район Тверской;3-я Тверская-Ямская ул.;д.10,район Тверской,3-я Тверская-Ямская ул.,д.10,"55.771530,37.596992",175.0,57000000,325714
Москва;район Раменки;Ломоносовский просп.;д.25к5,район Раменки,Ломоносовский просп.,д.25к5,"55.692008,37.530939",157.0,63000000,401273
Москва;район Тропарево-Никулино;просп. Вернадского;д.94к1,район Тропарево-Никулино,просп. Вернадского,д.94к1,"55.652659,37.475513",150.0,63000000,420000
Москва;район Раменки;Мосфильмовская ул.;д.70к3,район Раменки,Мосфильмовская ул.,д.70к3,"55.714937,37.506343",180.0,69000000,383333
Москва;район Раменки;Ломоносовский просп.;д.25к1,район Раменки,Ломоносовский просп.,д.25к1,"55.693591,37.532439",140.0,69900000,499285
Москва;район Академический;ул. Дмитрия Ульянова;д.6к1,район Академический,ул. Дмитрия Ульянова,д.6к1,"55.689486,37.561877",159.0,70000000,440251
Москва;район Пресненский;ул. Сергея Макеева;д.9,район Пресненский,ул. Сергея Макеева,д.9,"55.761558,37.549067",158.3,73000000,461149
Москва;район Раменки;Мосфильмовская ул.;д.8,район Раменки,Мосфильмовская ул.,д.8,"55.723237,37.527903",137.0,74000000,540145
Москва;район Раменки;Мосфильмовская ул.;д.70к5,район Раменки,Мосфильмовская ул.,д.70к5,"55.715728,37.508005",190.0,75500000,397368
Москва;район Тверской;Большая Грузинская ул.;д.69,район Тверской,Большая Грузинская ул.,д.69,"55.773975,37.586086",183.0,75000000,409836
Москва;район Раменки;Мосфильмовская ул.;д.8,район Раменки,Мосфильмовская ул.,д.8,"55.723237,37.527903",115.0,76163304,662289
Москва;район Пресненский;2-я Черногрязская ул.;д.6к2,район Пресненский,2-я Черногрязская ул.,д.6к2,"55.762181,37.547531",153.0,79000000,516339
Москва;район Арбат;Филипповский пер.;д.16,район Арбат,Филипповский пер.,д.16,"55.749532,37.598771",169.0,79500000,470414
Москва;район Очаково-Матвеевское;Нежинская ул.;д.1к2,район Очаково-Матвеевское,Нежинская ул.,д.1к2,"55.719313,37.478019",178.6,82500000,461926
Москва;район Замоскворечье;Мытная ул.;д.7с1,район Замоскворечье,Мытная ул.,д.7с1,"55.722142,37.618569",153.0,85460000,558562
Москва;район Хамовники;ул. Ефремова;д.10с1к4/2,район Хамовники,ул. Ефремова,д.10с1к4/2,"55.725590,37.574651",136.0,110000000,808823
Москва;район Пресненский;Тверской бул.;д.16С5,район Пресненский,Тверской бул.,д.16С5,"55.759876,37.602292",160.0,113436720,708979
Москва;район Хамовники;2-я Фрунзенская ул.;д.8,район Хамовники,2-я Фрунзенская ул.,д.8,"55.723699,37.583697",162.2,140000000,863131
Москва;район Замоскворечье;Большая Татарская ул.;д.7,район Замоскворечье,Большая Татарская ул.,д.7,"55.742276,37.634362",159.0,148097940,931433
Москва;район Хамовники;Малая Пироговская ул.;д.8,район Хамовники,Малая Пироговская ул.,д.8,"55.729610,37.570474",190.0,150000000,789473
