address,district,street,house_number,coords,area,full_price,weighted_price
Москва;район Раменки;Минская ул.;д.2,район Раменки,Минская ул.,д.2,"55.716037,37.503998",122.0,47600000,390163
Москва;район Очаково-Матвеевское;Староволынская ул.;д.12к3,район Очаково-Матвеевское,Староволынская ул.,д.12к3,"55.714688,37.475845",147.7,48000000,324983
Москва;район Хамовники;Комсомольский просп.;д.32,район Хамовники,Комсомольский просп.,д.32,"55.724900,37.576870",91.0,48230000,530000
Москва;район Очаково-Матвеевское;Староволынская ул.;д.12к5,район Очаково-Матвеевское,Староволынская ул.,д.12к5,"55.715479,37.479034",123.0,50000000,406504
Москва;район Раменки;Ломоносовский просп.;д.25к5,район Раменки,Ломоносовский просп.,д.25к5,"55.692008,37.530939",115.0,52000000,452173
Москва;район Пресненский;Большая Садовая ул.;д.5к1,район Пресненский,Большая Садовая ул.,д.5к1,"55.768588,37.592267",135.0,51900000,384444
Москва;район Пресненский;Малая Бронная ул.;д.34,район Пресненский,Малая Бронная ул.,д.34,"55.764445,37.593120",70.0,52000000,742857
Москва;район Пресненский;Большая Бронная ул.;д.7,район Пресненский,Большая Бронная ул.,д.7,"55.761138,37.598474",80.0,52900000,661250
Москва;район Арбат;Кривоарбатский пер.;д.8С2,район Арбат,Кривоарбатский пер.,д.8С2,"55.748376,37.589904",117.2,53000000,452218
Москва;район Раменки;Мосфильмовская ул.;д.8,район Раменки,Мосфильмовская ул.,д.8,"55.723237,37.527903",130.0,53000000,407692
Москва;район Раменки;Мосфильмовская ул.;д.70к3,район Раменки,Мосфильмовская ул.,д.70к3,"55.714937,37.506343",145.0,53900000,371724
Москва;район Очаково-Матвеевское;Староволынская ул.;д.12к4,район Очаково-Матвеевское,Староволынская ул.,д.12к4,"55.715525,37.477103",117.0,55000000,470085
Москва;район Беговой;Верхняя ул.;д.20к1,район Беговой,Верхняя ул.,д.20к1,"55.779874,37.573995",128.0,55000000,429687
Москва;район Тверской;Весковский пер.;д.3,район Тверской,Весковский пер.,д.3,"55.778796,37.598825",125.0,55000000,440000
Москва;район Арбат;1-й Смоленский пер.;д.17,район Арбат,1-й Смоленский пер.,д.17,"55.748711,37.578514",105.9,55000000,519357
Москва;район Якиманка;ул. Большая Якиманка;д.26,район Якиманка,ул. Большая Якиманка,д.26,"55.735839,37.612551",105.0,55950000,532857
Москва;район Даниловский;ул. Серпуховский Вал;д.21к1,район Даниловский,ул. Серпуховский Вал,д.21к1,"55.710809,37.610404",120.0,56500000,470833
Москва;район Тропарево-Никулино;просп. Вернадского;д.94к4,район Тропарево-Никулино,просп. Вернадского,д.94к4,"55.652999,37.471740",100.0,57000000,570000
Москва;район Раменки;Мосфильмовская ул.;д.8,район Раменки,Мосфильмовская ул.,д.8,"55.723237,37.527903",107.0,57000000,532710
Москва;район Басманный;ул. Чаплыгина;д.1АС1,район Басманный,ул. Чаплыгина,д.1АС1,"55.764197,37.646139",160.3,57000000,355583
Москва;район Проспект Вернадского;Ленинский просп.;д.96,район Проспект Вернадского,Ленинский просп.,д.96,"55.670884,37.515218",150.0,56718360,378122
Москва;район Гагаринский;ул. Косыгина;д.2к1,район Гагаринский,ул. Косыгина,д.2к1,"55.709693,37.576780",110.0,58000000,527272
Москва;район Можайский;Можайское ш.;д.2,район Можайский,Можайское ш.,д.2,"55.724271,37.446910",134.0,58000000,432835
Москва;район Замоскворечье;Мытная ул.;д.7с1,район Замоскворечье,Мытная ул.,д.7с1,"55.722142,37.618569",116.9,58500000,500427
Москва;район Войковский;Ленинградское ш.;д.37к1,район Войковский,Ленинградское ш.,д.37к1,"55.832095,37.483957",208.0,58710000,282259
