address,district,street,house_number,coords,area,full_price,weighted_price
Москва;район Можайский;ул. Багрицкого;д.10к4,район Можайский,ул. Багрицкого,д.10к4,"55.723470,37.433184",119.9,23475158,195789
Москва;район Раменки;Мосфильмовская ул.;д.8,район Раменки,Мосфильмовская ул.,д.8,"55.723237,37.527903",148.5,75000000,505050
Москва;район Раменки;Мосфильмовская ул.;д.8,район Раменки,Мосфильмовская ул.,д.8,"55.723237,37.527903",137.8,50000000,362844
Москва;район Раменки;Мосфильмовская ул.;д.8,район Раменки,Мосфильмовская ул.,д.8,"55.723237,37.527903",150.0,65000000,433333
Москва;район Хорошевский;Ходынский бул.;д.5к3,район Хорошевский,Ходынский бул.,д.5к3,"55.783818,37.533867",150.0,40000000,266666
Москва;район Раменки;Мосфильмовская ул.;д.8,район Раменки,Мосфильмовская ул.,д.8,"55.723237,37.527903",147.0,55000000,374149
Москва;район Хорошевский;Чапаевский пер.;д.3,район Хорошевский,Чапаевский пер.,д.3,"55.798480,37.520671",166.0,91300000,550000
Москва;район Якиманка;Полянка 44 ЖК,unknown,unknown,unknown,"55.732504,37.617968",148.7,129000000,867518
Москва;район Хамовники;Малая Пироговская ул.;д.8,район Хамовники,Малая Пироговская ул.,д.8,"55.729610,37.570474",189.0,145000000,767195
Москва;район Хамовники;1-й Неопалимовский пер.;д.8,район Хамовники,1-й Неопалимовский пер.,д.8,"55.740760,37.581047",241.0,190000000,788381
Москва;район Замоскворечье;Садовническая ул.;д.57С1,район Замоскворечье,Садовническая ул.,д.57С1,"55.740558,37.640929",160.0,61499999,384374
Москва;район Тверской;Большой Каретный пер.;д.24с2,район Тверской,Большой Каретный пер.,д.24с2,"55.772740,37.616494",170.7,66450096,389280
Москва;район Хамовники;2-я Фрунзенская ул.;д.8,район Хамовники,2-я Фрунзенская ул.,д.8,"55.723699,37.583697",163.0,170155080,1043896
Москва;район Ломоносовский;ул. Гарибальди;д.3,район Ломоносовский,ул. Гарибальди,д.3,"55.677895,37.535763",160.0,54000000,337500
Москва;район Академический;ул. Дмитрия Ульянова;д.6к1,район Академический,ул. Дмитрия Ульянова,д.6к1,"55.689486,37.561877",160.0,69500000,434375
Москва;район Раменки;Мосфильмовская ул.;д.70к5,район Раменки,Мосфильмовская ул.,д.70к5,"55.715728,37.508005",185.0,73000000,394594
Москва;район Раменки;Мосфильмовская ул.;д.8,район Раменки,Мосфильмовская ул.,д.8,"55.723237,37.527903",125.0,74000000,592000
Москва;район Раменки;Мосфильмовская ул.;д.8,район Раменки,Мосфильмовская ул.,д.8,"55.723237,37.527903",230.0,94530600,411002
Москва;район Хамовники;2-я Фрунзенская ул.;д.8,район Хамовники,2-я Фрунзенская ул.,д.8,"55.723699,37.583697",158.2,175000000,1106194
Москва;район Арбат;1-й Смоленский пер.;д.21,район Арбат,1-й Смоленский пер.,д.21,"55.749334,37.579178",184.0,184000000,1000000
Москва;район Тверской;ул. Фадеева;д.4А,район Тверской,ул. Фадеева,д.4А,"55.774867,37.601609",203.0,195363240,962380
Москва;район Тверской;ул. Фадеева;д.4А,район Тверской,ул. Фадеева,д.4А,"55.774867,37.601609",203.0,195363240,962380
Москва;район Тверской;ул. Охотный Ряд;д.2,район Тверской,ул. Охотный Ряд,д.2,"55.757131,37.617114",207.9,327548529,1575510
Москва;район Раменки;Минская ул.;д.1ГК2,район Раменки,Минская ул.,д.1ГК2,"55.712127,37.499390",150.0,44500000,296666
Москва;район Раменки;Мосфильмовская ул.;д.70к3,район Раменки,Мосфильмовская ул.,д.70к3,"55.714937,37.506343",144.0,69500000,482638
