address,district,street,house_number,coords,area,full_price,weighted_price
Москва;район Алексеевский;просп. Мира;д.120,район Алексеевский,просп. Мира,д.120,"55.811771,37.639339",63.0,17300000,274603
Москва;район Пресненский;2-я Брестская ул.;д.43,район Пресненский,2-я Брестская ул.,д.43,"55.774583,37.583841",59.0,17300000,293220
Москва;район Филевский парк;Береговой проезд;д.5к2,район Филевский парк,Береговой проезд,д.5к2,"55.756386,37.508840",70.0,17500000,250000
Москва;район Басманный;Нижняя Красносельская ул.;д.35,район Басманный,Нижняя Красносельская ул.,д.35,"55.775753,37.671938",52.3,17636321,337214
Москва;район Войковский;Ленинградское ш.;д.25к2,район Войковский,Ленинградское ш.,д.25к2,"55.827671,37.487559",74.5,17990000,241476
Москва;район Дорогомилово;Кутузовский просп.;д.5/3,район Дорогомилово,Кутузовский просп.,д.5/3,"55.749846,37.567051",56.0,18000000,321428
Москва;район Красносельский;Басманный пер.;д.5,район Красносельский,Басманный пер.,д.5,"55.771206,37.658212",74.0,18200000,245945
Москва;район Беговой;Ленинградский просп.;д.вл31,район Беговой,Ленинградский просп.,д.вл31,"55.784977,37.561940",70.0,18500000,264285
Москва;район Южное Тушино;бул. Яна Райниса;д.31,район Южное Тушино,бул. Яна Райниса,д.31,"55.848559,37.419045",95.0,18681000,196642
Москва;район Пресненский;Садовая-Кудринская ул.;д.32С2,район Пресненский,Садовая-Кудринская ул.,д.32С2,"55.765225,37.590524",60.8,19000000,312500
Москва;район Филевский парк;Береговой проезд;д.5Ак1,район Филевский парк,Береговой проезд,д.5Ак1,"55.754968,37.509262",60.0,19000000,316666
Москва;район Филевский парк;Береговой проезд;д.5к2,район Филевский парк,Береговой проезд,д.5к2,"55.756386,37.508840",70.0,18850000,269285
Москва;район Басманный;Нижняя Красносельская ул.;д.35С50,район Басманный,Нижняя Красносельская ул.,д.35С50,"55.774634,37.673951",52.0,18900000,363461
Москва;район Южнопортовый;ул. Сайкина;д.19,район Южнопортовый,ул. Сайкина,д.19,"55.704184,37.668794",75.0,19999999,266666
Москва;район Хорошевский;ул. Викторенко;д.вл11,район Хорошевский,ул. Викторенко,д.вл11,"55.795444,37.526896",53.6,20130000,375559
Москва;район Беговой;Ленинградский просп.;д.29к3,район Беговой,Ленинградский просп.,д.29к3,"55.784303,37.562775",80.0,20000000,250000
Москва;район Черемушки;ул. Наметкина;д.18,район Черемушки,ул. Наметкина,д.18,"55.659571,37.560071",93.0,20029100,215366
Москва;район Кунцево;Жилой Достояние кв-л,unknown,unknown,unknown,"55.741717,37.419537",68.0,20000000,294117
Москва;район Кунцево;Ярцевская ул.;д.27к1,район Кунцево,Ярцевская ул.,д.27к1,"55.741738,37.416691",62.0,20500000,330645
Москва;район Тверской;Старопименовский пер.;д.6,район Тверской,Старопименовский пер.,д.6,"55.768815,37.601376",52.0,20481630,393877
Москва;район Тверской;Старопименовский пер.;д.6,район Тверской,Старопименовский пер.,д.6,"55.768815,37.601376",53.0,20481630,386445
Москва;район Пресненский;Шмитовский проезд;д.16С2,район Пресненский,Шмитовский проезд,д.16С2,"55.758073,37.547144",62.0,20500000,330645
Москва;район Измайлово;Измайловский проезд;д.10к2,район Измайлово,Измайловский проезд,д.10к2,"55.794107,37.770223",75.0,20700000,276000
Москва;район Раменки;Мосфильмовская ул.;д.88к2с6,район Раменки,Мосфильмовская ул.,д.88к2с6,"55.705488,37.493308",50.0,21000000,420000
Москва;район Обручевский;Ленинский просп.;д.111к1,район Обручевский,Ленинский просп.,д.111к1,"55.661328,37.509343",75.0,21500000,286666
