address,district,street,house_number,coords,area,full_price,weighted_price
Москва;район Пресненский;ул. Сергея Макеева;д.9к1,район Пресненский,ул. Сергея Макеева,д.9к1,"55.760915,37.550208",120.0,54000000,450000
Москва;район Пресненский;2-я Черногрязская ул.;д.6к2,район Пресненский,2-я Черногрязская ул.,д.6к2,"55.762181,37.547531",123.0,54000000,439024
Москва;район Раменки;Мосфильмовская ул.;д.8,район Раменки,Мосфильмовская ул.,д.8,"55.723237,37.527903",98.0,55500000,566326
Москва;район Замоскворечье;Пятницкая ул.;д.53/18С1,район Замоскворечье,Пятницкая ул.,д.53/18С1,"55.734750,37.627984",90.0,57500000,638888
Москва;район Хамовники;Малая Пироговская ул.;д.8,район Хамовники,Малая Пироговская ул.,д.8,"55.729610,37.570474",102.0,60000000,588235
Москва;район Хамовники;ул. Ефремова;д.10к1,район Хамовники,ул. Ефремова,д.10к1,"55.725331,37.573717",101.0,65500000,648514
Москва;район Останкинский;ул. Академика Королева;д.10,район Останкинский,ул. Академика Королева,д.10,"55.822822,37.620106",138.0,72000000,521739
Москва;район Хамовники;Ружейный пер.;д.3,район Хамовники,Ружейный пер.,д.3,"55.742955,37.580508",152.0,104650000,688486
Москва;район Пресненский;наб. Пресненская;д.8с1,район Пресненский,наб. Пресненская,д.8с1,"55.747115,37.539078",223.3,110000000,492610
Москва;район Пресненский;наб. Пресненская;д.8с1,район Пресненский,наб. Пресненская,д.8с1,"55.747115,37.539078",220.0,157551000,716140
Москва;район Москворечье-Сабурово;Каширское ш.;д.48К1,район Москворечье-Сабурово,Каширское ш.,д.48К1,"55.647427,37.665974",55.0,8700000,158181
Москва;район Зябликово;Шипиловская ул.;д.48К1,район Зябликово,Шипиловская ул.,д.48К1,"55.621333,37.735728",74.0,10500000,141891
Москва;район Орехово-Борисово Северное;Каширское ш.;д.88/26,район Орехово-Борисово Северное,Каширское ш.,д.88/26,"55.618029,37.712318",73.0,10500000,143835
Москва;район Митино;пер. 3-й Митинский;д.7,район Митино,пер. 3-й Митинский,д.7,"55.846133,37.347763",71.0,10650000,150000
Москва;район Лианозово;Псковская ул.;д.2К1,район Лианозово,Псковская ул.,д.2К1,"55.901056,37.554753",75.0,10900000,145333
Москва;район Выхино-Жулебино;ул. Генерала Кузнецова;д.17,район Выхино-Жулебино,ул. Генерала Кузнецова,д.17,"55.686051,37.857953",82.0,11200000,136585
Москва;район Тимирязевский;ул. Вучетича;д.15К1,район Тимирязевский,ул. Вучетича,д.15К1,"55.810850,37.557601",80.0,12900000,161250
Москва;район Останкинский;ул. Бочкова;д.6К1,район Останкинский,ул. Бочкова,д.6К1,"55.810506,37.633544",55.0,14300000,260000
Москва;район Тимирязевский;ул. Костякова;д.17К1,район Тимирязевский,ул. Костякова,д.17К1,"55.815731,37.568300",56.0,14500000,258928
Москва;район Рязанский;Окская ул.;д.5К1,район Рязанский,Окская ул.,д.5К1,"55.713157,37.756829",77.3,14475000,187257
Москва;район Пресненский;ул. Анатолия Живова;д.6,район Пресненский,ул. Анатолия Живова,д.6,"55.759932,37.553253",81.0,15100000,186419
Москва;район Вешняки;Вешняковская ул.;д.18к1,район Вешняки,Вешняковская ул.,д.18к1,"55.723607,37.824032",86.0,16900000,196511
Москва;район Митино;ул. Рословка;д.12к3,район Митино,ул. Рословка,д.12к3,"55.828561,37.360097",100.0,17119000,171190
Москва;район Митино;ул. Рословка;д.12к3,район Митино,ул. Рословка,д.12к3,"55.828561,37.360097",100.0,17119000,171190
Москва;район Гагаринский;ул. Панферова;д.5К2,район Гагаринский,ул. Панферова,д.5К2,"55.684102,37.544432",74.0,17200000,232432
