address,district,street,house_number,coords,area,full_price,weighted_price
Москва;район Митино;Митинская ул.;д.16,район Митино,Митинская ул.,д.16,"55.842464,37.373302",29.4,5850000,198979
Москва;Зеленоград;район Крюково;просп. Георгиевский;д.37к1,район Крюково,просп. Георгиевский,д.37к1,"55.967397,37.152444",42.3,5926230,140100
Москва;район Северный;Дмитровское ш.;д.169К3,район Северный,Дмитровское ш.,д.169К3,"55.932344,37.542931",35.0,5999999,171428
Москва;район Солнцево;Производственная ул.;д.6С20,район Солнцево,Производственная ул.,д.6С20,"55.643526,37.389292",40.4,5979995,148019
Москва;район Гольяново;Щелковское ш.;д.57К3,район Гольяново,Щелковское ш.,д.57К3,"55.811482,37.791450",36.0,5990000,166388
Москва;район Гольяново;Щелковское ш.;д.85К1,район Гольяново,Щелковское ш.,д.85К1,"55.812069,37.816468",32.0,5990000,187187
Москва;район Митино;Муравская ул.;д.42к2,район Митино,Муравская ул.,д.42к2,"55.859610,37.372422",41.0,5900000,143902
Москва;район Солнцево;Производственная ул.;д.6С20,район Солнцево,Производственная ул.,д.6С20,"55.643526,37.389292",33.1,5935195,179311
Москва;район Солнцево;Производственная ул.;д.6С20,район Солнцево,Производственная ул.,д.6С20,"55.643526,37.389292",37.2,5919617,159129
Москва;район Теплый Стан;ул. Теплый Стан;д.21К4,район Теплый Стан,ул. Теплый Стан,д.21К4,"55.626660,37.481163",34.4,5900000,171511
Москва;район Митино;Муравская ул.;д.38к1,район Митино,Муравская ул.,д.38к1,"55.864283,37.372404",40.7,5950000,146191
Москва;район Митино;Уваровский пер.;д.10К1,район Митино,Уваровский пер.,д.10К1,"55.827176,37.350081",40.0,5900000,147500
"Москва;Московский поселение;район Московский;Киевское шоссе, 23-й км;д.14к3",район Московский,"Киевское шоссе, 23-й км",д.14к3,"55.633790,37.415469",39.0,5950000,152564
Москва;район Войковский;Выборгская ул.,unknown,unknown,unknown,"55.836189,37.498494",31.9,5963545,186944
Москва;район Чертаново Южное;Варшавское ш.;д.170Е,район Чертаново Южное,Варшавское ш.,д.170Е,"55.583726,37.580668",24.4,5934426,243014
Москва;район Некрасовка;Люберецкие Поля мкр;12-й кв-л;д.к9,Люберецкие Поля мкр,12-й кв-л,д.к9,"55.707325,37.935063",43.7,5937847,135877
Москва;район Теплый Стан;ул. Островитянова;д.26К2,район Теплый Стан,ул. Островитянова,д.26К2,"55.633622,37.514275",33.0,5990000,181515
Москва;район Ивановское;ул. Сталеваров;д.14,район Ивановское,ул. Сталеваров,д.14,"55.758119,37.838980",37.0,6000000,162162
Москва;район Косино-Ухтомский;Оренбургская ул.;д.26К2,район Косино-Ухтомский,Оренбургская ул.,д.26К2,"55.710854,37.864762",30.3,6000000,198019
Москва;Московский поселение;район Московский;Саларьево Парк ЖК;д.к14/1,район Московский,Саларьево Парк ЖК,д.к14/1,"55.617510,37.408561",34.4,6000000,174418
Москва;район Кунцево;Мякинино Парк ЖК,unknown,unknown,unknown,"55.803338,37.347289",44.6,6065600,136000
Москва;район Рязанский;Рязанский просп.;д.вл26,район Рязанский,Рязанский просп.,д.вл26,"55.717107,37.768244",38.0,6061000,159500
Москва;район Орехово-Борисово Южное;Ясеневая ул.;д.вл14,район Орехово-Борисово Южное,Ясеневая ул.,д.вл14,"55.602559,37.732584",35.9,6074280,169200
Москва;район Солнцево;Производственная ул.;д.6С20,район Солнцево,Производственная ул.,д.6С20,"55.643526,37.389292",37.6,6099547,162221
Москва;район Некрасовка;Рождественская ул.;д.33,район Некрасовка,Рождественская ул.,д.33,"55.703185,37.931713",39.2,6083360,155187
