address,district,street,house_number,coords,area,full_price,weighted_price
Москва;район Пресненский;Тишинская пл.;д.6,район Пресненский,Тишинская пл.,д.6,"55.770714,37.584245",71.0,29900000,421126
Москва;район Пресненский;2-я Черногрязская ул.;д.6к4,район Пресненский,2-я Черногрязская ул.,д.6к4,"55.761629,37.548151",75.0,30500000,406666
Москва;район Хорошевский;Ходынский бул.;д.5к3,район Хорошевский,Ходынский бул.,д.5к3,"55.783818,37.533867",94.0,31500000,335106
Москва;район Очаково-Матвеевское;Нежинская ул.;д.1к4,район Очаково-Матвеевское,Нежинская ул.,д.1к4,"55.718248,37.477175",82.0,31600000,385365
Москва;район Пресненский;1-й Красногвардейский проезд;д.21с1,район Пресненский,1-й Красногвардейский проезд,д.21с1,"55.750028,37.534397",65.0,32000000,492307
Москва;район Красносельский;Милютинский пер.;д.11,район Красносельский,Милютинский пер.,д.11,"55.764369,37.631541",70.0,32000000,457142
Москва;район Пресненский;1-й Красногвардейский проезд;д.21с1,район Пресненский,1-й Красногвардейский проезд,д.21с1,"55.750028,37.534397",65.0,32000000,492307
Москва;район Хорошево-Мневники;просп. Маршала Жукова;д.76к2,район Хорошево-Мневники,просп. Маршала Жукова,д.76к2,"55.781160,37.451061",96.0,32770608,341360
Москва;район Хорошево-Мневники;просп. Маршала Жукова;д.76к2,район Хорошево-Мневники,просп. Маршала Жукова,д.76к2,"55.781160,37.451061",94.9,33000000,347734
Москва;район Раменки;Мосфильмовская ул.;д.88к4с1,район Раменки,Мосфильмовская ул.,д.88к4с1,"55.703185,37.491548",83.2,33000000,396634
Москва;район Хамовники;Малый Левшинский пер.;д.10,район Хамовники,Малый Левшинский пер.,д.10,"55.741774,37.590282",65.0,33900000,521538
Москва;район Хорошевский;ул. Гризодубовой;д.2,район Хорошевский,ул. Гризодубовой,д.2,"55.782572,37.531936",102.0,33900000,332352
Москва;район Дорогомилово;Большая Дорогомиловская ул.;д.4,район Дорогомилово,Большая Дорогомиловская ул.,д.4,"55.745990,37.570680",67.0,34000000,507462
Москва;район Беговой;ул. 3-я Ямского Поля;д.9,район Беговой,ул. 3-я Ямского Поля,д.9,"55.781626,37.580894",104.7,34990000,334192
Москва;район Пресненский;ул. Сергея Макеева;д.9к1,район Пресненский,ул. Сергея Макеева,д.9к1,"55.760915,37.550208",80.0,35000000,437500
Москва;район Беговой;Верхняя ул.;д.34С20,район Беговой,Верхняя ул.,д.34С20,"55.779221,37.575908",83.0,35250000,424698
Москва;район Пресненский;1-й Красногвардейский проезд;д.вл17-18,район Пресненский,1-й Красногвардейский проезд,д.вл17-18,"55.751543,37.534056",58.1,35000000,602409
Москва;район Раменки;Мосфильмовская ул.;д.88к2с4,район Раменки,Мосфильмовская ул.,д.88к2с4,"55.704093,37.493156",85.0,35500000,417647
Москва;район Даниловский;ул. Серпуховский Вал;д.21к3,район Даниловский,ул. Серпуховский Вал,д.21к3,"55.710038,37.608940",80.0,35400000,442500
Москва;район Красносельский;пер. Даев;д.19,район Красносельский,пер. Даев,д.19,"55.770208,37.638036",84.9,37382000,440306
Москва;район Очаково-Матвеевское;Староволынская ул.;д.15к2,район Очаково-Матвеевское,Староволынская ул.,д.15к2,"55.713725,37.479061",80.0,38000000,475000
Москва;район Останкинский;ул. Академика Королева;д.10,район Останкинский,ул. Академика Королева,д.10,"55.822822,37.620106",92.0,38000000,413043
Москва;район Таганский;Пестовский пер.;д.5,район Таганский,Пестовский пер.,д.5,"55.745676,37.659317",68.6,39000000,568513
Москва;район Крылатское;Крылатская ул.;д.45К1,район Крылатское,Крылатская ул.,д.45К1,"55.770583,37.397404",86.0,39500000,459302
Москва;район Раменки;ул. Пудовкина;д.7Б,район Раменки,ул. Пудовкина,д.7Б,"55.726918,37.528307",85.0,40000000,470588
