address,district,street,house_number,coords,area,full_price,weighted_price
Москва;район Пресненский;ул. Сергея Макеева;д.9к4,район Пресненский,ул. Сергея Макеева,д.9к4,"55.761771,37.549184",47.0,19450000,413917
Москва;район Тропарево-Никулино;просп. Вернадского;д.94к5,район Тропарево-Никулино,просп. Вернадского,д.94к5,"55.652197,37.473042",54.0,21100000,390740
Москва;район Алексеевский;Ярославская ул.;д.10к5,район Алексеевский,Ярославская ул.,д.10к5,"55.819049,37.648798",19.5,2850000,146153
Москва;район Алексеевский;Ярославская ул.;д.10к5,район Алексеевский,Ярославская ул.,д.10к5,"55.819049,37.648798",17.6,3115200,177000
Москва;район Алексеевский;Ярославская ул.;д.10к5,район Алексеевский,Ярославская ул.,д.10к5,"55.819049,37.648798",17.8,3150600,177000
Москва;район Некрасовка;Люберецкие Поля мкр;13-й кв-л;д.к13,Люберецкие Поля мкр,13-й кв-л,д.к13,"55.703413,37.943616",35.4,4708420,133006
Москва;район Некрасовка;ул. Лавриненко;д.5,район Некрасовка,ул. Лавриненко,д.5,"55.701587,37.946598",37.0,5376200,145302
Москва;район Некрасовка;ул. Лавриненко;д.5,район Некрасовка,ул. Лавриненко,д.5,"55.701587,37.946598",37.0,5376400,145308
Москва;район Западное Дегунино;ул. Маршала Федоренко;д.8К3,район Западное Дегунино,ул. Маршала Федоренко,д.8К3,"55.881051,37.492760",33.0,5500000,166666
Москва;район Вешняки;ул. Старый Гай;д.1К2,район Вешняки,ул. Старый Гай,д.1К2,"55.741151,37.831201",33.0,5500000,166666
Москва;район Некрасовка;Покровская ул.;д.17к5,район Некрасовка,Покровская ул.,д.17к5,"55.698782,37.930887",39.3,5546650,141136
Москва;район Некрасовка;ул. Вертолетчиков;д.13,район Некрасовка,ул. Вертолетчиков,д.13,"55.704017,37.940921",39.2,5532600,141137
Москва;Внуковское поселение;район Внуковское;Городские Истории ЖК,Внуковское поселение,район Внуковское,Городские Истории ЖК,"55.634131,37.331567",49.1,6500000,132382
Москва;район Гольяново;Байкальская ул.;д.27,район Гольяново,Байкальская ул.,д.27,"55.817491,37.805042",32.0,6780000,211875
Москва;район Северное Тушино;Туристская ул.;д.25К4,район Северное Тушино,Туристская ул.,д.25К4,"55.853875,37.416251",33.0,6850000,207575
Москва;район Левобережный;Смольная ул.;д.44к1,район Левобережный,Смольная ул.,д.44к1,"55.869117,37.473959",38.3,6950000,181462
Москва;пос. Коммунарка;район Сосенское;ул. Бачуринская;д.11,район Сосенское,ул. Бачуринская,д.11,"55.577266,37.480552",35.0,7000000,200000
Москва;район Фили-Давыдково;ул. Полосухина;д.1,район Фили-Давыдково,ул. Полосухина,д.1,"55.735403,37.461104",36.0,7150000,198611
Москва;район Чертаново Южное;Россошанская ул.;д.10,район Чертаново Южное,Россошанская ул.,д.10,"55.591950,37.614123",38.0,7200000,189473
Москва;район Северное Тушино;ул. Вилиса Лациса;д.42,район Северное Тушино,ул. Вилиса Лациса,д.42,"55.856437,37.406325",39.2,7200000,183673
Москва;пос. Коммунарка;район Сосенское;ул. Бачуринская;д.22к1,район Сосенское,ул. Бачуринская,д.22к1,"55.573770,37.484406",49.0,7700000,157142
Москва;район Чертаново Южное;Россошанский проезд;д.4К3,район Чертаново Южное,Россошанский проезд,д.4К3,"55.598670,37.604969",39.0,7650000,196153
Москва;район Крылатское;Рублевское ш.;д.70к7,район Крылатское,Рублевское ш.,д.70к7,"55.770897,37.378090",52.0,8706880,167440
Москва;район Южное Бутово;ул. Поляны;д.5,район Южное Бутово,ул. Поляны,д.5,"55.557592,37.554690",66.5,9011000,135503
Москва;район Беговой;Ленинградский просп.;д.29к1,район Беговой,Ленинградский просп.,д.29к1,"55.785169,37.564033",35.0,9900000,282857
