address,district,street,house_number,coords,area,full_price,weighted_price
Москва;район Бирюлево Западное;Булатниковская ул.;д.3К1,район Бирюлево Западное,Булатниковская ул.,д.3К1,"55.579169,37.656990",33.0,5180000,156969
Москва;район Митино;Муравская ул.;д.38к1,район Митино,Муравская ул.,д.38к1,"55.864283,37.372404",36.2,5150000,142265
Москва;Зеленоград;район Крюково;просп. Георгиевский;д.37к1,район Крюково,просп. Георгиевский,д.37к1,"55.964271,37.151506",40.2,5209920,129599
Москва;Сосенское поселение;район Сосенское;Испанские кварталы ЖК;д.9к3,район Сосенское,Испанские кварталы ЖК,д.9к3,"55.591796,37.454298",34.4,5200000,151162
Москва;район Некрасовка;ул. Лавриненко;д.5,район Некрасовка,ул. Лавриненко,д.5,"55.701587,37.946598",37.0,5209100,140786
Москва;район Молжаниновский;Синявинская ул.;д.11к11,район Молжаниновский,Синявинская ул.,д.11к11,"55.947510,37.348743",38.0,5200000,136842
Москва;район Восточное Измайлово;12-я Парковая ул.;д.5,район Восточное Измайлово,12-я Парковая ул.,д.5,"55.789644,37.810045",32.8,5215200,159000
Москва;район Нагатино-Садовники;Нагатинская наб.;д.20К2,район Нагатино-Садовники,Нагатинская наб.,д.20К2,"55.681443,37.655499",22.0,5200000,236363
Москва;район Некрасовка;ул. Лавриненко;д.5,район Некрасовка,ул. Лавриненко,д.5,"55.701587,37.946598",37.3,5209700,139670
Москва;район Некрасовка;ул. Лавриненко;д.5,район Некрасовка,ул. Лавриненко,д.5,"55.701587,37.946598",37.0,5209120,140787
Москва;район Московский;Родниковая ул.,unknown,unknown,unknown,"55.632625,37.415342",39.5,5206800,131817
Москва;район Бирюлево Восточное;Загорьевская ул.;д.3К1,район Бирюлево Восточное,Загорьевская ул.,д.3К1,"55.581378,37.675343",38.6,5200000,134715
Москва;район Некрасовка;Люберецкие Поля мкр;12-й кв-л;д.к9,Люберецкие Поля мкр,12-й кв-л,д.к9,"55.707325,37.935063",41.1,5281539,128504
Москва;район Некрасовка;Люберецкие Поля мкр;13-й кв-л;д.к6В,Люберецкие Поля мкр,13-й кв-л,д.к6В,"55.702213,37.949851",39.5,5258750,133132
Москва;район Печатники;ул. Полбина;д.66,район Печатники,ул. Полбина,д.66,"55.670991,37.723340",35.0,5300000,151428
Москва;Сосенское поселение;район Сосенское;бул. Веласкеса;д.5к5,район Сосенское,бул. Веласкеса,д.5к5,"55.594107,37.458166",35.0,5300000,151428
Москва;район Люблино;Цимлянская ул.;д.3к1,район Люблино,Цимлянская ул.,д.3к1,"55.669795,37.770897",37.5,5302500,141400
Москва;район Лосиноостровский;Минусинская ул.;д.16,район Лосиноостровский,Минусинская ул.,д.16,"55.875425,37.691333",30.0,5300000,176666
Москва;пос. Коммунарка;район Сосенское;бул. Скандинавский;д.4к2,район Сосенское,бул. Скандинавский,д.4к2,"55.566679,37.495923",38.0,5300000,139473
Москва;район Дмитровский;Дмитровское ш.;д.107Ак1,район Дмитровский,Дмитровское ш.,д.107Ак1,"55.880687,37.541351",40.1,5380887,134186
Москва;Сосенское поселение;район Сосенское;ул. Александры Монаховой;д.96к1,район Сосенское,ул. Александры Монаховой,д.96к1,"55.546878,37.480040",43.5,5398350,124100
Москва;район Рязанский;2-й Грайвороновский проезд,unknown,unknown,unknown,"55.726641,37.748551",29.3,5399990,184300
Москва;Сосенское поселение;район Сосенское;ул. Александры Монаховой;д.96к1,район Сосенское,ул. Александры Монаховой,д.96к1,"55.545752,37.484460",38.3,5369660,140200
Москва;район Некрасовка;ул. Лавриненко;д.5,район Некрасовка,ул. Лавриненко,д.5,"55.701587,37.946598",38.4,5362400,139645
Москва;Сосенское поселение;район Сосенское;ул. Василия Ощепкова;д.4,район Сосенское,ул. Василия Ощепкова,д.4,"55.553455,37.464200",33.0,5380000,163030
