address,district,street,house_number,coords,area,full_price,weighted_price
Москва;район Щукино;Авиационная ул.;д.77К1,район Щукино,Авиационная ул.,д.77К1,"55.807420,37.450162",187.0,54900000,293582
Москва;район Тверской;Весковский пер.;д.3,район Тверской,Весковский пер.,д.3,"55.778796,37.598825",121.0,55800000,461157
Москва;район Можайский;Можайское ш.;д.2,район Можайский,Можайское ш.,д.2,"55.724271,37.446910",277.0,56000000,202166
Москва;район Тверской;3-я Тверская-Ямская ул.;д.10,район Тверской,3-я Тверская-Ямская ул.,д.10,"55.771530,37.596992",174.0,57000000,327586
Москва;район Таганский;ул. Талалихина;д.8,район Таганский,ул. Талалихина,д.8,"55.736143,37.676286",160.0,58000000,362500
Москва;район Хамовники;ул. Знаменка;д.15,район Хамовники,ул. Знаменка,д.15,"55.749983,37.604969",125.0,58400000,467200
Москва;район Савеловский;ул. Мишина;д.26,район Савеловский,ул. Мишина,д.26,"55.795712,37.565811",177.0,59000000,333333
Москва;район Тропарево-Никулино;просп. Вернадского;д.92,район Тропарево-Никулино,просп. Вернадского,д.92,"55.655163,37.473150",145.0,59800000,412413
Москва;район Фили-Давыдково;Давыдковская ул.;д.16,район Фили-Давыдково,Давыдковская ул.,д.16,"55.720986,37.465640",150.0,60000000,400000
Москва;район Красносельский;пер. Даев;д.19,район Красносельский,пер. Даев,д.19,"55.770208,37.638036",117.0,61427238,525019
Москва;район Пресненский;пер. Красина;д.16С1,район Пресненский,пер. Красина,д.16С1,"55.767944,37.582781",164.0,62320000,380000
Москва;район Ломоносовский;просп. Вернадского;д.13,район Ломоносовский,просп. Вернадского,д.13,"55.687655,37.527669",150.0,62000000,413333
Москва;район Проспект Вернадского;Ленинский просп.;д.126,район Проспект Вернадского,Ленинский просп.,д.126,"55.667675,37.510430",164.0,63020400,384270
Москва;район Раменки;Ломоносовский просп.;д.25к5,район Раменки,Ломоносовский просп.,д.25к5,"55.692008,37.530939",140.0,64000000,457142
Москва;район Раменки;Ломоносовский просп.;д.25к1,район Раменки,Ломоносовский просп.,д.25к1,"55.693591,37.532439",140.0,65000000,464285
Москва;район Мещанский;Банный пер.;д.3,район Мещанский,Банный пер.,д.3,"55.786404,37.636724",151.0,65000000,430463
Москва;район Замоскворечье;Вишняковский пер.;д.10С2,район Замоскворечье,Вишняковский пер.,д.10С2,"55.736589,37.629996",120.0,65000000,541666
Москва;район Якиманка;ул. Большая Полянка;д.43С3,район Якиманка,ул. Большая Полянка,д.43С3,"55.733695,37.620052",148.2,65000000,438596
Москва;район Хамовники;Гагаринский пер.;д.24/7С2,район Хамовники,Гагаринский пер.,д.24/7С2,"55.745377,37.590578",147.0,65000000,442176
Москва;район Можайский;ул. Кутузова;д.11К2,район Можайский,ул. Кутузова,д.11К2,"55.723263,37.412128",338.0,65000000,192307
Москва;район Щукино;ул. Маршала Соколовского;д.5,район Щукино,ул. Маршала Соколовского,д.5,"55.792766,37.487856",175.0,65000000,371428
Москва;район Басманный;ул. Жуковского;д.7,район Басманный,ул. Жуковского,д.7,"55.763310,37.645986",177.0,66927664,378122
Москва;район Очаково-Матвеевское;Нежинская ул.;д.1к3,район Очаково-Матвеевское,Нежинская ул.,д.1к3,"55.718831,37.477624",167.0,68900000,412574
Москва;район Хамовники;ул. Льва Толстого;д.23/7кв,район Хамовники,ул. Льва Толстого,д.23/7кв,"55.734420,37.583948",102.0,68490000,671470
Москва;район Очаково-Матвеевское;Староволынская ул.;д.12к5,район Очаково-Матвеевское,Староволынская ул.,д.12к5,"55.715479,37.479034",150.0,69000000,460000
