address,district,street,house_number,coords,area,full_price,weighted_price
Москва;район Хамовники;Смоленский бул.;д.24к3,район Хамовники,Смоленский бул.,д.24к3,"55.742853,37.585763",161.7,155660388,962649
Москва;район Мещанский;ул. Советской Армии;д.6,район Мещанский,ул. Советской Армии,д.6,"55.786703,37.617474",154.5,157551000,1019747
Москва;район Арбат;ул. Новый Арбат;д.27,район Арбат,ул. Новый Арбат,д.27,"55.751974,37.578855",173.0,163537938,945306
Москва;район Хамовники;2-я Фрунзенская ул.;д.8,район Хамовники,2-я Фрунзенская ул.,д.8,"55.723699,37.583697",160.1,175000000,1093066
Москва;район Арбат;Большой Афанасьевский пер.;д.28,район Арбат,Большой Афанасьевский пер.,д.28,"55.749603,37.597872",183.7,182759160,994878
Москва;район Хамовники;2-я Фрунзенская ул.;д.8,район Хамовники,2-я Фрунзенская ул.,д.8,"55.723699,37.583697",173.2,185557265,1071346
Москва;район Тверской;1-й Колобовский пер.;д.14,район Тверской,1-й Колобовский пер.,д.14,"55.768593,37.617860",220.0,190000000,863636
Москва;район Хамовники;2-я Фрунзенская ул.;д.8,район Хамовники,2-я Фрунзенская ул.,д.8,"55.723699,37.583697",169.9,200000000,1177163
Москва;район Арбат;Большой Афанасьевский пер.;д.28,район Арбат,Большой Афанасьевский пер.,д.28,"55.749603,37.597872",170.0,207967320,1223337
Москва;район Дорогомилово;Резервный проезд;д.4,район Дорогомилово,Резервный проезд,д.4,"55.740771,37.550944",224.0,212324085,947875
Москва;район Пресненский;Богословский пер.;д.12А,район Пресненский,Богословский пер.,д.12А,"55.763493,37.599319",147.0,237586908,1616237
Москва;район Хамовники;пер. Хилков;д.1,район Хамовники,пер. Хилков,д.1,"55.736458,37.599678",245.9,312581184,1271171
Москва;район Хамовники;Нащокинский пер.;д.7,район Хамовники,Нащокинский пер.,д.7,"55.747201,37.597756",300.0,409632600,1365442
Москва;район Хамовники;Нащокинский пер.;д.7,район Хамовники,Нащокинский пер.,д.7,"55.747201,37.597756",300.0,409632600,1365442
Москва;район Хамовники;Барыковский пер.;д.6,район Хамовники,Барыковский пер.,д.6,"55.741784,37.596633",477.0,504163200,1056945
Москва;район Косино-Ухтомский;Оранжерейная ул.;д.14,район Косино-Ухтомский,Оранжерейная ул.,д.14,"55.718157,37.864061",62.5,8600000,137600
Москва;район Новокосино;Суздальская ул.;д.34К2,район Новокосино,Суздальская ул.,д.34К2,"55.744556,37.868014",84.7,12300000,145218
Москва;район Южное Бутово;Изюмская ул.;д.28К2,район Южное Бутово,Изюмская ул.,д.28К2,"55.549501,37.564904",90.4,12850000,142146
Москва;район Отрадное;Каргопольская ул.;д.12,район Отрадное,Каргопольская ул.,д.12,"55.863020,37.593758",75.9,13000000,171277
Москва;район Северное Медведково;Широкая ул.;д.30,район Северное Медведково,Широкая ул.,д.30,"55.885963,37.678460",80.5,13903000,172708
Москва;район Чертаново Южное;Кировоградский проезд;д.3К2,район Чертаново Южное,Кировоградский проезд,д.3К2,"55.604503,37.593974",99.3,15700000,158106
Москва;район Митино;ул. Барышиха;д.13,район Митино,ул. Барышиха,д.13,"55.842641,37.351878",110.0,19500000,177272
Москва;район Дорогомилово;Студенческая ул.;д.31,район Дорогомилово,Студенческая ул.,д.31,"55.740218,37.543821",113.2,23500000,207597
Москва;район Можайский;ул. Багрицкого;д.10к4,район Можайский,ул. Багрицкого,д.10к4,"55.723470,37.433184",126.4,23747000,187871
Москва;район Хорошевский;ул. Гризодубовой;д.1К3,район Хорошевский,ул. Гризодубовой,д.1К3,"55.781732,37.532601",95.3,24500000,257082
