address,district,street,house_number,coords,area,full_price,weighted_price
Москва;район Крылатское;Рублевское ш.;д.70к2,район Крылатское,Рублевское ш.,д.70к2,"55.769550,37.376590",68.6,12342512,179920
Москва;район Раменки;ул. Лобачевского;д.118к5,район Раменки,ул. Лобачевского,д.118к5,"55.693206,37.470383",66.5,14015000,210751
Москва;район Хорошево-Мневники;ул. Демьяна Бедного;д.15,район Хорошево-Мневники,ул. Демьяна Бедного,д.15,"55.776912,37.487389",57.6,14175000,246093
Москва;район Даниловский;ул. Архитектора Щусева;д.1,район Даниловский,ул. Архитектора Щусева,д.1,"55.699954,37.637120",62.0,14200000,229032
Москва;район Раменки;ул. Лобачевского;д.118к4,район Раменки,ул. Лобачевского,д.118к4,"55.693292,37.471524",66.0,14400000,218181
Москва;район Раменки;ул. Лобачевского;д.118к2,район Раменки,ул. Лобачевского,д.118к2,"55.694388,37.470554",73.8,14632880,198277
Москва;район Крылатское;Рублевское ш.;д.70к6,район Крылатское,Рублевское ш.,д.70к6,"55.770775,37.376626",82.7,14879384,179920
Москва;район Нагатино-Садовники;1-й Нагатинский проезд;д.11к3,район Нагатино-Садовники,1-й Нагатинский проезд,д.11к3,"55.676585,37.634092",82.2,14800000,180048
Москва;район Нагатино-Садовники;1-й Нагатинский проезд;д.11к3,район Нагатино-Садовники,1-й Нагатинский проезд,д.11к3,"55.676585,37.634092",102.0,14800000,145098
Москва;район Ростокино;просп. Мира;д.188Бк3,район Ростокино,просп. Мира,д.188Бк3,"55.835483,37.658338",108.9,17000000,156106
Москва;район Южное Бутово;ул. Поляны;д.5,район Южное Бутово,ул. Поляны,д.5,"55.557592,37.554690",148.6,17386000,116998
Москва;район Пресненский;Ходынская ул.;д.2,район Пресненский,Ходынская ул.,д.2,"55.770806,37.564212",66.7,19000000,284857
Москва;район Тропарево-Никулино;просп. Вернадского;д.94к5,район Тропарево-Никулино,просп. Вернадского,д.94к5,"55.652197,37.473042",49.5,22500000,454545
Москва;район Раменки;Мичуринский просп.;д.11К4,район Раменки,Мичуринский просп.,д.11К4,"55.699051,37.509837",68.0,24700000,363235
Москва;район Раменки;Мичуринский просп.;д.11К4,район Раменки,Мичуринский просп.,д.11К4,"55.699051,37.509837",68.0,24700000,363235
Москва;район Тропарево-Никулино;просп. Вернадского;д.94к4,район Тропарево-Никулино,просп. Вернадского,д.94к4,"55.652999,37.471740",66.0,25000000,378787
Москва;район Раменки;Мосфильмовская ул.;д.88к2с4,район Раменки,Мосфильмовская ул.,д.88к2с4,"55.704093,37.493156",75.5,26500000,350993
Москва;район Таганский;Таганская ул.;д.26С1,район Таганский,Таганская ул.,д.26С1,"55.739666,37.663458",67.1,27200000,405667
Москва;район Даниловский;ул. Серпуховский Вал;д.21к3,район Даниловский,ул. Серпуховский Вал,д.21к3,"55.710038,37.608940",81.0,27750000,342592
Москва;район Дорогомилово;Кутузовский просп.;д.4/2,район Дорогомилово,Кутузовский просп.,д.4/2,"55.750727,37.562272",64.0,28800000,450000
Москва;район Дорогомилово;Кутузовский просп.;д.4/2,район Дорогомилово,Кутузовский просп.,д.4/2,"55.750727,37.562272",64.0,28800000,450000
Москва;район Пресненский;ул. Сергея Макеева;д.9к4,район Пресненский,ул. Сергея Макеева,д.9к4,"55.761771,37.549184",71.4,29100000,407563
Москва;район Останкинский;ул. Академика Королева;д.10,район Останкинский,ул. Академика Королева,д.10,"55.822822,37.620106",84.0,31000000,369047
Москва;район Пресненский;ул. Сергея Макеева;д.9,район Пресненский,ул. Сергея Макеева,д.9,"55.761558,37.549067",77.7,36050000,463963
Москва;район Очаково-Матвеевское;Нежинская ул.;д.1к3,район Очаково-Матвеевское,Нежинская ул.,д.1к3,"55.718831,37.477624",80.5,37000000,459627
