address,district,street,house_number,coords,area,full_price,weighted_price
Москва;район Даниловский;ул. Серпуховский Вал;д.21к4,район Даниловский,ул. Серпуховский Вал,д.21к4,"55.710692,37.607448",131.0,41800000,319083
Москва;район Щукино;ул. Расплетина;д.21,район Щукино,ул. Расплетина,д.21,"55.798257,37.481990",120.0,44500000,370833
Москва;район Щукино;Авиационная ул.;д.79А,район Щукино,Авиационная ул.,д.79А,"55.809085,37.448482",125.0,45000000,360000
Москва;район Щукино;Авиационная ул.;д.79А,район Щукино,Авиационная ул.,д.79А,"55.809085,37.448482",156.0,49900000,319871
Москва;район Раменки;Мичуринский просп.;д.5,район Раменки,Мичуринский просп.,д.5,"55.702906,37.511508",130.0,52000000,400000
Москва;район Аэропорт;Кочновский проезд;д.4к2,район Аэропорт,Кочновский проезд,д.4к2,"55.806530,37.545995",149.0,59500000,399328
Москва;район Покровское-Стрешнево;Береговая ул.;д.4К3,район Покровское-Стрешнево,Береговая ул.,д.4К3,"55.828941,37.468784",160.0,62000000,387500
Москва;район Покровское-Стрешнево;Береговая ул.;д.4К3,район Покровское-Стрешнево,Береговая ул.,д.4К3,"55.828941,37.468784",160.0,62000000,387500
Москва;район Таганский;ул. Большие Каменщики;д.2,район Таганский,ул. Большие Каменщики,д.2,"55.738764,37.652777",160.0,74000000,462500
Москва;район Останкинский;ул. Академика Королева;д.10,район Останкинский,ул. Академика Королева,д.10,"55.822822,37.620106",140.0,83000000,592857
Москва;район Хамовники;Трубецкая ул.;д.12,район Хамовники,Трубецкая ул.,д.12,"55.727004,37.574552",92.0,95000000,1032608
Москва;район Замоскворечье;Озерковская наб.;д.52А,район Замоскворечье,Озерковская наб.,д.52А,"55.733863,37.640372",127.0,97000000,763779
Москва;Сосенское поселение;район Сосенское;ул. Василия Ощепкова;д.6,район Сосенское,ул. Василия Ощепкова,д.6,"55.555000,37.467221",54.0,9000000,166666
Москва;район Некрасовка;Покровская ул.;д.12,район Некрасовка,Покровская ул.,д.12,"55.699030,37.938711",88.2,10009240,113483
Москва;район Отрадное;Нововладыкинский проезд;д.1к2,район Отрадное,Нововладыкинский проезд,д.1к2,"55.850368,37.578181",58.5,11255000,192393
Москва;район Северное Медведково;Широкая ул.;д.30,район Северное Медведково,Широкая ул.,д.30,"55.885963,37.678460",67.7,11360000,167799
Москва;район Южное Бутово;ул. Поляны;д.5,район Южное Бутово,ул. Поляны,д.5,"55.557592,37.554690",85.4,13029000,152564
Москва;район Донской;Духовской пер.;д.17С15,район Донской,Духовской пер.,д.17С15,"55.703880,37.615991",68.0,13500000,198529
Москва;район Рязанский;ул. Федора Полетаева;д.15А,район Рязанский,ул. Федора Полетаева,д.15А,"55.709779,37.783770",75.6,13800000,182636
Москва;район Отрадное;Нововладыкинский проезд;д.1к2,район Отрадное,Нововладыкинский проезд,д.1к2,"55.850368,37.578181",80.8,14580000,180445
Москва;пос. Коммунарка;район Сосенское;ул. Липовый Парк;д.4к3,район Сосенское,ул. Липовый Парк,д.4к3,"55.571093,37.491718",106.0,15000000,141509
Москва;район Соколиная гора;просп. Буденного;д.51к5,район Соколиная гора,просп. Буденного,д.51к5,"55.759279,37.738899",92.8,17603000,189687
Москва;район Ростокино;просп. Мира;д.188Бк4,район Ростокино,просп. Мира,д.188Бк4,"55.834568,37.659622",108.8,17850000,164062
Москва;район Нагатино-Садовники;1-й Нагатинский проезд;д.11к1,район Нагатино-Садовники,1-й Нагатинский проезд,д.11к1,"55.678707,37.634631",113.8,17800000,156414
Москва;район Нагатино-Садовники;1-й Нагатинский проезд;д.11к1,район Нагатино-Садовники,1-й Нагатинский проезд,д.11к1,"55.678707,37.634631",110.4,17800000,161231
