address,district,street,house_number,coords,area,full_price,weighted_price
Москва;район Раменки;Мосфильмовская ул.;д.8,район Раменки,Мосфильмовская ул.,д.8,"55.723237,37.527903",99.0,66000000,666666
Москва;район Пресненский;наб. Пресненская;д.8с1,район Пресненский,наб. Пресненская,д.8с1,"55.747115,37.539078",106.0,66801624,630204
Москва;район Хамовники;пер. Хилков;д.1,район Хамовники,пер. Хилков,д.1,"55.736458,37.599678",71.7,67098387,935821
Москва;район Хамовники;3-я Фрунзенская ул.;д.19,район Хамовники,3-я Фрунзенская ул.,д.19,"55.723313,37.571965",95.9,67900000,708029
Москва;район Тверской;4-я Тверская-Ямская ул.;д.22,район Тверской,4-я Тверская-Ямская ул.,д.22,"55.774092,37.594683",159.0,69322440,435990
Москва;район Арбат;Большой Афанасьевский пер.;д.32/9,район Арбат,Большой Афанасьевский пер.,д.32/9,"55.750403,37.597477",97.0,70000000,721649
Москва;район Тверской;1-й Тверской-Ямской пер.;д.11,район Тверской,1-й Тверской-Ямской пер.,д.11,"55.773155,37.597208",154.0,75000000,487012
Москва;район Пресненский;наб. Пресненская;д.8с1,район Пресненский,наб. Пресненская,д.8с1,"55.747115,37.539078",110.0,75624480,687495
Москва;район Пресненский;наб. Пресненская;д.8с1,район Пресненский,наб. Пресненская,д.8с1,"55.747115,37.539078",104.0,75624480,727158
Москва;район Хамовники;3-я Фрунзенская ул.;д.19,район Хамовники,3-я Фрунзенская ул.,д.19,"55.723313,37.571965",83.0,78775500,949102
Москва;район Арбат;Филипповский пер.;д.8С1,район Арбат,Филипповский пер.,д.8С1,"55.748579,37.598555",114.0,82000000,719298
Москва;район Крылатское;Островной проезд;д.1,район Крылатское,Островной проезд,д.1,"55.757805,37.447548",192.0,85000000,442708
Москва;район Хамовники;ул. Усачева;д.2С3,район Хамовники,ул. Усачева,д.2С3,"55.730426,37.574067",105.4,88228560,837083
Москва;район Тверской;Никольская ул.;д.10/2С2б,район Тверской,Никольская ул.,д.10/2С2б,"55.758453,37.625055",73.0,88228560,1208610
Москва;район Арбат;1-й Смоленский пер.;д.21,район Арбат,1-й Смоленский пер.,д.21,"55.749334,37.579178",93.0,93000000,1000000
Москва;район Арбат;1-й Смоленский пер.;д.21,район Арбат,1-й Смоленский пер.,д.21,"55.749334,37.579178",93.0,93000000,1000000
Москва;район Хамовники;ул. Ефремова;д.10к1,район Хамовники,ул. Ефремова,д.10к1,"55.725331,37.573717",97.8,115000000,1175869
Москва;район Хамовники;Пречистенская наб.;д.5,район Хамовники,Пречистенская наб.,д.5,"55.736579,37.600846",130.0,119000000,915384
Москва;район Якиманка;ул. Большая Якиманка;д.22К3,район Якиманка,ул. Большая Якиманка,д.22К3,"55.738252,37.613440",129.0,119738760,928207
Москва;район Хамовники;пер. Хилков;д.1,район Хамовники,пер. Хилков,д.1,"55.736458,37.599678",110.0,138644880,1260408
Москва;пос. Рогово;район Роговское,unknown,unknown,unknown,"55.214446,37.072068",56.5,3110000,55044
Москва;район Алексеевский;Ярославская ул.;д.10к5,район Алексеевский,Ярославская ул.,д.10к5,"55.819049,37.648798",23.9,3824000,160000
Москва;район Отрадное;Алтуфьевское ш.;д.2,район Отрадное,Алтуфьевское ш.,д.2,"55.849221,37.586607",38.4,3840000,100000
Москва;Филимонковское поселение;д. Староселье;район Филимонковское,Филимонковское поселение,д. Староселье,район Филимонковское,"55.556927,37.310575",41.7,3990000,95683
Москва;Десеновское поселение;район Десёновское;Кленовые Аллеи ЖК;д.к8,район Десёновское,Кленовые Аллеи ЖК,д.к8,"55.511022,37.350351",37.9,4150000,109498
