address,district,street,house_number,coords,area,full_price,weighted_price
Москва;район Дорогомилово;Большая Дорогомиловская ул.;д.11,район Дорогомилово,Большая Дорогомиловская ул.,д.11,"55.745894,37.553388",56.2,13550000,241103
Москва;район Гагаринский;Ленинский просп.;д.60/2,район Гагаринский,Ленинский просп.,д.60/2,"55.695829,37.557682",52.0,13700000,263461
Москва;район Головинский;Кронштадтский бул.;д.6к2,район Головинский,Кронштадтский бул.,д.6к2,"55.841261,37.494422",65.8,13700000,208206
Москва;район Теплый Стан;ул. Теплый Стан;д.5к4,район Теплый Стан,ул. Теплый Стан,д.5к4,"55.619147,37.497872",64.9,14000000,215716
Москва;район Мещанский;Мещанская ул.;д.10,район Мещанский,Мещанская ул.,д.10,"55.776021,37.627885",51.6,14160000,274418
Москва;район Митино;Пятницкое ш.;д.15к1,район Митино,Пятницкое ш.,д.15к1,"55.842337,37.381199",80.0,14100000,176250
Москва;район Хорошево-Мневники;ул. Демьяна Бедного;д.17К1,район Хорошево-Мневники,ул. Демьяна Бедного,д.17К1,"55.778198,37.487011",57.6,14174028,246076
Москва;район Южное Бутово;Старокрымская ул.;д.15к2,район Южное Бутово,Старокрымская ул.,д.15к2,"55.557286,37.559083",70.3,14520667,206552
Москва;район Проспект Вернадского;ул. Лобачевского;д.92К1,район Проспект Вернадского,ул. Лобачевского,д.92К1,"55.679549,37.483876",58.6,14500000,247440
Москва;район Даниловский;ул. Архитектора Щусева;д.1,район Даниловский,ул. Архитектора Щусева,д.1,"55.699954,37.637120",74.3,14572120,196125
Москва;район Нагатино-Садовники;1-й Нагатинский проезд;д.11к1,район Нагатино-Садовники,1-й Нагатинский проезд,д.11к1,"55.678707,37.634631",103.0,15000000,145631
Москва;район Беговой;Ленинградский просп.;д.вл31,район Беговой,Ленинградский просп.,д.вл31,"55.784977,37.561940",67.0,15000000,223880
Москва;район Беговой;Ленинградский просп.;д.вл31,район Беговой,Ленинградский просп.,д.вл31,"55.784977,37.561940",60.0,15000000,250000
Москва;район Раменки;ул. Лобачевского;д.118к2,район Раменки,ул. Лобачевского,д.118к2,"55.694388,37.470554",74.3,15384492,207059
Москва;район Хорошево-Мневники;Карамышевская наб.;д.4к1,район Хорошево-Мневники,Карамышевская наб.,д.4к1,"55.769965,37.484244",64.0,15400000,240625
Москва;район Можайский;ул. Багрицкого;д.10к4,район Можайский,ул. Багрицкого,д.10к4,"55.723470,37.433184",75.1,15377000,204753
Москва;район Раменки;Мосфильмовская ул.;д.74Б,район Раменки,Мосфильмовская ул.,д.74Б,"55.711108,37.504708",73.4,15500000,211171
Москва;район Хорошево-Мневники;ул. Демьяна Бедного;д.17К1,район Хорошево-Мневники,ул. Демьяна Бедного,д.17К1,"55.778198,37.487011",64.0,15877340,248083
Москва;район Раменки;ул. Лобачевского;д.118к2,район Раменки,ул. Лобачевского,д.118к2,"55.694388,37.470554",61.0,15990000,262131
Москва;район Басманный;Хомутовский туп.;д.4к2,район Басманный,Хомутовский туп.,д.4к2,"55.766314,37.655886",56.1,16000000,285204
Москва;район Беговой;ул. 3-я Ямского Поля;д.17,район Беговой,ул. 3-я Ямского Поля,д.17,"55.782922,37.578271",55.0,16000000,290909
Москва;район Раменки;ул. Лобачевского;д.118к2,район Раменки,ул. Лобачевского,д.118к2,"55.694388,37.470554",58.0,15990000,275689
Москва;район Очаково-Матвеевское;Озерная ул.;д.9,район Очаково-Матвеевское,Озерная ул.,д.9,"55.682351,37.461337",64.0,16900000,264062
Москва;район Басманный;Нижняя Красносельская ул.;д.35С49,район Басманный,Нижняя Красносельская ул.,д.35С49,"55.775545,37.672118",51.8,17111885,330345
Москва;район Кунцево;Рублевское ш.;д.101,район Кунцево,Рублевское ш.,д.101,"55.743512,37.422099",57.0,17300000,303508
