address,district,street,house_number,coords,area,full_price,weighted_price,lat,lon,is_correct,distr
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Сулимова,район Кировский,ул. Сулимова, 5,"56.860303,60.650125",47.3,3372490,71300,56.860303,60.650125,1,unknown
Свердловская область;Екатеринбург;район Чкаловский;Вторчермет мкр;ул. Аптекарская;д.48,Вторчермет мкр,ул. Аптекарская,д.48,"56.766336,60.608093",57.4,3350000,58362,56.766336,60.608093,1,unknown
Свердловская область;Екатеринбург;район Орджоникидзевский;Симбирский пер.,Екатеринбург,Кировградская ул., 60,"56.896561,60.582612",43.0,3407920,79327,56.896561,60.582612,1,Улица
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Данилы Зверева;д.5А,Пионерский мкр,ул. Данилы Зверева,д.5А,"56.858341,60.650915",37.0,3400000,91891,56.858341,60.65091500000001,1,Пионерский
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Данилы Зверева,район Кировский,ул. Данилы Зверева, 17А,"56.863410,60.652391",43.3,3402000,78568,56.86341,60.652391,1,unknown
Свердловская область;Екатеринбург;район Ленинский;Академический мкр;просп. Академика Сахарова;д.39,Академический мкр,просп. Академика Сахарова,д.39,"56.779318,60.525573",36.5,3411000,93452,56.779318,60.525573,1,УНЦ
Свердловская область;Екатеринбург;район Чкаловский;ул. Крестинского,Екатеринбург,ул. Крестинского, 35,"56.789841,60.617988",47.2,3448520,73000,56.789841,60.617988,1,Ботанический
Свердловская область;Екатеринбург;район Чкаловский;Светлый мкр;д.4,район Чкаловский,Светлый мкр,д.4,"56.777928,60.704015",50.0,3400000,68000,56.777928,60.70401500000001,1,unknown
Свердловская область;Екатеринбург;район Кировский;Комсомольская ул.;д.67,район Кировский,Комсомольская ул.,д.67,"56.837022,60.661857",40.6,3474000,85566,56.837022,60.661857,1,unknown
Свердловская область;Екатеринбург;район Ленинский;Юго-Западный мкр;ул. Шаумяна;д.87,Юго-Западный мкр,ул. Шаумяна,д.87,"56.812966,60.571953",47.1,3950000,83881,56.812966,60.571953,1,Юго-Западный
Свердловская область;Екатеринбург;район Ленинский;Европейский мкр;ул. Кольцевая;д.20,Европейский мкр,ул. Кольцевая,д.20,"56.785231,60.532167",40.3,3950000,98014,56.785231,60.532167,1,УНЦ
Свердловская область;Екатеринбург;район Ленинский;ул. Шейнкмана;д.110,район Ленинский,ул. Шейнкмана,д.110,"56.821897,60.588141",41.0,3950000,96341,56.821897,60.588141,1,Центр
Свердловская область;Екатеринбург;район Ленинский;ул. Чкалова,Екатеринбург,ул. Чкалова, 18,"56.810832,60.577397",50.8,4110000,80905,56.810832,60.577397,1,Верхнемакарово с.
Свердловская область;Екатеринбург;район Ленинский;ул. Большакова,Екатеринбург,ул. Большакова, 147А,"56.815957,60.593574",43.0,4347040,101000,56.815957,60.593574,1,Автовокзал
Свердловская область;Екатеринбург;район Чкаловский;ул. Щорса;д.103,район Чкаловский,ул. Щорса,д.103,"56.807432,60.604625",38.3,4300000,112271,56.80743199999999,60.604625,1,Автовокзал
Свердловская область;Екатеринбург;район Ленинский;ул. Ткачей,Екатеринбург,Машинная ул., 14,"56.816274,60.629100",51.0,4420000,86717,56.816274,60.6291,1,Автовокзал
Свердловская область;Екатеринбург;район Ленинский;Юго-Западный мкр;ул. Волгоградская,район Ленинский,ул. Волгоградская, 15,"56.800320,60.591347",45.0,4400000,97690,56.80031999999999,60.591347,1,Екатеринбург
Свердловская область;Екатеринбург;район Кировский;просп. Ленина;д.99А,район Кировский,просп. Ленина,д.99А,"56.843865,60.642435",44.2,5143500,116474,56.843865,60.642435,1,Горный Щит с.
Свердловская область;Екатеринбург;район Ленинский;ул. Гоголя;д.57,район Ленинский,ул. Гоголя,д.57,"56.829510,60.611844",54.2,5129052,94631,56.82951,60.611844,1,unknown
Свердловская область;Екатеринбург;район Ленинский;ул. Гоголя;д.57,район Ленинский,ул. Гоголя,д.57,"56.829369,60.611865",55.0,5700000,103636,56.82936899999999,60.611865,1,unknown
Свердловская область;Екатеринбург;район Ленинский;ул. Хохрякова,Екатеринбург,ул. Хохрякова, 63,"56.828675,60.594653",49.4,6350000,128542,56.828675,60.594653,1,unknown
Свердловская область;Екатеринбург;район Железнодорожный;ул. Героев России;д.35,район Железнодорожный,ул. Героев России,д.35,"56.854808,60.579113",43.0,3500000,81395,56.854808,60.579113,1,Заречный
Свердловская область;Екатеринбург;район Чкаловский;Самолетная ул.;д.33,район Чкаловский,Самолетная ул.,д.33,"56.783954,60.634449",49.3,3890000,78904,56.783954,60.634449,1,Уктус
Свердловская область;Екатеринбург;район Орджоникидзевский;ул. Индустрии;д.66,район Орджоникидзевский,ул. Индустрии,д.66,"56.903936,60.606413",33.0,2500000,75757,56.903936,60.606413,1,Уралмаш
Свердловская область;Екатеринбург;район Орджоникидзевский;Эльмаш мкр;ул. Ульяновская;д.11,Эльмаш мкр,ул. Ульяновская,д.11,"56.901562,60.629329",36.9,2650000,71815,56.901562,60.62932900000001,1,Эльмаш
Свердловская область;Екатеринбург;район Ленинский;ул. Анатолия Мехренцева;д.38,район Ленинский,ул. Анатолия Мехренцева,д.38,"56.787277,60.527181",40.0,2890000,72250,56.787277,60.52718100000001,1,Академический
Свердловская область;Екатеринбург;район Кировский;Комсомольская ул.;д.78,район Кировский,Комсомольская ул.,д.78,"56.833964,60.661461",36.5,3500000,95890,56.833964,60.661461,1,Втузгородок
Свердловская область;Екатеринбург;район Чкаловский;ул. Академика Шварца;д.10к1,район Чкаловский,ул. Академика Шварца,д.10к1,"56.795540,60.619591",51.4,4899999,95330,56.79554,60.619591,1,Ботанический
Свердловская область;Екатеринбург;район Орджоникидзевский;Эльмаш мкр;ул. Таганская;д.6,Эльмаш мкр,ул. Таганская,д.6,"56.896607,60.642148",23.0,1650000,71739,56.896607,60.642148,1,Эльмаш
Свердловская область;Екатеринбург;район Октябрьский;Латвийская ул.;д.56,район Октябрьский,Латвийская ул.,д.56,"56.798906,60.764929",35.0,1880000,53714,56.798906,60.764929,1,Компрессорный
Свердловская область;Екатеринбург;район Чкаловский;ул. Патриотов;д.6к1,район Чкаловский,ул. Патриотов,д.6к1,"56.782494,60.674981",33.0,2490000,75454,56.78249399999999,60.674981,1,Уктус
Свердловская область;Екатеринбург;пос. Мичуринский;район Верх-Исетский;ул. Карасьевская;д.26,район Верх-Исетский,ул. Карасьевская,д.26,"56.788061,60.467776",37.0,2750000,74324,56.788061,60.467776,1,Мичуринский пос.
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Вилонова;д.14А,Пионерский мкр,ул. Вилонова,д.14А,"56.865766,60.642381",34.0,3000000,88235,56.865766,60.64238100000001,1,Пионерский
Свердловская область;Екатеринбург;пос. Совхозный;район Ленинский;Разливная ул.;д.50/2,район Ленинский,Разливная ул.,д.50/2,"56.765567,60.544860",43.0,3250000,75581,56.765567,60.54486,1,УНЦ
Свердловская область;Екатеринбург;район Железнодорожный;Новая Сортировка мкр;ул. Пехотинцев;д.17,Новая Сортировка мкр,ул. Пехотинцев,д.17,"56.866932,60.561174",64.0,3300000,51562,56.86693199999999,60.561174,1,Новая Сортировка
Свердловская область;Екатеринбург;район Железнодорожный;Старая Сортировка мкр;ул. Кунарская;д.22,Старая Сортировка мкр,ул. Кунарская,д.22,"56.882319,60.506206",59.0,3300000,55932,56.882319,60.50620600000001,1,Старая Сортировка
Свердловская область;Екатеринбург;район Чкаловский;Вторчермет мкр;ул. Зенитчиков;д.14,Вторчермет мкр,ул. Зенитчиков,д.14,"56.775452,60.598004",58.6,3335000,56911,56.775452,60.598004,1,Вторчермет
Свердловская область;Екатеринбург;район Орджоникидзевский;ул. 40-летия Октября;д.9,район Орджоникидзевский,ул. 40-летия Октября,д.9,"56.888175,60.578215",56.7,3300000,58201,56.888175,60.578215,1,Уралмаш
Свердловская область;Екатеринбург;район Верх-Исетский;Посадская ул.;д.69,район Верх-Исетский,Посадская ул.,д.69,"56.820114,60.582580",59.0,3300000,55932,56.820114,60.58258000000001,1,Юго-Западный
Свердловская область;Екатеринбург;район Октябрьский;Трактовая ул.;д.9к2,район Октябрьский,Трактовая ул.,д.9к2,"56.780024,60.799020",78.0,3349000,42935,56.780024,60.79902,1,Малый Исток пос.
Свердловская область;Екатеринбург;район Железнодорожный;Билимбаевская ул.;д.31к1,район Железнодорожный,Билимбаевская ул.,д.31к1,"56.882909,60.510140",61.3,3300000,53833,56.882909,60.51014,1,Старая Сортировка
Свердловская область;Екатеринбург;район Чкаловский;Химмаш мкр;ул. Торговая;д.14,Химмаш мкр,ул. Торговая,д.14,"56.760150,60.710761",84.0,3300000,39285,56.76015,60.710761,1,Химмаш
Свердловская область;Екатеринбург;район Октябрьский;Синие Камни мкр;ул. Анны Бычковой;д.22,Синие Камни мкр,ул. Анны Бычковой,д.22,"56.826872,60.679320",76.9,3349000,43550,56.826872,60.67932,1,Синие Камни
Свердловская область;Екатеринбург;район Орджоникидзевский;Эльмаш мкр;ул. Краснофлотцев;д.51,Эльмаш мкр,ул. Краснофлотцев,д.51,"56.893913,60.640953",54.2,3300000,60885,56.893913,60.640953,1,Эльмаш
Свердловская область;Екатеринбург;район Ленинский;Юго-Западный мкр;ул. Академика Бардина;д.32к2,Юго-Западный мкр,ул. Академика Бардина,д.32к2,"56.802381,60.570750",58.0,3300000,56896,56.802381,60.57075,1,Юго-Западный
Свердловская область;Екатеринбург;район Октябрьский;ул. Куйбышева;д.112В,район Октябрьский,ул. Куйбышева,д.112В,"56.825006,60.656090",54.0,3300000,61111,56.82500600000001,60.65609,1,Шарташский рынок
Свердловская область;Екатеринбург;район Кировский;Комсомольская ул.;д.6Г,район Кировский,Комсомольская ул.,д.6Г,"56.853681,60.652020",56.0,3399000,60696,56.85368100000001,60.65201999999999,1,Втузгородок
Свердловская область;Екатеринбург;район Верх-Исетский;Московская ул.;д.76,район Верх-Исетский,Московская ул.,д.76,"56.820740,60.586704",55.7,3350000,60143,56.82074,60.58670400000001,1,Юго-Западный
Свердловская область;Екатеринбург;район Чкаловский;Химмаш мкр;ул. Химмашевская;д.11,Химмаш мкр,ул. Химмашевская,д.11,"56.768290,60.706350",64.0,3350000,52343,56.76829,60.70635,1,Химмаш
Свердловская область;Екатеринбург;район Орджоникидзевский;Эльмаш мкр;пер. Замятина;д.28,Эльмаш мкр,пер. Замятина,д.28,"56.899110,60.645238",63.0,3390000,53809,56.89911,60.645238,1,Эльмаш
Свердловская область;Екатеринбург;район Железнодорожный;Ангарская ул.;д.48,район Железнодорожный,Ангарская ул.,д.48,"56.887261,60.510598",53.8,3350000,62267,56.887261,60.510598,1,Старая Сортировка
Свердловская область;Екатеринбург;район Орджоникидзевский;Донбасская ул.;д.16,район Орджоникидзевский,Донбасская ул.,д.16,"56.888972,60.568728",55.7,3360000,60323,56.888972,60.568728,1,Уралмаш
Свердловская область;Екатеринбург;район Железнодорожный;Конотопская ул.;д.5,район Железнодорожный,Конотопская ул.,д.5,"56.866298,60.575951",67.4,3350000,49703,56.866298,60.575951,1,Завокзальный
Свердловская область;Екатеринбург;район Чкаловский;Самолетная ул.;д.29,район Чкаловский,Самолетная ул.,д.29,"56.785882,60.636425",58.0,3350000,57758,56.785882,60.636425,1,Уктус
Свердловская область;Екатеринбург;район Железнодорожный;ул. Колмогорова;д.56,район Железнодорожный,ул. Колмогорова,д.56,"56.849694,60.571513",53.0,3390000,63962,56.84969399999999,60.571513,1,Заречный
Свердловская область;Екатеринбург;район Железнодорожный;Старая Сортировка мкр;ул. Расточная;д.15к8,Старая Сортировка мкр,ул. Расточная,д.15к8,"56.877533,60.509386",64.0,3390000,52968,56.87753299999999,60.509386,1,Старая Сортировка
Свердловская область;Екатеринбург;район Кировский;ул. Маяковского;д.4,район Кировский,ул. Маяковского,д.4,"56.862140,60.618270",56.0,3350000,59821,56.86214,60.61827,1,Пионерский
Свердловская область;Екатеринбург;район Орджоникидзевский;Эльмаш мкр;ул. Лобкова;д.40,Эльмаш мкр,ул. Лобкова,д.40,"56.897777,60.634728",62.0,3395000,54758,56.89777700000001,60.634728,1,Эльмаш
Свердловская область;Екатеринбург;район Верх-Исетский;Юго-Западный мкр;ул. Белореченская;д.15к2,Юго-Западный мкр,ул. Белореченская,д.15к2,"56.818158,60.566860",58.0,3370000,58103,56.818158,60.56686,1,Юго-Западный
Свердловская область;Екатеринбург;район Орджоникидзевский;Эльмаш мкр;ул. Таганская;д.6А,Эльмаш мкр,ул. Таганская,д.6А,"56.896902,60.642821",18.2,1300000,71428,56.896902,60.642821,1,Эльмаш
Свердловская область;Екатеринбург;район Кировский;Первомайская ул.;д.103,район Кировский,Первомайская ул.,д.103,"56.847710,60.661057",26.0,1300000,50000,56.84771,60.66105699999999,1,Втузгородок
Свердловская область;Екатеринбург;район Кировский;ЖБИ мкр;ул. Сыромолотова;д.7,ЖБИ мкр,ул. Сыромолотова,д.7,"56.840621,60.680605",17.0,1300000,76470,56.840621,60.68060500000001,1,ЖБИ
Свердловская область;Екатеринбург;район Орджоникидзевский;Суворовский пер.;д.3,район Орджоникидзевский,Суворовский пер.,д.3,"56.885825,60.574487",18.6,1380000,74193,56.885825,60.574487,1,Уралмаш
Свердловская область;Екатеринбург;район Орджоникидзевский;Эльмаш мкр;ул. Краснофлотцев;д.21,Эльмаш мкр,ул. Краснофлотцев,д.21,"56.890442,60.632509",20.0,1380000,69000,56.89044200000001,60.632509,1,Эльмаш
Свердловская область;Екатеринбург;район Чкаловский;Самолетная ул.;д.45,район Чкаловский,Самолетная ул.,д.45,"56.781833,60.631925",23.0,1380000,60000,56.781833,60.631925,1,Уктус
Свердловская область;Екатеринбург;пос. Шабровский;район Чкаловский;Парковая ул.;д.1,район Чкаловский,Парковая ул.,д.1,"56.634843,60.586802",31.2,1370000,43910,56.634843,60.586802,1,Шабровский пос.
Свердловская область;Екатеринбург;район Железнодорожный;ул. Летчиков;д.36,район Железнодорожный,ул. Летчиков,д.36,"56.864836,60.572681",30.0,1350000,45000,56.864836,60.572681,1,Завокзальный
Свердловская область;Екатеринбург;район Октябрьский;Трактовая ул.;д.7,район Октябрьский,Трактовая ул.,д.7,"56.778786,60.798257",31.0,1350000,43548,56.778786,60.79825699999999,1,Малый Исток пос.
Свердловская область;Екатеринбург;район Орджоникидзевский;Суворовский пер.;д.1,район Орджоникидзевский,Суворовский пер.,д.1,"56.885796,60.576041",18.8,1365000,72606,56.885796,60.576041,1,Уралмаш
Свердловская область;Екатеринбург;район Орджоникидзевский;Суворовский пер.;д.1,район Орджоникидзевский,Суворовский пер.,д.1,"56.885796,60.576041",18.8,1365000,72606,56.885796,60.576041,1,Уралмаш
Свердловская область;Екатеринбург;район Чкаловский;Селькоровская ул.;д.76к1,район Чкаловский,Селькоровская ул.,д.76к1,"56.756252,60.609341",18.0,1350000,75000,56.756252,60.609341,1,Вторчермет
Свердловская область;Екатеринбург;пос. Садовый;район Орджоникидзевский;ул. Сибирка,пос. Садовый,ул. Сибирка, 30,"56.956446,60.682518",25.0,1360000,54400,56.956446,60.682518,1,Садовый пос.
Свердловская область;Екатеринбург;район Чкаловский;Селькоровская ул.;д.76к1,район Чкаловский,Селькоровская ул.,д.76к1,"56.756252,60.609341",18.8,1360000,72340,56.756252,60.609341,1,Вторчермет
Свердловская область;Екатеринбург;район Железнодорожный;ул. Летчиков;д.28,район Железнодорожный,ул. Летчиков,д.28,"56.863946,60.574082",30.4,1350000,44407,56.863946,60.574082,1,Завокзальный
Свердловская область;Екатеринбург;район Ленинский;Уктусская ул.;д.41,район Ленинский,Уктусская ул.,д.41,"56.809955,60.604544",15.0,1400000,93333,56.809955,60.604544,1,Автовокзал
Свердловская область;Екатеринбург;пос. Совхозный;район Ленинский;Фигурная ул.;д.19к1,район Ленинский,Фигурная ул.,д.19к1,"56.760347,60.559350",19.0,1400000,73684,56.760347,60.55935,1,Совхозный пос.
Свердловская область;Екатеринбург;район Чкаловский;Химмаш мкр;ул. Дагестанская;д.34,Химмаш мкр,ул. Дагестанская,д.34,"56.762730,60.715684",25.6,1430000,55859,56.76273000000001,60.715684,1,Химмаш
Свердловская область;Екатеринбург;район Орджоникидзевский;просп. Космонавтов;д.52Б,район Орджоникидзевский,просп. Космонавтов,д.52Б,"56.891268,60.616357",18.1,1420000,78453,56.891268,60.616357,1,Эльмаш
Свердловская область;Екатеринбург;район Чкаловский;Химмаш мкр;ул. Черняховского;д.35,Химмаш мкр,ул. Черняховского,д.35,"56.752945,60.702946",21.3,1400000,65727,56.752945,60.702946,1,Химмаш
Свердловская область;Екатеринбург;район Чкаловский;пер. Трактористов;д.5,район Чкаловский,пер. Трактористов,д.5,"56.802401,60.627083",13.1,1410000,107633,56.802401,60.627083,1,Автовокзал
Свердловская область;Екатеринбург;район Ленинский;Юго-Западный мкр;ул. Ясная;д.1к6,Юго-Западный мкр,ул. Ясная,д.1к6,"56.814661,60.585563",18.0,1430000,79444,56.814661,60.585563,1,Юго-Западный
Свердловская область;Екатеринбург;район Орджоникидзевский;Донбасская ул.;д.35,район Орджоникидзевский,Донбасская ул.,д.35,"56.884045,60.561892",19.1,1400000,73298,56.88404499999999,60.56189200000001,1,Уралмаш
Свердловская область;Екатеринбург;район Ленинский;ул. Фурманова;д.60,район Ленинский,ул. Фурманова,д.60,"56.815853,60.605514",18.0,1490000,82777,56.815853,60.605514,1,Автовокзал
Свердловская область;Екатеринбург;район Кировский;Мурзинская ул.;д.2,район Кировский,Мурзинская ул.,д.2,"56.907785,60.717400",26.0,1450000,55769,56.907785,60.7174,1,Калиновский м-н
Свердловская область;Екатеринбург;район Октябрьский;Машинная ул.;д.29а,район Октябрьский,Машинная ул.,д.29а,"56.807166,60.632042",111.3,7290000,65498,56.807166,60.63204200000001,1,Автовокзал
Свердловская область;Екатеринбург;район Октябрьский;просп. Ленина;д.54к1,район Октябрьский,просп. Ленина,д.54к1,"56.840572,60.628565",117.0,7299000,62384,56.840572,60.628565,1,Центр
Свердловская область;Екатеринбург;район Ленинский;бул. Академика Семихатова;д.18,район Ленинский,бул. Академика Семихатова,д.18,"56.784866,60.544959",143.2,7300000,50977,56.784866,60.544959,1,УНЦ
Свердловская область;Екатеринбург;район Ленинский;ул. Шейнкмана;д.130,район Ленинский,ул. Шейнкмана,д.130,"56.818134,60.589776",93.0,7300000,78494,56.81813399999999,60.589776,1,Центр
Свердловская область;Екатеринбург;район Октябрьский;ул. Малышева;д.84,район Октябрьский,ул. Малышева,д.84,"56.835466,60.617579",91.0,7400000,81318,56.835466,60.617579000000006,1,Центр
Свердловская область;Екатеринбург;район Чкаловский;пер. Трактористов;д.10,район Чкаловский,пер. Трактористов,д.10,"56.802622,60.624298",111.2,7400000,66546,56.802622,60.624298,1,Автовокзал
Свердловская область;Екатеринбург;район Чкаловский;ул. Чайковского;д.62,район Чкаловский,ул. Чайковского,д.62,"56.807309,60.620364",107.3,7695000,71714,56.807309,60.620364,1,Автовокзал
Свердловская область;Екатеринбург;район Чкаловский;ул. Чайковского;д.62,район Чкаловский,ул. Чайковского,д.62,"56.807309,60.620364",107.3,7700000,71761,56.807309,60.620364,1,Автовокзал
Свердловская область;Екатеринбург;район Чкаловский;ул. Гастелло,Екатеринбург,ул. Гастелло, 14,"56.784679,60.647771",130.0,7650000,58846,56.784679,60.647771,1,Уктус
Свердловская область;Екатеринбург;район Чкаловский;ул. Гастелло;д.25,район Чкаловский,ул. Гастелло,д.25,"56.783657,60.648834",126.2,7650000,60618,56.783657,60.648834,1,Уктус
Свердловская область;Екатеринбург;район Кировский;ул. Владимира Высоцкого;д.36,район Кировский,ул. Владимира Высоцкого,д.36,"56.842669,60.690450",130.7,7895000,60405,56.842669,60.69045,1,unknown
Свердловская область;Екатеринбург;район Железнодорожный;Вокзальный мкр;пер. Выездной;д.2,Вокзальный мкр,пер. Выездной,д.2,"56.856043,60.582185",112.0,7890000,70446,56.85604300000001,60.582185,1,Вокзальный
Свердловская область;Екатеринбург;район Верх-Исетский;Московская ул.;д.58,район Верх-Исетский,Московская ул.,д.58,"56.823617,60.585446",72.0,7999000,111097,56.82361700000001,60.585446,1,Юго-Западный
Свердловская область;Екатеринбург;район Верх-Исетский;Гурзуфская ул.;д.5,район Верх-Исетский,Гурзуфская ул.,д.5,"56.824769,60.584413",83.7,8000000,95579,56.824769,60.584413,1,Юго-Западный
Свердловская область;Екатеринбург;район Чкаловский;ул. Гастелло;д.25,район Чкаловский,ул. Гастелло,д.25,"56.783657,60.648834",129.6,8000000,61728,56.783657,60.648834,1,Уктус
Свердловская область;Екатеринбург;район Октябрьский;ул. Белинского;д.8к10,район Октябрьский,ул. Белинского,д.8к10,"56.834156,60.614192",113.3,8000000,70609,56.83415600000001,60.614192,1,Центр
Свердловская область;Екатеринбург;район Ленинский;ул. Щорса;д.24,район Ленинский,ул. Щорса,д.24,"56.811803,60.632455",117.0,8100000,69230,56.81180300000001,60.63245500000001,1,Автовокзал
Свердловская область;Екатеринбург;район Ленинский;ул. Сурикова;д.4,район Ленинский,ул. Сурикова,д.4,"56.815621,60.598454",113.0,8200000,72566,56.81562099999999,60.598454,1,Автовокзал
Свердловская область;Екатеринбург;район Чкаловский;ул. Академика Шварца;д.8к1,район Чкаловский,ул. Академика Шварца,д.8к1,"56.795564,60.617615",105.0,8150000,77619,56.795564,60.617615,1,Ботанический
Свердловская область;Екатеринбург;район Ленинский;Машинная ул.;д.3а,район Ленинский,Машинная ул.,д.3а,"56.812660,60.631368",149.4,8330400,55759,56.81266,60.631368,1,unknown
Свердловская область;Екатеринбург;район Ленинский;Машинная ул.;д.3а,район Ленинский,Машинная ул.,д.3а,"56.812660,60.631368",150.0,8300000,55333,56.81266,60.631368,1,unknown
Свердловская область;Екатеринбург;район Ленинский;Европейский мкр;ул. Кольцевая;д.45,Европейский мкр,ул. Кольцевая,д.45,"56.781276,60.525546",135.0,8400000,62222,56.781276,60.525546,1,УНЦ
Свердловская область;Екатеринбург;район Ленинский;ул. Фрунзе;д.39,район Ленинский,ул. Фрунзе,д.39,"56.813069,60.611021",115.0,8450000,73478,56.81306899999999,60.611021,1,Автовокзал
Свердловская область;Екатеринбург;район Октябрьский;Машинная ул.;д.29а,район Октябрьский,Машинная ул.,д.29а,"56.807166,60.632042",122.5,8500000,69387,56.807166,60.63204200000001,1,Автовокзал
Свердловская область;Екатеринбург;район Железнодорожный;ул. Челюскинцев;д.9,район Железнодорожный,ул. Челюскинцев,д.9,"56.850624,60.590198",88.2,8500000,96371,56.850624,60.590198,1,Вокзальный
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Крауля;д.87к1,район Верх-Исетский,ул. Крауля,д.87к1,"56.830841,60.534399",61.4,4650000,75695,56.83084100000001,60.534399,1,ВИЗ
Свердловская область;Екатеринбург;район Ленинский;ул. Чкалова,Екатеринбург,ул. Чкалова, 18,"56.810832,60.577397",66.0,4690000,71060,56.810832,60.577397,1,Верхнемакарово с.
Свердловская область;Екатеринбург;район Ленинский;Академический мкр;просп. Академика Сахарова;д.45,Академический мкр,просп. Академика Сахарова,д.45,"56.781996,60.520758",58.5,4672200,79866,56.781996,60.520758,1,УНЦ
Свердловская область;Екатеринбург;район Ленинский;ул. Цвиллинга,Екатеринбург,ул. Цвиллинга, 7,"56.814620,60.624010",64.9,4675680,72000,56.81462,60.62401,1,Автовокзал
Свердловская область;Екатеринбург;район Железнодорожный;просп. Космонавтов;д.11к1,район Железнодорожный,просп. Космонавтов,д.11к1,"56.866854,60.608111",65.8,4671800,71000,56.866854,60.608111,1,unknown
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Сулимова,район Кировский,ул. Данилы Зверева, 9,"56.859832,60.650756",76.6,4678427,61100,56.859832,60.65075600000001,1,Пионерский
Свердловская область;Екатеринбург;район Кировский;Комсомольская ул.;д.67,район Кировский,Комсомольская ул.,д.67,"56.837022,60.661857",65.5,4736000,72261,56.837022,60.661857,1,unknown
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Ирбитская,район Кировский,Ирбитская ул., 11А,"56.861891,60.656715",76.7,4743000,61806,56.861891,60.65671500000001,1,Екатеринбург
Свердловская область;Екатеринбург;район Орджоникидзевский;Симбирский пер.,Екатеринбург,Симбирский пер., 8,"56.897178,60.583181",60.7,4749600,78208,56.897178,60.583181,1,Екатеринбург
Свердловская область;Екатеринбург;район Орджоникидзевский;Эльмаш мкр;ул. Парниковая;д.3А,Эльмаш мкр,ул. Парниковая,д.3А,"56.907962,60.614704",70.6,4700000,66572,56.907962,60.614704,1,unknown
Свердловская область;Екатеринбург;район Ленинский;Академический мкр;просп. Академика Сахарова;д.39,Академический мкр,просп. Академика Сахарова,д.39,"56.779318,60.525573",57.8,4744000,82076,56.779318,60.525573,1,УНЦ
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Крауля,Екатеринбург,ул. Крауля, 168А,"56.834138,60.523987",73.3,4730430,64500,56.834138,60.523987,1,ВИЗ
Свердловская область;Екатеринбург;район Ленинский;ул. Цвиллинга,Екатеринбург,ул. Цвиллинга, 7,"56.814620,60.624010",65.6,4719600,72000,56.81462,60.62401,1,Автовокзал
Свердловская область;Екатеринбург;район Верх-Исетский;Заводская ул.,Екатеринбург,ул. Начдива Васильева, 14,"56.822203,60.550899",65.8,4737600,72000,56.822203,60.550899,1,Улица
Свердловская область;Екатеринбург;район Чкаловский;ул. Гастелло;д.25,район Чкаловский,ул. Гастелло,д.25,"56.782927,60.647289",76.7,4730000,61668,56.782927,60.647289,1,Уктус
Свердловская область;Екатеринбург;район Кировский;ул. Блюхера;д.97,район Кировский,ул. Блюхера,д.97,"56.865080,60.666497",70.8,4731733,66832,56.865080000000006,60.666497,1,Пионерский
Свердловская область;Екатеринбург;район Кировский;ул. Раевского,Екатеринбург,ул. Раевского, 9,"56.860038,60.660604",72.6,4715750,65000,56.860038,60.660604000000006,1,Втузгородок
Свердловская область;Екатеринбург;район Чкаловский;Миасская ул.,Екатеринбург,ул. Щербакова, 10,"56.785682,60.651716",64.6,4741640,73400,56.785682,60.651716,1,Уктус
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Евгения Савкова,Екатеринбург,ул. Евгения Савкова, 31,"56.790369,60.487700",76.5,4740000,61960,56.79036899999999,60.4877,1,Широкая Речка
Свердловская область;Екатеринбург;район Железнодорожный;Вокзальный мкр;ул. Среднеуральская;д.9,Вокзальный мкр,ул. Среднеуральская,д.9,"56.854143,60.584970",60.0,4700000,78333,56.85414300000001,60.58497,1,Вокзальный
Свердловская область;Екатеринбург;район Ленинский;ул. Чкалова,Екатеринбург,ул. Чкалова, 18,"56.810832,60.577397",67.1,4750000,70789,56.810832,60.577397,1,Верхнемакарово с.
Свердловская область;Екатеринбург;район Ленинский;Академический мкр;просп. Академика Сахарова;д.39,Академический мкр,просп. Академика Сахарова,д.39,"56.779318,60.525573",58.5,4792000,81914,56.779318,60.525573,1,УНЦ
Свердловская область;Екатеринбург;район Кировский;ул. Владимира Высоцкого;д.1,район Кировский,ул. Владимира Высоцкого,д.1,"56.843608,60.674976",68.1,4752640,69830,56.843608,60.674976,1,ЖБИ
Свердловская область;Екатеринбург;район Ленинский;Академический мкр;просп. Академика Сахарова;д.47,Академический мкр,просп. Академика Сахарова,д.47,"56.783106,60.518692",59.9,4789200,79953,56.783106,60.518692,1,Академический
Свердловская область;Екатеринбург;район Орджоникидзевский;ул. Индустрии;д.66,район Орджоникидзевский,ул. Индустрии,д.66,"56.903936,60.606413",50.0,4190000,83800,56.903936,60.606413,1,Уралмаш
Свердловская область;Екатеринбург;район Кировский;ул. Раевского,Екатеринбург,ул. Раевского, 9,"56.860038,60.660604",64.2,4174950,64999,56.860038,60.660604000000006,1,Втузгородок
